scorer,,,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert
bodyparts,,,nose,nose,left_ear,left_ear,right_ear,right_ear,left_ear_tip,left_ear_tip,right_ear_tip,right_ear_tip,left_eye,left_eye,right_eye,right_eye,neck,neck,mid_back,mid_back,mouse_center,mouse_center,mid_backend,mid_backend,mid_backend2,mid_backend2,mid_backend3,mid_backend3,tail_base,tail_base,tail1,tail1,tail2,tail2,tail3,tail3,tail4,tail4,tail5,tail5,left_shoulder,left_shoulder,left_midside,left_midside,left_hip,left_hip,right_shoulder,right_shoulder,right_midside,right_midside,right_hip,right_hip,tail_end,tail_end,head_midpoint,head_midpoint,chin,chin,throat,throat,tl_corner,tl_corner,tr_corner,tr_corner,bl_corner,bl_corner,br_corner,br_corner,petri_12,petri_12,petri_03,petri_03,petri_06,petri_06,petri_09,petri_09,petri_12_3,petri_12_3,petri_3_6,petri_3_6,petri_6_9,petri_6_9,petri_9_12,petri_9_12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-09-18_ID079_BMm_preexposure,img006141.png,1242.0272473405835,479.53270100777456,1162.0628662109375,522.952392578125,1203.802978515625,559.259033203125,1128.656565331557,528.4735660860892,1195.4422607421875,576.0394287109375,1192.59912109375,492.7869873046875,1234.1837504102512,519.8338496954452,1172.0255126953125,549.13818359375,1124.2158203125,594.960801593712,1145.0777587890625,577.9324951171875,1107.2957417772488,605.7237259841284,1089.355588366846,615.9066312736462,1073.0035375855962,622.8727567619275,,,1046.6241756332297,631.0813497075055,1017.0447172312465,632.6715502969887,983.9792688008381,632.4638419690156,954.1443933326573,620.8448384770368,928.3596580357926,603.4790432275555,,,1121.48291015625,546.8720092773438,1090.2189664686741,568.7818212971026,1200.39990234375,590.3626708984375,1181.9696044921875,623.6663818359375,1128.9794921875,661.8185424804688,902.5939803046496,582.1124613477512,1199.2527591912733,513.7266292264108,,,,,267.7745666503906,210.95323181152344,1204.83251953125,230.07601928710938,266.7093344485209,790.6184656317365,1202.006591796875,791.3360595703125,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img012803.png,1177.6557768423886,935.1421631935857,1217.877150489994,835.6619389086665,1155.5274658203125,826.5838012695312,1235.5242231790655,797.337534352548,1152.3623046875,813.85888671875,1209.0376718706714,881.2366833171922,1153.355908635229,879.0347064262855,1186.1563715301827,816.3104890806234,1179.7651367187498,773.228969229624,1183.5919442235831,792.6689012375185,1178.3517071479332,763.2201895654796,1174.864706772101,755.3872054108601,1170.1870923068934,741.2602095072853,1164.1528923101298,729.0827133314806,1151.5605807953496,703.5377602367809,1135.4256398428465,683.8059532505291,1117.7285199460396,659.7785040664081,1100.8678478679733,636.770704097234,1086.1838986017979,615.5114100094555,1238.5468287644987,842.4162025113784,1222.8893301902908,774.7635027050728,1206.5656652938828,738.5991441036634,1135.858006408162,838.4731835289155,1134.1442053331343,799.7934517377877,1133.775195960656,770.5375019444679,1065.8289914858601,593.5554158580661,1185.3244634307548,841.9153926343023,,,,,264.7586669921875,213.85159301757812,1206.9883642658526,231.53800679792744,257.29384316157825,791.7713810475958,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img013255.png,1349.0709029745915,190.7582807422873,1236.6296504468967,217.55873648040102,1267.4381592877135,268.51825013284457,1195.951610032002,226.35109026065663,1237.0466292389851,290.62462547096686,1287.222333033784,191.77137308044524,1308.2801513671875,238.00860595703125,1233.3869833077258,252.78101388032832,1177.739091127076,278.55376349256886,1205.7532507431963,266.6853016541151,1155.639431735665,287.0765048677097,1136.0838892033478,293.96819328376625,1113.9910415514264,301.20491343810414,1092.8116455078125,303.6136474609375,1066.1601530092203,307.14632654780166,1042.8158168556683,311.5194360783478,1018.0689175496319,318.3039583189046,987.2709422964294,327.5229824369778,962.3696723519755,338.50852569017604,,,1178.4829881515811,241.2688303449671,1132.9727783203125,257.62445068359375,1263.8234917294246,294.5614519237283,1208.57080078125,320.2415466308594,1140.100341796875,355.53753662109375,930.5351824837858,356.5023893804219,1278.2767333984375,222.0075225830078,,,,,265.170166015625,213.86109924316406,,,265.1363830566406,778.1773071289062,1210.8306884765625,788.6851806640625,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img018065.png,1284.0237661175154,658.8569940887762,1203.763916015625,595.8635864257812,1177.926025390625,646.4657592773438,1189.8996818610055,572.3800032624227,1154.6664296918286,650.7793084338754,1247.1018577372959,619.4578499853017,1228.9487562871504,665.4696187517125,1173.916161893323,608.8970468706714,1115.2532749412067,566.0005635759312,1143.5820823466709,585.300795509525,1089.4236581987966,547.8885992809684,1070.4188727184685,537.2977058343068,1049.2442874334529,526.2255738384947,1029.85400390625,517.8281860351562,1014.3069458007812,503.94232177734375,989.8474731445312,493.5404968261719,968.79296875,482.4912109375,947.4408569335938,472.03192138671875,899.8384399414062,448.5350341796875,1171.99560546875,565.0696411132812,1153.173828125,540.0341186523438,1121.7164306640625,508.77825927734375,1133.4754638671875,640.0161743164062,1093.4676513671875,619.674560546875,1059.1396484375,601.1534423828125,866.6208122320993,440.0353825121821,1210.1822988324536,629.1328125,,,,,267.2127685546875,211.94284057617188,1213.633918788363,232.81022931126103,265.50555419921875,777.9617919921875,1208.6356201171875,789.710205078125,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img021884.png,,,504.7881412814018,787.0148881136037,498.5819889075013,725.6475830078125,495.95148843329025,781.2972041675324,516.9867252456764,706.6176790190381,477.6700317282311,775.7355969298582,486.7228771831954,730.9315096256448,518.4957100228874,753.9278413826039,597.9093761865327,757.2142472344129,554.1222151478305,756.0657405545358,625.9625850068072,758.642646078144,649.3380285423428,757.6551501404543,670.7734708632054,755.7215173359943,688.1176908439587,751.9805839023248,721.8999272203243,742.1229455586507,750.7679130842886,729.6197050041148,776.2570870562087,713.6694956546364,794.206227013469,699.1545432680884,817.4401845812408,679.4627829739815,525.6361718870602,802.2393571177945,566.4347627894228,812.1603511803893,608.8512101250379,813.6536751409285,533.9065551757812,710.6353759765625,565.2272916840869,710.3198714179309,612.1439501390316,705.5754577536218,837.3484564939572,650.2460840770412,491.7879638671875,750.8519897460938,,,,,266.0955505371094,213.37210083007812,1212.6726958196712,231.43868224588965,275.670654296875,784.0233154296875,1210.7435302734375,788.1173706054688,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img034176.png,431.68143514667406,538.7795731520971,358.01967809638535,601.6408663452486,413.29517254145196,640.3324641873483,333.20329343492097,624.4279399035768,406.56001831255685,666.3323986876708,389.06424926556815,562.9716324883192,431.6264839788191,589.8714668789253,367.83868408203125,638.4130859375,320.65971600250316,688.8796008441484,347.0101481253794,664.2636315938068,309.3344218271203,701.2115169418236,300.49389977241384,711.3716442931394,293.0819921955401,722.5095825195312,288.1889009629665,734.9730489061551,289.6792045178437,757.2567187741204,296.8675085730623,777.7783358176201,317.7412109877507,796.2770011889038,351.8024731103607,800.7499873907578,382.3362955662165,801.5241239494273,,,325.2013822602588,622.1094071364721,278.5478116734677,643.8146651291528,394.1375732421875,670.6369018554688,380.86993408203125,689.7948608398438,365.4380187988281,724.5128784179688,416.4251460721139,803.1109769767712,394.3144864882054,601.7038045314397,,,,,266.5858459472656,212.18739318847656,1206.8140869140625,229.27102661132812,256.9039762443493,788.0465918049151,1209.2155742579873,794.0673688470732,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img045749.png,1162.4272036391583,900.8627789248992,1236.2506383304826,813.2675692667744,1172.922754230328,791.1476303235736,1261.114142223747,777.6331402534018,1171.1372317693904,750.2720519479874,1211.8663577459529,858.0902478783432,1160.2754626789015,837.6124041801918,1214.6775434915658,786.2541789096751,1212.765282987073,737.5766722552552,1214.529394747302,763.8767738004409,1214.3275146484375,747.7350364482332,1210.664258244604,726.5808705017714,1206.504462804242,713.8150002808865,,,1209.8037308144708,670.7065211474057,1206.4539698776857,642.7498832231498,1201.5451558609932,609.2562616672791,1194.3077747985521,584.0236270875002,1184.889863626782,565.7480737741324,1256.3914429790252,831.3110343999737,1252.5772517111016,763.5362863186588,1244.0452665885766,733.0559006413058,,,1164.6982335454206,768.2110488755507,1161.8641873789882,746.9505279270714,1175.396192378484,550.5530500293967,1194.5412113696038,816.4825318463072,,,,,266.67694091796875,212.01922607421875,1212.606360453527,229.38699030725817,256.95245361328125,783.988037109375,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img050035.png,1069.343994140625,561.4588623046875,1138.512999261548,537.3887133829264,1102.2453430276282,495.98457316817746,1164.4729122155454,542.029097922501,1098.8272818903215,465.83911986500675,1110.7468928982858,556.9636853087644,1077.5521447774006,521.0537121642332,1138.808349609375,498.0727233886719,1195.461550305029,429.128186487618,1176.4685681212645,463.8876835378302,1204.2047766294183,403.5093262120756,1205.341177594395,376.61365114113715,1194.2115893594887,357.4629711873862,,,1147.5866967090028,377.1786951407205,1125.6824096478683,397.5267826589239,1107.5568807435152,417.1191654010729,1090.1102681042357,439.6986218925029,1068.165353509234,459.9633981418206,1175.1772208752657,525.2310343558481,1226.4656413296423,466.294351362219,1234.5519144727512,369.5376769416522,1118.2907418013692,464.11413005093294,1140.763828535251,420.58865312204153,1151.947265625,381.2969665527344,1035.9311650938994,482.9192361093927,1111.8338623046875,522.7454223632812,,,,,265.3907165527344,212.88607788085938,1206.512451171875,229.32205200195312,259.6410217285156,787.3574829101562,1211.3524169921875,788.2603149414062,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img052170.png,812.9228515625,268.1230773925781,742.8979366095077,239.8144073486328,751.9378743556586,283.7375211561741,714.1129333395592,221.59038737515175,732.2612764411977,297.0095031838783,784.4914632228458,241.00317544701903,785.3194453985702,288.20489624626447,724.5256933473148,263.59940958792856,628.8450862978614,267.2933215171229,671.96001549708,266.5727665154922,599.7162329382967,268.3799389407235,569.052242855962,270.2984830601865,544.2367854965111,273.2652298903784,522.5313720703125,276.87921142578125,497.33127154833494,280.1618318711696,470.6395674327022,288.75586182846644,446.34971064109857,301.76255862189043,421.17702667894713,314.85460739007556,402.8712369664365,329.4531941798772,706.1656412693417,233.8755240979218,656.0316663059964,233.97079732728122,607.6985885292976,229.0419217808896,713.6863008351597,313.4056433286371,642.415958712455,326.54878254471316,565.2600549537509,326.37404335689075,378.6435949686931,352.4261511411371,770.0986938476562,262.5829772949219,,,,,267.2801818847656,211.29310607910156,1210.76513671875,232.33729553222656,254.56948852539062,785.2548217773438,1211.834716796875,788.389404296875,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img080747.png,1106.4546235162663,375.8451446278859,1113.043954881938,298.9080963657882,1073.0088323044542,340.1527541598355,1115.898043358209,263.0870421585821,1050.7040357426247,329.84765433611244,1125.7248385932544,331.4864155658523,1092.1263297649543,364.8859113275419,1077.8248271876748,297.9071623724055,1024.3141094919836,247.50016683742436,1053.969544413975,276.11009058561683,1001.594539629256,239.02334274001578,977.5589465637245,236.34439880879785,,,,,,,,,,,,,,,1097.134797772359,275.37018559409967,1080.2932863660503,254.71115213230223,1048.275293046496,219.34881338355584,1043.0012639450792,346.06636655171394,1015.0469360351562,326.3934020996094,982.1508894326316,306.1253998834539,,,1109.1613620307544,337.37073108273074,,,,,266.210693359375,211.92947387695312,1209.438232421875,231.24964904785156,253.4208526611328,784.8054809570312,1212.2169189453125,787.4307250976562,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img092209.png,,,1107.137544720113,284.73651414068166,1080.2790454167002,346.08707704436307,1099.4676864583123,252.71880155589312,1058.8681187434875,340.98663712570345,1130.310926224038,319.26889329107223,1103.3803038217131,361.7773263705224,1076.4778080663623,300.6678846810252,1016.1326377930001,267.92912246745004,1047.1309258984122,283.39561982100975,991.4378384374875,255.74462599603712,972.3897785741118,244.96983719894567,,,,,,,,,,,,,,,1092.1097886915384,269.258691272885,1067.2256056446506,248.19940767589452,1039.7301010418134,226.88861695153935,1053.664427962313,352.49555208343816,1020.974640058663,339.2228707877563,974.6074339323063,322.55490661130295,,,1116.8226764063254,332.7585341114477,,,,,266.4946594238281,211.49209594726562,1209.818115234375,231.0263214111328,253.81834411621094,785.095947265625,1211.361328125,788.4567260742188,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img137779.png,1078.9222375521001,283.39231444330903,1037.1918689193883,242.4568472298219,1026.7102587956065,306.83219863932504,1023.9835595899444,225.77900238446108,1010.653677376344,323.5817189226288,1067.8334887760752,253.74113127598713,1059.7803114388378,309.2292611849755,1012.4614933854565,270.6032650814096,925.6241572329492,272.42263153648776,962.911025377537,269.59532319342225,906.0158392055866,276.08881729494067,893.0118942056242,281.60304597010656,,,,,,,,,,,,,,,1006.8210693686574,235.257024239955,972.1259454623822,224.876078343122,934.1451697071823,223.63081405598746,998.0375366210938,317.3980407714844,982.7751559636381,327.52135573563726,960.238713567895,343.7388499413874,,,1052.9538150130754,278.5051815853159,,,,,267.13848876953125,211.00262451171875,1210.7371826171875,231.9239044189453,254.03187561035156,785.184326171875,1211.91796875,788.0934448242188,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img152517.png,326.17341983760906,263.86338490173966,281.53542708042795,320.9727439749592,342.5235595703125,324.8545837402344,254.35870800927017,338.69223213849693,350.87320903232853,334.39061734444965,293.1858825683594,287.26715087890625,342.5175091501865,291.6923020702542,303.8403399709072,341.96049054681674,300.78623804655433,414.531543124242,301.3415733984084,377.6315228220616,302.14803091793954,434.90338202049304,308.16237705048974,452.8265692763525,324.0787220589725,468.34468973504545,,,343.9078811510357,488.163295401499,359.0461642374775,513.9641645853155,371.3074089657526,536.336171324001,385.24943404740253,562.5259397252596,398.3377529987561,589.4521377427382,267.40492501976445,344.326762519473,259.14551575215717,381.6631952834363,254.12468812561224,420.0744854685459,357.7508633887885,343.5136906251458,362.13243643551766,373.90769226582904,365.30267333984375,409.576416015625,413.1492336303676,618.3481043986976,314.46881390598764,299.48329320344567,,,,,265.7120666503906,211.45274353027344,1214.0699462890625,231.11019897460938,253.24154663085938,785.7640380859375,1211.6507568359375,788.9803466796875,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img159101.png,369.67471093677113,337.5997985062384,363.5821838378906,408.4662170410156,408.52557373046875,387.6123962402344,350.8795127737873,428.670392363048,425.44633517528564,394.5746421683186,352.63874180675725,374.9814039844333,394.8799467184876,356.3404137304396,390.0210876464844,413.7698974609375,440.025146484375,477.2229309082031,415.0983146282357,446.06340854463036,463.1905040152462,505.03117652457456,483.842822032387,528.2062816031366,500.829687422254,548.4953733796642,517.5707466640815,566.5762939453125,543.429976828751,587.1580053992342,567.5299963760813,603.6608740515779,594.9139018176392,616.9632409889073,621.3165153691601,624.6561950985098,653.9480847429272,626.1466837699106,363.3405456542969,441.3283386230469,397.41165349545315,498.5397153458192,444.4292291031702,554.8098902703139,443.2209399988047,405.0754026256704,479.794611735016,442.17867832655054,519.6452026367188,490.53936767578125,679.3117655670701,620.5352172851562,377.6366271972656,376.1259460449219,,,,,269.0846862792969,210.0408935546875,1209.8216552734375,226.48455810546875,253.67506408691406,785.4096069335938,1207.5174560546875,792.0325927734375,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img169155.png,1108.5987962108793,529.404443437121,1046.283593827746,506.4684486519939,1052.6702880859375,556.1468505859375,1024.2286507037957,485.33064838954647,1034.649999922254,570.5813430270231,1079.835856757754,503.16427229527176,1085.5366643357042,553.3135611325209,1038.1087646484375,528.75341796875,942.3411480662021,538.5527747461229,988.0635808396105,531.7797654491604,916.87750339835,545.1295166015625,888.2000732421875,552.8786424022854,862.953839628673,563.6437161719916,842.2626981833314,573.6104971676772,815.8323720121853,585.4117714836462,789.4107099623951,600.1949015219508,764.7693900408118,616.1939316580572,740.3054306277405,635.369274567368,714.6792839682548,658.3331258755536,1010.9956131243003,493.5741370508104,953.8973407810751,489.5497220313666,891.9762573242188,491.5077819824219,1025.103217147825,576.2388747653043,970.2656259569438,587.9405743357335,916.5733642578125,604.1148071289062,695.9384873738442,687.286025034472,1076.4756536712628,528.6176767381938,,,,,265.23956298828125,213.22592163085938,1209.91162109375,226.54429626464844,255.8241424560547,786.0429077148438,1205.3992919921875,795.6988525390625,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img170703.png,1072.7900673820836,794.388450312296,1134.69482421875,773.19287109375,1088.5010986328125,730.2135009765625,1157.1496471085295,772.2791767185751,1086.8495190633162,708.5918213668085,1113.574941991167,785.9903132033583,1072.1170673435752,754.1219069141208,1128.8038330078125,732.1858520507812,1204.1122484370628,682.0629657033292,1168.307536445254,704.0536969720732,1225.5656589057544,671.2178748437791,1241.6128438662545,665.676549258279,,,,,,,,,,,,,,,,,1181.4424834413194,760.4921017935515,1216.9430153532533,745.2276619102726,1097.2926025390625,693.0675659179688,1134.1104303908583,668.1954956054688,1172.6290283203125,642.932861328125,,,1101.956787109375,756.8936767578125,,,,,265.9172058105469,213.03985595703125,1209.4376220703125,226.84930419921875,256.17767333984375,786.3403930664062,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img174498.png,463.3147623731418,346.6477909396049,428.19046834979906,271.7779638651775,396.877881261586,330.0092244533147,418.8970459084876,248.26024595760947,367.8878454469242,334.35180130908975,459.1317594474742,305.8768558810111,429.4560172519341,346.3272273809922,400.546630859375,286.3910827636719,337.4542798832498,246.20154124087577,369.976065322149,265.5646057128906,318.11715124075914,235.4066746593693,303.339808447703,228.37352936227572,,,,,,,298.29278631736815,317.02222147697086,289.28028998965135,340.82503343927834,279.73754498603233,370.6945286733257,272.68453326185755,398.2271212596661,434.5487484443212,261.22366591680253,405.158940047487,235.45309481884033,377.4608459472656,211.71644592285156,367.36614990234375,326.9426574707031,351.07568359375,325.58660888671875,333.4716241098996,318.91928483363455,261.7616154127506,435.1060215051974,435.01364258415504,315.4471614630234,,,,,259.77667236328125,216.2056121826172,1208.663330078125,228.498779296875,253.7153778076172,784.0454711914062,1205.1336669921875,797.6841430664062,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img177526.png,307.9008500184526,606.4419021868003,340.1384779590427,560.9473511519648,287.41794808596666,547.9208638080398,358.7040520106692,549.928821913217,272.14415288290013,516.6521933601039,333.1303167572003,593.1946103115962,281.8695955178405,574.9411866011835,314.9284413481227,533.7176590227378,342.7446447855644,451.59376300848305,332.23514587911035,487.7294006347656,352.80319118172804,436.3705927443738,365.8531710350396,425.68599794006536,376.9541101749941,421.8537028423508,,,398.8347470303463,399.1704311043902,402.26781815374295,370.8425899433012,393.99251649475275,341.7860287148733,374.30523748924315,318.74483746047105,350.3528096088211,303.0837628122959,366.32870866175955,552.6137584366545,380.4349158594041,518.6598135739272,396.2299499511719,481.2379455566406,280.5287761622843,523.839404452367,288.58888498070195,483.40142822265625,289.1148585946246,447.7275784766791,328.8668662437516,289.1564865951428,306.32233268592586,579.4242379666217,,,,,267.0848083496094,210.94869995117188,1208.844482421875,227.86732482910156,253.212890625,784.910888671875,1204.48193359375,798.141845703125,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img194125.png,476.7685998433419,645.982444452921,427.34178003874183,579.0600802147271,400.37200832039997,635.8735961914062,417.40382830083956,556.0070911727205,360.721617022563,644.6875893547399,460.5005029195137,606.6326265237,432.7818702051073,652.4670683782649,390.0132112404968,593.7496309182312,331.16140775481,558.3470608208081,358.69506166076854,576.1165386912021,318.61898832121625,548.1384061133979,307.37404754057843,532.5900662696479,,,,,349.41653723278716,487.39380671439994,351.2445510729107,463.5203514436998,352.7107870726292,436.67866545827513,352.30853433523356,409.71120205772587,349.2249651073221,385.3716078496504,432.03540460713015,561.8361791585236,411.63365972536724,543.088059765042,386.1699146081797,517.2741540425607,,,359.7096287878089,631.4057534949859,313.096275976271,603.4572792184001,342.6945017046558,356.95889806157334,432.9509531831273,620.1127141403917,,,,,269.1435852050781,209.21273803710938,1209.209716796875,226.2842254638672,255.20115661621094,786.8253784179688,1204.4383544921875,797.9471435546875,,,,,,,,,,,,,,,,
labeled-data,2023-09-18_ID079_BMm_preexposure,img232406.png,427.9170625079873,643.2078059568855,345.69955922807833,587.679754276819,325.4019994441465,640.3181428062611,314.72775201270997,563.7783857436452,291.1490222981871,634.4429235164122,387.8259512692397,604.0989821871793,373.87204170880943,652.1173706054688,318.3507595637056,610.5794187955876,252.07581356427693,640.429497825481,270.7027109369104,616.733096712298,249.19376325510555,661.9663908333063,,,,,,,,,301.90559188332213,716.8094004247606,320.0780461490927,721.3193007695885,,,,,,,,,,,354.1951286459067,666.312455429612,,,298.27434936850636,702.7321397330372,,,355.89085275741144,619.4486761322003,,,,,264.07769775390625,214.63473510742188,1213.8654811246986,227.42876788796843,252.45422077780324,789.2738683389102,1205.5201416015625,797.9160766601562,,,,,,,,,,,,,,,,
