scorer,,,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert
bodyparts,,,nose,nose,left_ear,left_ear,right_ear,right_ear,left_ear_tip,left_ear_tip,right_ear_tip,right_ear_tip,left_eye,left_eye,right_eye,right_eye,neck,neck,mid_back,mid_back,mouse_center,mouse_center,mid_backend,mid_backend,mid_backend2,mid_backend2,mid_backend3,mid_backend3,tail_base,tail_base,tail1,tail1,tail2,tail2,tail3,tail3,tail4,tail4,tail5,tail5,left_shoulder,left_shoulder,left_midside,left_midside,left_hip,left_hip,right_shoulder,right_shoulder,right_midside,right_midside,right_hip,right_hip,tail_end,tail_end,head_midpoint,head_midpoint,chin,chin,throat,throat,tl_corner,tl_corner,tr_corner,tr_corner,bl_corner,bl_corner,br_corner,br_corner,petri_12,petri_12,petri_03,petri_03,petri_06,petri_06,petri_09,petri_09,petri_12_3,petri_12_3,petri_3_6,petri_3_6,petri_6_9,petri_6_9,petri_9_12,petri_9_12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-09-20_ID079_POm,img000510.png,1207.6451416015625,230.76544189453125,1134.03515625,246.66970825195312,1166.2113037109375,288.3340759277344,1107.7445046754178,258.3261477579854,1166.3662367559004,307.4740495799783,1161.7968491815998,229.36837452576304,1194.7548586144894,267.1253609716298,1134.719775498651,280.73237347897896,1086.8776613488646,336.17301101008815,1106.7686025433911,304.4762768230515,1075.2136219666152,357.57803506765543,1065.3056382440996,374.164844398156,,,,,,,,,,,,,,,1103.5120349445267,252.2566012762264,1070.5692359046782,273.59380579584854,1038.624853731677,309.85442159199647,1170.618896484375,314.7049560546875,1160.020948777989,346.5445993609058,1142.0443395023578,377.0361017547919,,,1171.5020751953125,250.40626525878906,,,,,216.6039581298828,234.63748168945312,1215.2159198051918,227.8044444396349,244.39630126953125,837.010986328125,1227.295654296875,809.7237548828125,907.9240891184348,609.9643563328635,1120.430204191991,489.4041674594867,1229.215345102206,698.1851089878269,1018.123191307259,819.4626430269768,996.896727867658,502.7461417678828,1222.5564492014357,576.7479549441274,1147.6997716311696,801.1733141327145,921.6462927357613,744.18143564356
labeled-data,2023-09-20_ID079_POm,img011005.png,1057.7073243267762,316.11178064936416,1130.8900146484375,303.0845947265625,1105.887939453125,256.0509338378906,1151.359375,303.9882507324219,1128.293212890625,234.63320922851562,1094.0303955078125,319.0887145996094,1070.642333984375,275.48511844062034,1149.3646993181187,264.2160454944222,1209.6903345158478,243.35891415754023,1178.600488065198,251.42195183407523,1223.5648704326081,244.50142330742648,,,,,,,1215.3153081573175,329.9876651189998,1225.2920922203218,346.81830989871906,1234.1717933315965,366.6137254562685,1239.8249947972913,392.97018986336536,1237.5937341296542,412.6106145815754,1166.0890145360827,308.98970347716664,1199.219609353357,305.93164640443763,1200.2567144073175,319.48237509936877,1124.0155814651484,235.5939772614461,1146.7153863687004,220.26033381911319,1130.1125031327535,220.5678847321492,1234.0770759513055,438.7500936600439,1095.3265380859375,284.49907237365096,,,,,215.65020751953125,235.6714324951172,,,245.9661865234375,837.449951171875,1226.8919677734375,809.1708374023438,907.2646658304398,635.9825854274814,1111.0964717355816,502.5157985997483,1231.1977445074224,705.5276942966968,1026.4151361789977,837.0288677918978,988.9036723722218,524.2371895315118,1218.9973107800524,585.3145946399907,1155.7094680107548,812.464393709667,927.0632499226518,767.6552835921319
labeled-data,2023-09-20_ID079_POm,img020580.png,293.3886828653482,650.1960725938259,342.137567550933,703.1226737460747,356.4981038377958,665.2497180316483,352.793701171875,727.2080078125,377.6102294921875,657.4735107421875,308.78875732421875,686.362060546875,328.01344564271096,645.6397981797634,362.2033471599286,694.2497054224061,468.39404296875,702.6848754882812,416.5915250624241,695.0229850354217,495.94170489995435,705.3727750624241,518.660735249412,708.0252673279542,541.8842887262589,709.9322900310223,561.74365234375,710.6358032226562,585.420654296875,705.4644775390625,615.782860121492,691.9748396796497,640.8807096327366,674.5024829141762,666.1468505859375,652.5609741210938,688.5131225585938,632.6431884765625,382.4503235164786,737.9966687273022,439.8707580566406,746.7925496486272,491.2003479003906,759.8148193359375,403.60879315496084,653.8642590392332,448.21339274222544,650.9348213711127,519.4877319335938,647.9429931640625,710.5196199571071,610.8448083516193,322.35147133942644,671.879062910251,,,,,215.32713317871094,237.15386962890625,1211.466064453125,224.7543182373047,246.9549560546875,836.189208984375,1226.21240234375,813.79931640625,917.0619817959285,617.155602919601,1135.9608718193485,508.77637518208417,1234.9336295064138,725.8483095958119,1014.616803356937,832.9772054750337,1010.6667203924105,515.587813170271,1233.9416665945232,603.2982998736617,1146.3654714939357,824.5927428652951,921.2877806543538,752.4499521438256
labeled-data,2023-09-20_ID079_POm,img023682.png,1050.0484688320503,462.7883878754932,1122.104073086127,399.7158715840412,1083.7280228792288,371.63087728333596,1144.0636080042666,375.8831681127501,1094.6612850082297,334.3103307984867,1092.8131864494273,435.24249959376897,1053.0216064453125,406.4971008300781,1115.5181884765625,366.54083251953125,1177.4990234375,289.093505859375,1152.43115234375,326.0965576171875,1187.822346187386,273.5063529553437,1194.9315437731718,261.8468373784039,1203.1994006287355,249.27358562336934,1210.2442142693985,239.54914002268853,1219.0704602312085,225.2523998983237,1238.4070337436672,215.60892312366306,1259.320665960788,218.97037287656397,1275.4021773760103,229.85483925601395,1287.676144273026,241.17922202666426,1154.0322749884142,394.17927124425444,1186.353966862845,359.0272737858012,1217.1556396484375,317.9787902832031,1098.2681217501517,338.71491700223766,1117.103759765625,298.6820068359375,1128.0010986328125,261.0503234863281,1302.2263090803754,257.5923331116292,1081.7811669841474,409.2370101099061,,,,,216.79396057128906,234.48452758789062,1220.236307371037,236.22776166484022,246.45372009277344,839.0252075195312,1225.90185546875,812.1514282226562,944.663504001857,568.7049415794883,1179.691728385484,523.8090903498178,1216.2647598130507,761.1539591826405,977.6021968338988,805.7850135459681,1062.0849962625653,496.8827906791278,1247.3826152423712,642.411101484963,1106.002987698023,833.0729486779591,912.7649497250065,702.019523255888
labeled-data,2023-09-20_ID079_POm,img035969.png,1248.4585246101187,674.3600470705388,1225.1392431721029,693.9876859611462,1237.6242033051808,737.2656892729443,1208.4674348985136,688.6754748474856,1228.6443839612032,758.4432649766384,1224.4176415935224,680.304326980317,,,1211.286376953125,727.6260375976562,1130.836073406288,749.2022509805826,1180.0948486328125,743.6424560546875,1108.085009363414,751.3612626253224,1082.6656909219887,750.338083101923,1057.9792618828503,748.455595304934,1034.2991943359375,741.7233276367188,1018.3499145507812,729.8136515232479,1006.7180924492568,717.8811299608426,995.5148592149196,704.4344079609945,984.2301969374241,690.7537829529543,972.6886930311741,674.5706717929498,1175.61181640625,685.3042602539062,1137.697265625,690.4944458007812,1093.9462890625,690.8618774414062,1199.8028564453125,766.8316650390625,1165.964599609375,785.7752075195312,1111.8731689453125,800.9286499023438,954.4950536988773,647.5549593125759,1242.6152185279695,698.9240868859221,215.91038513183594,235.93179321289062,,,215.89425659179688,234.79664611816406,1211.6495361328125,232.53956604003906,244.42355346679688,835.8466186523438,1227.141357421875,812.7572631835938,1014.5105839280088,517.2838085075558,1237.1367007090932,585.5288405701983,1161.356669468317,817.9408343555009,934.1134470717825,748.8968360019568,1149.0011121360612,507.11632468971686,,,1032.9020303639604,832.067235463445,925.9810559838119,622.4498027430323
labeled-data,2023-09-20_ID079_POm,img043125.png,132.96074729184605,115.60110511446632,,,196.99683927014428,218.20999253533802,152.57944969173764,276.8079366921167,215.0016568884402,256.8150773579494,128.08523265206574,183.31641689060717,178.94299678298037,165.80197775511448,177.91316007092553,240.80444065872527,225.3544821680186,286.37161146856823,204.51032334049776,270.1052119702398,233.6413994173326,300.2322808459847,239.76367125387418,309.5091547333076,244.54805778571938,318.607275606677,248.74202651301783,329.94523412653075,248.32757548751334,361.4853023522643,244.95082641802566,386.96412722540606,242.94354939845647,412.63570558650656,243.1900801581652,441.52009930931456,249.3760862196507,470.94854736328125,,,183.04477644394922,284.0609049839882,204.81882691516554,306.79624714813275,233.29244155208033,218.38414063577426,265.2614104954308,247.82422253090962,286.0233322278706,285.1979996672648,269.9956567402913,502.3373286993516,154.38641657201077,191.83119463625542,,,,,,,1214.7003173828125,230.50949096679688,247.56617736816406,832.3632202148438,1225.497802734375,815.7246704101562,1012.7432068415471,517.435868903119,1237.5489485749226,588.1839159942654,1159.7054795522213,819.6859556483663,929.5506626370859,749.9314179812636,1147.8210078685827,508.0299715024984,1241.4237870741795,726.8570002463522,1030.713945290668,834.2760988483923,923.1547125622184,622.0198896829718
labeled-data,2023-09-20_ID079_POm,img047351.png,,,1245.1131201252276,790.4152287440464,1200.4137353435224,788.8585990591438,1259.8354663216926,748.5156874905828,1184.3883378005346,763.9944596367567,,,1186.9833015856718,806.3736930432343,1230.9774288171081,763.427399516213,1175.0721484616204,657.6809411239187,1211.0909680437085,703.4926053746397,1147.9868489851335,640.4033117253675,1122.8505700904698,633.0721569482513,1094.6444368516384,633.8629113588629,1073.3636474609375,640.8589477539062,1052.2841796875,632.2637329101562,1019.1891442690189,624.4735164334421,990.210832503451,622.4565096055446,960.2712874335558,623.3434472776852,930.2489680935983,630.0108276568191,1242.9241354123376,717.1353251976835,1214.0790263494582,674.4321387201157,1148.8847932969509,624.0092000191519,1171.2337646484375,762.91650390625,1146.5732421875,733.1334838867188,1103.868408203125,714.1135864257812,903.2104272380536,647.3634057737789,1209.7243094480616,815.548691876802,214.07205200195312,236.16676330566406,1172.9730224609375,793.7780151367188,213.09747314453125,237.1671600341797,1212.3682861328125,231.99620056152344,245.02317810058594,835.4598999023438,1218.2693812007674,820.0552620946767,998.6205966109966,519.9864009351779,1226.0679346129375,569.4896100883681,1168.7487905317669,805.2855861962714,936.4604967511295,758.7327789032563,1132.361902395221,499.46727759490284,1245.026106194065,705.7148423457566,1043.5116849374876,832.8485807429344,918.8541852839638,630.7215877566274
labeled-data,2023-09-20_ID079_POm,img063179.png,,,254.71963662865969,555.8185563164442,229.73103371735613,523.8753825003794,288.1357361040847,548.0240498626173,226.65697893775575,498.72596971486337,254.93474080872653,569.2475818011796,221.0599479059465,538.156482758116,253.5351594877881,530.5961019148212,314.1162898809922,437.56639403291865,291.3069319648058,480.957089439529,326.04046630859375,421.7989501953125,338.6029968261719,408.658203125,349.78131103515625,393.8189697265625,359.970458984375,381.5352478027344,368.31231689453125,357.6568908691406,376.68194580078125,334.3204040527344,387.8915710449219,312.27801513671875,403.3122253417969,291.0933837890625,424.2147216796875,272.4666442871094,306.5878584885278,538.3710440973528,346.75213623046875,494.79644775390625,372.5750732421875,459.66571044921875,244.6954345703125,484.74652099609375,260.1581726074219,444.0814208984375,277.04632568359375,399.9171142578125,449.5215084081308,259.88376008996784,234.22120705719988,554.7837504303515,,,,,229.40257263183594,255.3616943359375,1218.8084716796875,227.87303161621094,247.90724182128906,835.6593627929688,1225.398681640625,814.5031127929688,1048.5633058804922,502.2745554701257,1255.022092133278,610.5740083140504,1141.414469544667,828.5230049604439,928.3975541652511,719.1397543034419,1182.03311648759,516.199889056931,1238.6804124674206,748.5517314539698,1013.033483670478,820.6209237154872,941.5554288884098,590.3354814645551
labeled-data,2023-09-20_ID079_POm,img069909.png,765.1375969000682,925.2949471532704,837.629150390625,845.8298950195312,791.0021246715935,818.4383066362964,862.4557016558276,824.5225456305368,793.7338256835938,776.367431100495,809.4090576171875,884.5156860351562,763.974365234375,861.227294921875,829.725341796875,813.3197631835938,896.1705322265625,762.1749267578125,867.0643310546875,786.3480834960938,907.5172119140625,750.1664428710938,920.2448120117188,737.5455932617188,930.6319580078125,723.6655883789062,940.67431640625,712.3877563476562,970.0437914835586,684.2607138679164,984.5958948429629,664.2569888094976,995.7290283980585,638.6902528919078,1002.4096727534691,613.6090367199162,1001.9776207616898,579.8367257835823,883.1171412644987,840.9688709900527,917.6773071289062,813.4856567382812,954.7999267578125,776.9036254882812,813.7346581382906,794.6452295353789,844.9401618889945,764.3410781725202,864.2521730676145,729.2372436523438,990.5261701860446,552.1421638440181,796.4369732612145,855.3640311721797,,,,,229.18695068359375,252.9629669189453,1218.9617919921875,228.8979949951172,245.87872314453125,837.4300537109375,1224.3602294921875,813.132568359375,1046.6197991569093,506.9788422986141,1252.6092386696903,612.9282001864665,1139.8840865681527,829.6593560406362,,,1180.0317979121628,519.101354656863,1235.830897184285,750.5182253132361,1012.5159512408493,824.4800778004499,941.6746830494803,594.6644019201144
labeled-data,2023-09-20_ID079_POm,img073106.png,281.11029327246945,452.54467807628504,270.9919376178697,484.73911994540794,,,296.1754102326312,499.5236930733848,320.3597559317361,420.2812600552743,291.5480387403292,425.1445438592422,279.0883968145859,477.11280273236497,,,,,,,303.10299152707825,467.0606290562803,311.2250463847087,472.0370568767255,318.1220939120904,476.6337601638159,325.15374755859375,481.8495235135201,349.56169962498103,491.8947448730469,373.1634285488471,502.2679276543347,398.6886901855469,512.0870361328125,421.988514008116,522.2647717345457,444.1001570725122,532.651307379077,227.2937294320671,485.97937865406925,247.51375386019984,506.507149650163,292.22008870107703,516.5415083707713,245.6881880180707,394.0238408952495,,,307.99983524527875,435.26087019047554,479.2457167872258,538.3413906447948,300.1539949370068,453.93226029776594,250.06631670832047,444.02109456447204,222.6568435694583,429.7302958003071,232.10121154785156,253.8413543701172,1219.7308349609375,226.0650634765625,250.4147491455078,837.3052368164062,1225.389404296875,814.2952270507812,1045.5406002622371,507.03524980173455,1252.6109718520759,613.8942525405862,1138.904998076703,831.2866958478292,925.0780237790813,723.5126967704259,1179.7627642334592,520.7633058260542,1235.1873347183473,752.6026495739371,1009.7754963831047,825.5277951936321,940.1980486034158,595.7760240943131
labeled-data,2023-09-20_ID079_POm,img123751.png,796.2255249023438,472.2300720214844,849.4466346094041,425.0491116798041,801.2038021283815,416.2208251953125,877.4646288859025,417.8311176365438,788.4515380859375,393.20941162109375,833.5975567576085,456.8265686035156,787.9769681251166,440.9152437889459,831.5134306052064,402.1103906925722,820.4574584960938,306.5861511230469,825.7991943359375,346.1170959472656,809.2185668945312,279.2938232421875,798.0791702532065,263.90426128859605,783.8412523433127,255.84847769019646,768.0140991210938,252.12094116210938,741.4444560939249,249.04517491222597,713.1139872661789,250.86394565400536,686.4763371095208,252.88920339820427,654.0367609572645,254.71275616672983,624.3625872853603,255.7443822312121,869.8410034179688,390.7349548339844,870.602032988048,331.2497272556845,860.098876953125,278.51123046875,783.0512084960938,380.68609619140625,772.7727257421583,351.0611247950968,762.5185041787254,300.0424918474523,593.2715237891791,257.53403728957255,816.1404644724522,441.94095231410324,,,,,225.2214813232422,242.6772003173828,1221.7322998046875,230.47381591796875,243.8218231201172,847.5172729492188,1225.2783203125,812.8076782226562,1008.9478606372497,526.3673340927787,1236.9745573059065,575.7622179958407,1181.1344090285643,810.2495622748188,947.7661802583079,763.1132214566233,1143.6775848658974,504.48233707459815,1255.2793090813702,710.0933888663784,1054.4005449952722,836.8570183941517,929.2635359779274,638.2882506785505
labeled-data,2023-09-20_ID079_POm,img126219.png,,,370.83475305611586,629.7552874806729,396.09857177734375,670.631054532008,341.73414865257695,629.7074613669251,394.51117134748137,689.1290114840543,427.16114401171853,619.3511775389168,434.1860615619461,660.8591111522854,369.47353044927706,656.8144295901353,316.1045837402344,719.2716674804688,343.59942626953125,684.9536743164062,305.6908874511719,739.2467651367188,294.604248046875,755.0728149414062,287.8963928222656,762.6649169921875,,,264.54837418910324,709.3267322860017,259.3894948926656,683.7529557044661,251.28512128412137,659.9692090047225,242.76307773917034,633.5330575198228,236.31918781621587,607.2345138935725,333.2727288970966,646.6127790033231,308.46655684625705,665.3312444915753,281.7543640136719,690.2998657226562,387.92189403425266,707.6343263273669,372.66108095805157,734.8736696668318,361.98797607421875,765.5515747070312,231.97313816906194,581.357039784748,418.32594715735763,634.4572095707498,,,,,225.33445739746094,244.29437255859375,1221.709716796875,226.40460205078125,243.67584228515625,847.8319702148438,1225.4727783203125,815.3969116210938,1006.8671728081821,527.0007664505338,1237.1621787282518,575.744764264137,1180.7793901018067,811.4467556297707,945.9164739829564,764.2756248266675,1141.18124222194,504.5000016203898,1254.4142137373296,711.296729109343,1054.276707904021,838.9523294898139,926.4960811108648,637.9931409447494
labeled-data,2023-09-20_ID079_POm,img137413.png,817.1201643866808,263.4835786973415,882.5702319376138,278.1234464491429,892.1537475585938,240.74009704589844,895.0565795898438,294.7177429199219,909.4529418945312,231.8790283203125,846.7493216952935,283.02146484777006,853.6655814609186,237.11230753312725,907.4650935818795,259.06684610533597,1013.1887133427258,277.3508426873672,961.6759590061243,266.7940095854443,1036.5708695187154,281.4557511306128,1058.1189884292703,287.4335107341474,1074.5666227186741,295.8660502048885,1090.3081193047253,304.0405745429308,1118.4927059066674,301.21201822447654,1145.5001546491962,293.3485872322132,1166.4840389144797,277.66689126331147,1185.4401973717954,255.3179577395515,1198.8725425582434,233.01688626452614,924.2490930597888,306.40155966442296,990.3740844726562,329.3672790527344,1045.2811279296875,344.6047058105469,933.5453182113547,231.65299011431472,972.2148595970302,237.20075664498458,1025.774202058347,239.35899578765947,1196.8363921553073,197.50363020339182,856.9684712694365,254.1844885233806,,,,,224.787841796875,242.1559600830078,1223.9747314453125,227.56288146972656,244.76336669921875,849.047119140625,1226.07080078125,810.4685668945312,1029.844243466403,517.3690604696213,1247.2065671667608,593.3048949117886,1164.790408514217,820.7659428144442,940.73178613733,747.2363060870371,1162.3562033323947,511.507193182847,1248.691085302141,730.7227266830396,1037.3671638421195,832.6701314463639,936.1262106572747,619.6620674605382
labeled-data,2023-09-20_ID079_POm,img137972.png,,,319.5663146972656,340.87799072265625,312.3565893635088,296.68684735618956,316.3640307456385,328.13701857643684,302.8199898080437,275.1499100963101,310.70249227558025,350.33448163554334,,,314.4257502900103,311.79888386106256,412.8695983886719,271.77874755859375,361.3493253453427,292.0280236736005,431.89251708984375,267.2521057128906,453.1438293457031,263.383544921875,471.77435302734375,261.65753173828125,487.2254569491997,260.22746011900784,516.8463696550366,257.4751448554308,544.8033659229372,256.3268225077556,575.2118754504517,254.1173207567411,599.6827026568192,251.02948547564284,629.2232828910044,243.71924519923772,381.9570830142036,343.9920117046798,414.4905757596139,334.0231892870145,456.82677570073565,314.05669636106256,334.29863363702225,271.7697127365747,362.61749267578125,248.31155395507812,393.8370056152344,231.06900024414062,659.5533205534987,228.05072590609828,294.41004188199685,323.2813590689095,,,,,222.9216766357422,244.72044372558594,1220.851318359375,225.52389526367188,246.75576782226562,846.7027587890625,1225.9017333984375,814.65283203125,1025.7508925174302,517.5682234774554,1246.4480706409065,593.2308119514962,1164.2875129627412,822.6496286033429,939.1293433267422,747.9963590093755,1161.5765756788874,511.7811187474784,1247.667284831511,731.5795901677336,1035.1890368976517,834.9373922965775,932.8802616625727,620.5249529002908
labeled-data,2023-09-20_ID079_POm,img141584.png,,,546.0386629258571,536.9179536872914,594.8051147460938,519.1766552694173,536.8395800821451,557.2380786173013,604.855244136605,527.9344620781629,547.4746162929877,511.7680025254665,593.8957255079074,500.1944649258002,573.4570393947209,540.3662752104443,606.6445922851562,625.0877075195312,586.6204223632812,583.3682861328125,622.9195210741238,648.2066235311362,634.2847220859185,668.5028340624052,645.2806258124622,686.6349544217233,659.2428922499241,700.1258947733805,678.3710327148438,712.1978149414062,704.5494453945502,717.2422969610702,738.4952058946071,716.5879724141195,766.5703068087455,720.2712471523628,794.489970707145,727.5947680704263,546.5834904024955,578.7428531954642,554.3355379258571,616.8959830420962,567.1956787109375,662.3015747070312,624.944783937557,546.3143518086506,643.8355159451608,576.943487136567,671.4791870117188,614.683349609375,827.6455920550859,730.8097212814966,565.4071655273438,510.25311279296875,,,,,231.70541381835938,248.81561279296875,1220.695068359375,226.0723876953125,242.71311950683594,844.8671875,1225.5518798828125,814.1572265625,1026.5143999758354,517.6986105589574,1247.1064205743596,593.2496591756421,1164.5289091667019,821.6685801813503,938.6005347329922,748.0440885015629,1162.0500993846658,510.9844023314252,1248.2618656658178,731.5683470598483,1036.468264527237,834.0475937020077,934.8103663628159,619.8504466908663
labeled-data,2023-09-20_ID079_POm,img146768.png,,,264.4507723008571,320.45319295314397,247.12124368834378,281.415084250626,285.8025789414821,322.8013151115368,260.71581094104585,255.11657371456903,248.14463806152344,335.7685241699219,227.44739176767297,296.5165336093561,277.72071696097544,289.36633953363935,335.86986490215406,232.89297971019772,311.2615743068303,260.76901122443866,359.1055265473682,226.5123238024688,378.91187745145635,238.30626543476916,390.3950789475123,253.98920408749228,397.4428405761719,275.3984375,416.39387654488394,287.8531022148817,444.2754321329263,294.8828108811059,474.5681485975804,293.8678837130424,501.1468505859375,291.80780029296875,531.4232177734375,291.265869140625,306.61388389925315,326.6288020880234,332.05044148428016,320.20142577923997,367.97747395498334,313.1243188496663,270.5596675564889,247.68414856158034,294.6632963227588,234.28569761776572,,,578.0698441883916,295.07498414291956,236.81852476821325,311.7651725354218,,,,,,,1221.9554443359375,224.61495971679688,242.8592529296875,844.580078125,1225.114013671875,816.7723999023438,1046.2593750003778,507.4567091145161,1255.1841579734264,607.2946335515564,1146.9277983264801,827.7253343428929,932.3720658836232,726.5874307003362,1180.5821477023946,517.9791075043072,1240.4882485177477,747.429945359548,1019.2100275901022,825.1868097619434,942.1594001702445,598.4179924078805
labeled-data,2023-09-20_ID079_POm,img152395.png,382.1571683981751,334.9333909374417,312.8744044498719,284.02745484380034,292.38153076171875,337.0111389160156,294.0466613769531,258.1881103515625,265.4578552246094,344.9138488769531,352.46922165039695,299.07684326171875,337.0901766992313,347.7307092317876,280.78460693359375,298.23394775390625,216.84658202307006,280.9107693456906,248.96744094562337,290.0191372656124,205.07974654783268,273.7743104524593,,,1225.140380859375,221.53659057617188,1221.7586669921875,226.1564483642578,1212.38623046875,224.16387939453125,,,322.81171810202056,247.8523167497143,350.278335696474,247.37811919593418,382.11870891720054,248.81019483427764,,,287.26003512711674,254.91245118005497,279.08810827995376,241.21265105792173,265.72131148105893,351.21498902021585,249.14003493812794,347.0537441992062,226.52943420410156,348.2937316894531,414.28029257637576,252.9862753659194,331.6157209929162,318.4610661393628,,,,,,,1221.53662109375,224.12274169921875,243.34922790527344,845.18212890625,1225.01220703125,817.2539672851562,1046.1781740445547,507.03732391678716,1254.8802690082455,608.2453867142326,1145.8847927393344,829.071721493747,931.8187942912224,725.6571265292062,1179.7947573496238,517.2852719470624,1241.1343908793483,747.3949547151841,1018.6593194742637,825.286571724834,941.8703497692497,599.4989618622138
labeled-data,2023-09-20_ID079_POm,img159126.png,,,253.78842163085938,254.49935913085938,309.51226806640625,255.34295654296875,253.15833986586034,234.28443354148925,321.2128141349742,234.11959873058197,244.17765032849456,239.50888915211613,,,284.0260547015702,257.37640581964865,279.1697013339654,340.6468454375961,286.23381390892393,297.2388802190535,266.4850666982703,360.04287577937464,248.21029290040897,372.0041140408854,,,,,,,,,,,334.027106477112,248.68124021628475,354.9120727237558,252.82773150927247,252.00786318330006,284.93307416685025,,,,,326.23779949457696,283.6083333299833,321.62622762111266,320.95451379613587,307.75969939125156,361.63926632928144,386.96705077923997,260.62841551528356,274.53041096268197,229.53415687223122,,,,,234.29049967179913,249.32641581954456,1221.8560791015625,224.40086364746094,242.94549560546875,845.1491088867188,1225.5162353515625,817.1366577148438,1045.9834471579768,508.0727616846878,1255.539083024938,609.8430677023731,1146.7549962402613,829.0595029036215,931.4139112626704,726.5034526449037,1180.330255612551,518.3669127881144,1239.8395663365204,748.1824061031111,1018.3727715146752,826.1141658270006,941.7632941051871,600.1720454663335
