scorer,,,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert
bodyparts,,,nose,nose,left_ear,left_ear,right_ear,right_ear,left_ear_tip,left_ear_tip,right_ear_tip,right_ear_tip,left_eye,left_eye,right_eye,right_eye,neck,neck,mid_back,mid_back,mouse_center,mouse_center,mid_backend,mid_backend,mid_backend2,mid_backend2,mid_backend3,mid_backend3,tail_base,tail_base,tail1,tail1,tail2,tail2,tail3,tail3,tail4,tail4,tail5,tail5,left_shoulder,left_shoulder,left_midside,left_midside,left_hip,left_hip,right_shoulder,right_shoulder,right_midside,right_midside,right_hip,right_hip,tail_end,tail_end,head_midpoint,head_midpoint,chin,chin,throat,throat,tl_corner,tl_corner,tr_corner,tr_corner,bl_corner,bl_corner,br_corner,br_corner,petri_12,petri_12,petri_03,petri_03,petri_06,petri_06,petri_09,petri_09,petri_12_3,petri_12_3,petri_3_6,petri_3_6,petri_6_9,petri_6_9,petri_9_12,petri_9_12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-09-21_ID044_POf_preexposure,img000134.png,1184.1437387767116,286.9662744833555,1150.7864043697582,384.03256274773076,1208.6485595703125,383.9176573723288,1133.0971431611904,397.07448248003755,1212.0047607421875,402.80238056784236,1160.6896000028719,332.725739017262,1204.1261932864918,335.6519682362276,1179.6388213619457,409.9290569174371,1184.415362843951,488.76723150347505,1181.121014109174,452.30555587158153,1184.478146804989,514.5944994022141,1185.3896510465736,540.2563626691034,1187.6777095674404,561.3948364257812,1189.582967992087,584.0721285418341,1190.4698668963272,610.2961895414486,1194.0563938753016,637.9968979854805,1201.807113893397,661.3539386366895,1214.773591563505,684.8418556432376,1227.7502736167871,700.8902711462619,1130.5409359841742,409.5183415563246,1132.2005765362908,458.99717574462846,1134.8392967005123,521.410859929344,1222.7261016353832,402.2216956840962,1233.4965147942037,454.1803283691406,1239.8722720236383,510.5597672973628,1250.4585251112774,716.8669455931699,1184.2584900886086,346.25486991684875,,,,,233.77517700195312,234.26614379882812,1212.978515625,240.36378479003906,232.68661499023438,823.5629272460938,1218.2411516096524,822.5066174184791,1211.7615966796875,240.08441162109375,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img008352.png,1043.3400142462265,423.1114554944061,1110.491151129077,362.3752050861651,1051.2447163866238,338.6405916367946,1134.91235150457,358.2934399574865,1049.7821366286596,310.4022151538606,1084.3714485784285,398.42948079494084,1042.2915454141762,377.3378849337455,1096.5733390393282,330.36828775170653,1127.0427547347924,264.6215197693605,1113.5267427698916,297.0927083299833,1135.86069321763,253.21789927070458,1142.5131938976704,243.943771184191,1152.1602542513365,236.50054222188146,,,1176.4311815439387,239.0679583780435,1204.3043982717504,249.98571394740821,1222.1040137201157,277.43884100871384,1224.8428455132555,304.7979861464758,1224.4457912176726,332.39545101519934,1133.746602785213,351.14581867953575,1156.4098498474855,325.92313843778453,1175.7187752184843,296.6770499868782,1043.3932230665012,320.12103232268294,1051.2123148633762,289.1738740974476,1057.1616764376517,255.39945880821438,1208.5545756392423,360.7133333456288,1070.3392724528974,381.354808796041,,,,,218.9461669921875,236.93350219726562,1210.2722078943275,240.34428149355284,218.18943786621094,822.960205078125,1211.593017578125,834.3333129882812,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img009480.png,158.7555575899492,184.7058538564713,239.41202261879897,258.9676606870731,268.20724513239423,212.73307805961025,249.9567519899747,276.0014542866646,291.7301029604016,215.16647714526619,194.7997029542132,232.20027074485776,221.1615263821525,194.88815143146672,266.58497598106334,246.80066525879337,321.742021922598,280.0571194294246,293.75793243755464,262.617759315557,331.8811847794977,286.14061714356444,343.6426136935014,293.8463809148082,352.9706435218492,303.98554377170797,358.64857472171303,310.4746080001238,367.97660455006076,323.0471699426795,391.4994623780682,337.24199794233914,416.23901974890356,346.5700277706869,438.545178034083,358.73702319896654,465.7181344905743,372.9318511986262,,,295.3801984946586,288.97958274349634,,,316.8752237512861,194.48258491719076,362.2986733501969,220.03327531657814,398.799659635036,244.36726617313752,493.7022239756176,409.4328374834653,216.29472821084065,226.92790605926993,,,,,,,1208.0478908509167,241.41776249783499,219.83385418463735,823.1058352653795,1198.6809331573975,833.4094887282506,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img012420.png,280.470712888615,319.87305501972094,253.92044759181584,395.90574749061375,309.0029545138236,384.0569966801618,247.11317834143154,405.26271474617374,311.2955322265625,394.5382080078125,255.57577372367075,351.56365966796875,301.86743448625225,344.31628825204797,284.51732544749336,418.03269453219843,309.76850057033147,506.81463461157466,295.47751237956834,459.3026264171099,316.2516841580514,533.1813411404733,320.5153047615101,555.1271500664442,324.6148514824598,579.3080513515814,327.7736839584553,603.0567062958168,330.7870667584166,637.1491852616599,331.8060244939998,670.1314162532254,326.0504023999273,699.625449067438,312.3588645192675,723.638486932995,293.3260232841654,749.2011727391136,244.00696610753897,436.11393563882007,257.2909373382181,489.3476344172728,269.8889572771893,544.4091517855535,341.5037154422219,420.3675423786793,354.2347075153573,466.5980935081794,364.1211853027344,506.3702974473415,266.3950187596804,769.0708248690808,276.0009240642255,354.2849454725804,,,,,234.19543482756308,234.32319589663172,1217.945068359375,243.74200439453125,218.47055053710938,823.9959106445312,1211.3709716796875,833.9785766601562,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img020560.png,1122.773109561398,407.69837662386044,1164.5543836536508,342.5590674091672,1103.6918977712355,325.78076049023105,1173.4370167283819,329.07062459198323,1100.4020336694834,300.7777933169144,1150.4079680161165,380.7214909894925,1103.6918977712355,374.14176278598813,1143.828239812612,310.3183992119958,1189.2283644167921,247.15301849822237,1167.844247755403,272.15598567153893,1211.9284267188823,239.91531747436755,,,,,,,1222.7849782546646,336.6373120260133,1222.4559918444893,361.3112927891547,1223.1139646648398,388.94615124387303,1222.7849782546646,412.3041863663136,1225.4168695360663,442.8999225126089,1178.0428264708348,343.87501304986813,1197.1240382609974,317.55610023585064,1212.5863995392328,321.8329235681285,1102.0469657203591,296.5009800245051,1107.639734693338,265.90524387820983,1148.434049555065,228.07180670805968,1219.8241005630875,476.1275499403059,1126.7209464835007,379.7345317589669,,,,,225.14694349223961,233.24965275649208,,,227.95703080029537,828.0514662949633,1201.1839351569438,834.6083366804271,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img021846.png,1185.3707770153435,460.536506423265,1202.0533942028435,374.3870954395529,1136.5790273480784,384.1588676520212,1205.6024169921875,348.8168029785156,1132.4678971282024,358.7351220595382,1199.8211422540471,420.9634031042605,1154.8493410363644,428.2979431152344,1168.5914064660521,363.74110096619273,1156.1741314022618,277.31862271688806,1161.2358920206807,315.96342314322317,1153.42971709931,256.42666933855355,1158.0509603584126,243.45476325372096,,,,,1194.2885318719955,245.3135114011177,1216.3418003585532,272.53935727747773,1221.716253692622,305.9565075952214,1222.0994318634293,336.1368493056189,1220.6592584386353,369.0284052753656,1211.405322913781,358.3732427815957,1205.5390227986334,322.23958890916924,1205.5892021523648,283.61274904916473,1117.2072511926144,375.3094177246094,1099.1417725689635,331.196533203125,1094.973127115707,275.48758118745843,,,1177.361426537432,415.3795324814774,,,,,234.4068145751953,228.23666381835938,1210.614362062506,246.3359576421343,216.09848022460938,822.947265625,1200.5562744140625,838.4164428710938,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img023473.png,1093.1308342045668,233.72402068279004,1121.4693108752815,304.99382389034344,1176.1663947110383,278.3533629022719,1121.6577879779115,316.300048828125,1188.6576755221008,283.9107079435446,1103.840430983812,273.43671340266627,1142.1846923828125,246.25631713867188,1165.2068097766748,307.48775690788653,1203.5662292781972,381.53527591709684,1192.9059761763694,338.92542239946175,1202.658883098851,399.4367798454572,1201.6245080755707,417.98251962490997,1199.1249930820125,437.8035290587645,1196.8513737032767,456.4370174100045,1191.6273331719128,485.9359944828961,1186.8809745273247,518.7249451186102,1187.673095703125,557.0364791542976,1188.0254919413494,589.4577882065394,1194.7123886227391,617.8294168311825,1116.8619158989418,328.6131087851385,1129.990835428476,355.5085380649938,1141.720848034375,403.64117535938203,1200.3439669253507,289.20075391735156,1230.580446673956,333.35414418081746,,,1200.200924569957,651.4360090761388,1135.3603268243596,269.4839829706621,,,,,234.40411376953125,228.40560913085938,1208.6041094482084,240.46638658908105,218.23837280273438,824.8900756835938,1187.1861572265625,840.0848388671875,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img024710.png,,,1168.9205216558785,279.08583420835754,1193.2655160088448,321.52508112096075,1158.3929565302715,277.76988856765666,1201.8191626734003,335.6714967584951,1185.6988285748148,254.08286703504092,,,1173.1973449881564,319.55116265990944,1083.713041420497,308.69461112412716,1135.034921407831,332.05264624656775,1064.9608160405096,290.9293449746654,1055.091223735253,268.55826908275054,1059.697033477706,244.87124755013483,,,,,,,,,,,,,1135.6928942281816,287.6394808729132,1111.6768862853905,276.4539429269558,1096.5435114173306,254.74083985539136,1169.2495080660537,365.60926008444,1076.8043268068175,361.9904095725126,1033.0491342535133,299.1540052290459,,,1209.0568636972553,259.67563600801964,,,,,224.0427963456327,236.64218056975068,,,216.54923019081733,828.6339068001663,1192.5862218555217,832.3806898775739,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img026948.png,1233.2625125085358,896.545512658927,1185.3222013520556,804.1565696955768,1319.67724609375,126.65141296386719,1121.7362060546875,831.7725830078125,1118.744140625,830.2427368164062,1213.0759172366893,841.9513577758453,1176.2574210705782,871.3150162773817,1145.160374729729,809.3818668472389,1118.884288726259,771.9892276870827,1130.8954647437004,788.7821960440945,1111.5309989413872,758.4408463354064,1103.3905607270556,745.8819819995637,1096.7951407971404,733.9573478082903,1088.0692968830401,722.5896537265435,1078.4027307149006,692.3588773472958,1064.3874418004207,671.0246557496586,1043.3288732689052,641.9752217376174,1024.355329947834,614.3591727092113,1004.2841114328513,588.7582041107344,,,1158.019535473113,778.1689911844461,1142.0451477151282,753.7375789535423,1099.090615420626,831.0769020677793,1079.7840783711508,803.1975760496241,1059.4917289017558,775.5281143415117,998.595055770438,559.4279488730248,1191.8824284309774,841.2890893876292,1220.4332780721813,905.3460827437107,1156.7233872768393,887.654895844087,233.90847778320312,228.4672088623047,1211.605712890625,243.236572265625,216.24998474121094,826.0523681640625,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img028794.png,244.29367614947097,552.2265222188068,240.25615542565828,629.582928134937,292.1506042480469,611.5863647460938,226.80851264470073,639.9619490948503,298.5517883300781,626.8197021484375,229.58744669730356,592.6428572979752,271.87136433584266,579.5686381055635,267.4794392970647,650.3688969267866,306.9682491095078,723.9427828290545,282.73968059407247,687.358420860608,328.23769120998907,734.3301989685793,347.32274085459625,740.6490698322589,368.07459918907375,744.2788444104217,390.4533052598415,743.6975317463214,411.6029878971293,717.694066135979,407.6778576720457,680.5478217789928,342.3008060260729,617.4658959679533,369.17136552237525,635.4837194603115,393.3906184741731,656.0851334447814,235.21377872672406,679.1900680415853,261.5038355517303,728.9438384857989,304.54640619572916,776.8116719530302,312.27323118710166,637.463205614647,354.5015483020142,671.4808793647418,369.2708923791076,699.342343295528,317.00926513159123,587.1235384945395,250.5455560222333,594.3042728631485,,,,,228.1724253454085,231.27667184878013,1211.68505859375,243.22068786621094,238.05569303657475,814.9419560809074,1198.24951171875,835.9044189453125,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img031946.png,1102.4657535860892,413.6099922695502,1152.7188167264108,355.479189857346,1097.519287109375,324.3434826519454,1173.938884281364,343.9310994533147,1092.9241849644834,303.4150056992946,1134.921354582278,386.46200968759484,1091.914843347789,370.29445150208596,1142.935155445578,314.6620792495827,1197.8375536255926,271.51999149614016,1173.9943229461471,290.14551065812725,1206.98753677806,265.10870280771064,1218.2533360047369,257.4012479415658,,,,,,,,,1125.6388599210354,236.92277809281893,1100.5417211928798,236.75874772929103,1079.508752893342,236.8457147592955,1175.7927819643317,353.8853340764754,1198.5207311991617,341.9162752204944,1221.412748417472,336.92334188861525,1096.3447265625,295.6469421386719,1129.8811133294907,258.6239900240439,1157.494350618098,242.7511737000246,1062.7779930935721,233.90155503940417,1118.0720605388346,369.3631624677263,,,,,233.31695556640625,228.54132080078125,,,236.51919555664062,822.5555419921875,1199.55517578125,836.4910278320312,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img034954.png,1167.793424894778,490.371826171875,1205.2121122306776,406.8666076660156,1145.1123714139108,401.43020384536175,1213.9697265625,384.3083190917969,1141.9367399061741,377.5857405585558,1196.3092871174151,453.28799845712604,1152.2961173596404,448.7002229844509,1181.2801513671875,377.63282103688175,1178.889546027465,295.3577172100531,1182.2047578865102,335.10679199620756,1172.5694105495184,275.05163031572994,1158.2343192136868,260.258441685127,1144.354888523855,252.90906718472206,1121.3189192895936,239.1737902972733,1087.591822535896,233.49506959615834,1059.4469710474061,236.3127171071661,1030.6555427966096,247.48904482794512,1013.1301843080815,268.90889835764034,1003.3774633869464,298.3333121537088,1219.901747234413,386.3263297619843,1220.790401180005,331.8736656790226,1216.824997515411,281.01081280134815,1133.1289477579262,372.62663249434934,1126.6787109375,346.4385986328125,1115.6008439141006,313.22008462871656,993.2088289414821,332.58971883406025,1178.4996016525902,439.8305017411449,,,,,225.6973326476243,236.41806957405538,,,236.3520965576172,822.2608032226562,1198.34619140625,835.6915893554688,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img039232.png,1043.8221647590872,283.6681805436282,1128.961167669615,329.11482226251024,1134.238909147125,264.12517487308463,1140.631148086013,344.54754671888844,1149.2795306372661,251.82535667186914,1085.6366763412004,311.1600842383316,1089.9939622591628,264.6987805273941,1155.293110527463,292.55387924153433,1227.9381059021725,297.6336021960351,1189.7424235743256,294.03861862305314,1235.5727726976631,298.6876393476313,,,,,,,,,,,,,,,,,1147.7354451107378,339.8050138801811,1188.7122787761887,345.86985824544064,1206.9921256708924,352.54248907270284,1153.5136681318775,256.3724284571382,1191.959783184617,252.36558440305012,1180.3246699026774,242.2373306336728,10.185969352722168,145.1577911376953,1097.510035377487,286.0836976594905,0.5923135280609131,140.0243682861328,0.15889477729797363,138.3030242919922,226.52372978013,234.4656744183707,,,234.25413798684517,818.0625026090736,1199.4041748046875,836.1945190429688,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img047533.png,1045.492914180212,359.1731707037081,1140.6218074217293,383.2917470899313,1116.4156964837919,318.49655179777875,1151.5497220313666,392.4161472647504,1126.3065147269124,309.53317452130943,1087.3064508209247,380.2058429783407,1083.4759904824791,336.18722229811357,1151.2826869128962,343.2840547463561,1215.0401391134212,292.18146808484056,1192.1292165992302,320.9520765918552,1211.0212934976546,275.90221082864963,,,,,1126.8447682792969,252.13343844677001,1100.8158467959422,264.21002360243693,1085.9061975773382,275.10932066345026,1072.327118592759,288.00190577116365,1061.2643269936743,307.06430351256387,1056.297895967817,331.6058113921599,1162.899068515596,392.36163999938776,1215.9965055526307,360.1954735923582,,,1131.557706362756,300.80827872067397,1160.4816205829347,282.1581512705516,1158.8626582786844,261.3782659490732,,,1100.336701680504,356.4140338963095,,,,,224.48123837950686,240.371242806134,,,236.38323974609375,815.2282008308131,1198.1966552734375,836.1688842773438,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img051840.png,1049.615457530666,340.2169760263971,1137.1476259586036,375.44333649129885,1119.5344457261526,300.4538873198035,1156.3620043940045,385.0505257089993,1128.0741694752198,285.50937075893614,1088.844813502943,363.43434996917324,1085.108684362726,318.0670675522544,1147.5554142777792,330.34292044153835,,,1198.260024037865,322.07006305962955,,,,,,,,,,,,,1122.2031093977362,265.2275268549018,1090.7128780730513,278.0371124785024,1066.1611722944833,306.8586801316038,1177.9781801338306,376.5108019599322,,,,,1149.1566124807293,294.3159608751615,1175.843249196564,270.5648541980687,1148.6228797464128,254.8197385357263,1059.489513115525,359.9650871961148,1087.5104816671515,339.6832432920804,,,,,226.4361472256642,233.55121745433073,,,232.99301761112764,815.2392902218751,1202.4731388903683,824.6062479153944,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img062549.png,1057.7364457307913,357.65078043552796,1120.7689322809465,329.7812866009933,1099.2726343296044,284.71460122826903,1142.6349979407044,333.58446539635224,1104.022606215242,266.68030030502894,1089.47119140625,354.3695068359375,1059.4579756760277,317.09038776731256,1123.9624255511796,289.5822452652077,1196.9138921885865,249.26592626887435,1162.359806902622,269.97287949192406,,,,,,,,,,,,,,,1148.0972150014113,365.94517746356547,1116.8303952251813,368.6428782678633,1151.7833870147904,333.7702266787207,1184.757639284352,317.7702233096461,1212.907150641092,321.0343733101203,1103.3027053758144,262.6419395083227,1146.046690667798,233.89456274305752,,,,,1088.9103450467233,320.4485750352321,,,,,225.23980079123004,234.71957196203988,,,233.16610228176046,817.9975113756806,1196.7188720703125,831.8419445669167,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img067468.png,1139.3618257777043,393.8094482421875,1171.0717822506826,329.5387878417969,1086.1621345934846,326.80609130859375,1183.811988953732,312.1888716721216,1080.4743212729823,302.5807971030604,1152.7237202928738,359.4528767870145,1107.9227502461506,368.7281840040011,1123.3928198121587,304.6932303866998,1155.0819982650155,234.08392122254162,1134.245361328125,263.98541259765625,1166.3543847737953,228.28921355882972,,,,,,,,,,,,,,,,,1173.4815787653215,334.33881434731546,1177.4479215065985,290.97414101314075,1203.5383120731626,300.207329826848,1084.4810286645939,300.2743859983883,1089.588250012481,256.70822204626063,1100.1048910718525,237.5937025769606,,,1128.751757410289,348.62228354338606,,,,,227.89430438073353,231.86353028659894,,,234.5437233392075,816.3168237041458,1199.6833732184095,834.2922127190903,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img117377.png,1046.3622977695122,303.31945638891847,1121.6682059726372,328.71484375,1126.6941056328506,274.4015710469319,1128.3002445428358,339.53374145105806,1142.7764384732752,259.8581470909341,1081.0212609883383,321.927490234375,1085.4124849573916,276.9703434398894,1153.392831637079,302.2430350741998,1223.0651404771293,298.9990699216483,1189.395358512648,300.9098730549151,1235.4737505366716,302.78451486190727,,,,,,,,,,,,,,,,,1155.2396240234375,346.6007385253906,1181.7873916880721,358.87533367952483,1197.7522057550661,368.8179736843036,1151.7912510808012,256.8162974197194,1175.9220950511826,253.8559401458646,1182.0789189999443,249.24046202518005,,,1090.3969103943605,297.16686727156025,,,,,224.0488908322849,235.22233465780215,,,235.27064539885214,815.6520397318462,1199.0985107421875,835.6478881835938,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img118580.png,1065.1981239449626,391.16704623994286,1139.2768669520754,336.67571323213036,1076.6334435155957,293.1492271292561,1164.1864185921759,333.3611062781891,1076.3226712501166,265.05054820397044,1105.2538461717875,360.5091069626574,1065.474104257492,339.0854727536147,1120.0837628122958,294.5071026560459,1190.6541314924577,241.8012349144254,1155.5474529246821,260.6506107274937,,,,,,,,,1206.977206194874,331.26974862596137,1187.7260385733673,353.1311054927915,,,,,,,1153.234836875554,341.03702519370904,1171.9298290987458,316.3659835707793,1194.7174684717925,296.2462341193744,1086.3687579665343,276.13133301798626,1116.402990824394,242.11479178804308,,,,,1093.7967866022038,332.5791060631121,,,,,226.2201224123881,234.8193170721662,,,238.518400296337,817.2841114852716,1198.4969482421875,835.8460083007812,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img144969.png,1074.9791523822587,347.5437110254198,1147.8519945308128,342.58892822265625,1103.0706825387126,284.21041487339676,1173.5103537873715,347.82862189374407,1111.8231032809292,264.599693272184,1112.1392202344623,349.4054644826259,1082.3049392961752,312.72349007815416,1145.560205155871,295.15316963849693,1202.6707011003514,229.54504955917008,1177.6530727328297,261.2316995907767,,,,,,,,,,,,,,,,,,,1174.0672419920418,326.61227378119185,1195.070592402521,314.25766125707867,1185.5044448267865,338.8173947884741,1106.0126226145346,260.543154621677,1135.819403282533,242.28519149998556,1123.67474230667,230.29246453712403,,,1105.8198540634912,325.61696976507113,,,,,228.9611286971857,235.79038011965915,,,236.63694763183594,815.1827033764346,1199.7259521484375,826.5103616424183,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img182458.png,1073.9901424301047,355.34337525218075,1149.512575695654,344.1706612148628,1095.3624475117756,289.38816568541404,1173.1901237273971,350.64219768592613,1096.706819245847,263.41425168888406,1112.2594201680258,354.51553751962604,1078.4263387111273,320.27587606062275,1141.2375765000759,296.8023612460747,1203.022674849285,237.81456897201394,1174.7265075985097,264.98351113635835,,,,,,,,,,,,,,,,,,,1176.4161646834432,328.2162056131785,1204.9639210896953,301.1039720461727,1190.7232577994569,339.0025764627011,,,1145.7631905117378,237.83341773849907,1126.1445930694779,234.04211180434606,,,1104.0359321908563,326.0164030021618,,,,,225.47722461539774,235.50294835873697,,,,,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img186218.png,1166.92560292925,420.48151304626276,1194.6521769125757,331.2512855660564,1130.8628982028042,340.1121730477496,1198.1000471474754,303.84326965840717,1124.423161523,324.10644052778105,1187.6838811325792,376.9288568267841,1143.9758939841126,380.486399013701,1159.9559796869169,310.6706692192456,1143.8538930676289,246.0885598460789,1151.1501522260378,275.01781049819266,1139.1843895421212,236.40267880287706,,,,,,,,,,,,,,,,,,,1194.1152959109916,284.5920059962544,1195.1021084894662,254.9761109404011,1111.6285101943213,339.61260220773096,1088.353498788742,305.52476946294894,1076.853098905288,267.14937837147295,,,1169.6628682025712,370.2994636412079,,,,,227.15802246595644,235.02424376939513,,,237.87453869528525,814.1575623844544,1197.1637550063883,830.2315393116596,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img222910.png,1032.316325507754,315.5343933105469,1119.1989390229712,342.58625377037674,1118.614860897242,285.62875557599693,1127.822949063258,361.2947670891149,1130.9759931175367,272.93719606526946,1072.841765116371,340.20348135739266,1072.6054503885841,292.88999207051654,1145.650447264167,310.826287246706,1209.5525904680676,301.8363550877772,1183.834824333547,305.649360967001,,,,,,,,,,,,,,,,,,,1139.585041679746,360.8312683105469,1166.0933837890625,366.277587890625,1184.5774924633415,376.6223576916759,,,1152.6117260986614,265.2941679784657,1164.8091780886914,260.65114577111376,,,1097.2791748046875,312.9163513183594,,,,,226.69802972208066,233.71928315724023,,,237.48403917801534,820.8541262338131,1199.294006219031,831.2636725181263,,,,,,,,,,,,,,,,
labeled-data,2023-09-21_ID044_POf_preexposure,img226480.png,1031.3790244495246,301.6934542310269,1111.705800964187,345.7264048121541,1120.7792574475707,289.41760134174297,1122.9141883848374,368.6769123877719,1139.4599031486548,273.9393520465589,1071.1421131561183,332.6499528213951,1076.7463068664435,288.61700224026794,1145.3309632261385,317.171703526211,1221.9216106005838,326.51202637675317,1187.7627156043156,322.50903086937797,,,,,,,,,,,,,,,,,,,1131.4539121339044,371.078709692197,1180.0235909567236,373.2136406294637,1185.894651034207,386.8238253545394,1146.3984286947718,269.9363565391837,1166.9471389659645,271.5375547421338,1177.6217936522985,268.33515833623363,,,1081.016168740977,308.0982470428272,,,,,230.3358690847031,230.8587173669546,,,238.7661310088704,816.2935732119067,1201.6893819026477,828.4706182134819,,,,,,,,,,,,,,,,
