scorer,,,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert
bodyparts,,,nose,nose,left_ear,left_ear,right_ear,right_ear,left_ear_tip,left_ear_tip,right_ear_tip,right_ear_tip,left_eye,left_eye,right_eye,right_eye,neck,neck,mid_back,mid_back,mouse_center,mouse_center,mid_backend,mid_backend,mid_backend2,mid_backend2,mid_backend3,mid_backend3,tail_base,tail_base,tail1,tail1,tail2,tail2,tail3,tail3,tail4,tail4,tail5,tail5,left_shoulder,left_shoulder,left_midside,left_midside,left_hip,left_hip,right_shoulder,right_shoulder,right_midside,right_midside,right_hip,right_hip,tail_end,tail_end,head_midpoint,head_midpoint,chin,chin,throat,throat,tl_corner,tl_corner,tr_corner,tr_corner,bl_corner,bl_corner,br_corner,br_corner,petri_12,petri_12,petri_03,petri_03,petri_06,petri_06,petri_09,petri_09,petri_12_3,petri_12_3,petri_3_6,petri_3_6,petri_6_9,petri_6_9,petri_9_12,petri_9_12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-09-25_ID066_CTRL_preexposure,img003160.png,577.4170865858616,780.3609895860134,646.3057181796685,804.7138256795737,639.5429789057757,752.8555159491808,659.6167602539062,807.7249145507812,657.0999686679497,734.6396207655491,612.69675781652,805.9767675861651,607.1994824178549,755.4305432189208,666.6268851718561,774.867266835653,749.0980904140815,772.3507576604597,709.3263549804688,773.3477229764108,773.8388671875,771.0316036016953,797.2661881523818,769.0743546562879,822.4182071993706,766.1406998711318,845.9277356017332,762.3206176757812,874.4816503986652,746.6706599881294,897.2377010238547,730.6817488593372,917.9261177779316,709.2532853002501,935.6118213131828,684.4763525069019,950.0303190397086,663.1322785443281,682.4143676757812,814.6063232421875,734.2265429727701,825.2448189297064,777.5670776367188,824.6257934570312,674.1861975077557,734.2474572774006,716.0785522460938,726.22802734375,762.9209594726562,720.1255493164062,968.0098869109909,635.3472033430102,620.9711429803359,777.1647477226942,,,,,317.6430192070692,225.669794113433,1140.987596143886,228.42877983161782,329.9944486464085,836.5651049844888,1136.4603271484375,823.4234619140625,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img012920.png,,,347.7840356364911,268.1423616563259,388.41905354683706,239.49949155302807,343.90895507410494,290.17326619935153,405.6487121582031,247.6096954345703,,,378.5959733186818,219.79521910214072,374.18516275572654,274.9277176933973,435.7316926909131,328.8995137599553,403.3827669197132,301.8293330938828,461.23249998391975,344.2314742111841,483.4826371169409,357.31660726380466,502.1850406854141,368.6631953985703,519.0830078125,377.09466552734375,545.1671789731683,389.71689250009484,559.9493571097544,407.66329794165284,564.5685021992756,433.630964371549,564.6932442226753,460.8397570539477,565.2529907226562,486.9395674427524,351.8922119140625,301.8919982910156,386.373779296875,340.7919616699219,415.3102779080515,383.5072965467991,421.0805358886719,249.33094787597656,455.0796883144721,274.9781864574675,493.09275082323427,286.5450697973663,569.1712231405112,520.1903340624051,356.0822810818795,239.44455829350903,1345.8251953125,57.08645248413086,,,315.0931701660156,226.19004821777344,1145.8572998046875,233.2421875,326.6435546875,834.7305297851562,1137.043212890625,823.74560546875,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img018162.png,1067.840459843225,726.0722723236065,1044.995218593779,639.8397404298332,1014.7790330272855,681.1526489257812,1043.9007832416337,605.4373130667561,1013.3746303500174,668.3158473641558,,,1042.212424921671,708.4207989451085,1013.3751042771106,641.9230692974289,948.9319111713211,602.5987395717118,981.179834062121,623.1941432625933,921.9994929686042,592.8253179510264,897.8716411525187,590.5349165053639,881.8473501172749,593.7007773444789,866.0790433981751,600.0937283790229,842.7527033400769,607.3697528904501,823.192667324248,619.8803110155376,806.5153188672749,637.317138671875,791.3444035935167,659.6959238085062,776.9415480274021,686.313361190794,1015.7262601950501,620.6854257616313,992.7640991210938,597.45068359375,954.150390625,567.1107788085938,981.1532751566582,698.9053325587687,943.8523756641208,684.0910231250583,899.3508911132812,671.911865234375,752.2643533993705,717.0248912491545,1053.2539345695836,670.9452082228894,,,1019.1248417750697,719.7449935920299,317.60196500795325,226.8612897484603,1146.611572265625,232.67169189453125,327.6111254923013,835.2722513868135,1138.6046194759597,828.7315275623995,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img028263.png,1114.1873779296875,724.3720092773438,1079.934814453125,655.0616455078125,1050.448122031075,712.8614136519648,1073.5580266403917,627.0430072072354,1025.144127538771,713.2491906636543,1105.5689697265625,685.882568359375,1079.418843906221,729.1955003901877,1044.4953819921582,670.1792640816815,988.8333937305272,624.2648709571478,1014.4710477149605,647.843794198898,972.8800048828125,609.6156616210938,959.855712890625,595.0947265625,948.7376708984375,576.4826857227145,938.9351215427938,559.5118999415811,926.0025596487874,528.0029595322412,921.3971153905959,501.8325258411265,920.0969839063374,477.7195093957848,920.1096417185457,448.3437607058654,918.2530349215543,420.71780682590946,1058.736470859346,635.0884231051481,1035.5643310546875,610.372314453125,1014.1035766601562,580.4640502929688,1012.1669921875,711.1167602539062,978.701904296875,689.1534423828125,927.1702880859375,643.0645141601562,917.5709670504605,392.4177462303521,1087.828511874971,695.2438955274312,,,,,318.74041056248103,226.64912252661378,1153.7708740234375,223.67613220214844,326.2430725097656,834.1481323242188,1149.2436068608313,827.2368225769845,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img035156.png,358.09002274358676,313.53835907054554,398.5472265726737,273.10899730573703,380.1233202921524,232.5655914560985,416.4295399809352,269.114279717584,389.5870917104129,203.8904380667561,384.0857159372959,301.2448720899312,,,414.2681401657824,240.24784468296704,505.9548692937521,226.53785807733357,463.2367191622611,231.9282462558404,532.9589059890534,229.92935547785694,553.8705084432548,238.5841212734538,569.3328697214902,253.38850973133864,581.3899358200794,277.23501175725863,601.3802941792793,293.4965976264575,620.0434204879023,308.8936805855877,637.8439979684001,327.932337460471,652.0025644335062,347.192764618645,670.7465060737231,370.1138480755013,436.7228845113106,287.56563374110897,488.01547489421074,284.24525542123376,526.5828792230648,276.9372145313083,413.1707485860551,215.49165183515117,473.67770825341086,207.4811403910631,536.9082434961229,209.8159987109958,696.9554967585997,392.5334879208548,370.7891069830049,262.104110381355,,,,,338.10171149507426,230.15151234382216,1151.6181640625,221.99569702148438,331.25021721586324,833.9107055664062,1143.9677734375,832.406494140625,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img043427.png,1070.4814062580401,548.3615999375759,1050.351465648172,611.9629435154354,1107.8203125,604.6759643554688,1043.3250455702366,626.524181304384,1129.6116552814776,617.5167525314966,1049.212890625,581.5277087342042,1098.9899165899765,567.125889082126,1084.804862460748,632.2071797655301,1118.940609112769,711.6875817891195,1100.334716796875,673.5548706054688,1124.8754141944398,725.1489623822434,1129.355664464711,735.9639290069779,1135.5859720899387,745.28096881597,1141.1735605355368,753.2421407028254,1147.552907324693,781.5742883722887,1134.0056656713439,797.0138326578625,1113.4949361935878,808.8268648000035,1094.4210783051806,816.4290116487599,1071.8100284683328,822.537945566691,1047.926513671875,646.8028564453125,1052.489013671875,688.2506713867188,1055.4715689996965,722.9232246914253,1126.770263671875,629.0186767578125,1138.689881597827,661.2233439261606,1158.0739009649765,697.2294800206694,1041.6765679299506,830.4510326905184,1074.9061002577366,583.4056119764866,,,,,334.6094665527344,228.91505432128906,1152.960693359375,226.35520935058594,335.9652099609375,826.8876342773438,1142.6576349240518,820.6207877573198,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img046905.png,515.1088684182532,290.8564453125,431.0843200683594,273.75154947849666,458.66429810374325,342.44675658978684,410.03717041015625,260.35430908203125,443.8935270155491,368.7827783323727,479.6183776855469,270.53188679678016,495.5486739182153,324.1898262539252,419.978260404097,313.5626238942703,361.8614833139325,337.87438364787204,391.3877854838456,323.9200449921861,346.3444261714377,343.6815793057368,338.43386429632113,348.9436909564773,332.2014789646688,356.59570886666273,326.608056718371,364.6243550189773,306.67577866327554,381.7739274110307,296.45960486421416,399.6260332016674,289.09083523487055,421.7837410627039,283.31603429739977,443.02119614010013,275.3223171208671,467.7813001558813,,,396.55283652592175,276.155331627029,354.3553936738046,285.632066652277,440.2564831703771,359.10793375584046,419.9642692151093,368.92359374799,392.7416129651093,387.2893925021049,263.876766779232,496.81050379125384,480.9071858891461,296.77079630667856,,,,,329.74048666034594,232.2661604804308,1152.9764404296875,226.6966094970703,337.66583251953125,828.7506103515625,1147.3975830078125,817.2781982421875,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img067545.png,,,491.9459810410915,510.6027535201193,437.32822469745525,543.3239412461696,505.74468223909685,483.75347900390625,409.1412447230167,547.4880086531025,,,,,454.6459334396997,501.9597208692354,390.4116682426801,447.45004758129147,424.62151486242766,467.7254508155337,378.1102921462378,439.0930916146842,370.24519490425894,434.99045246256816,,,,,,,,,1372.8468017578125,45.983272552490234,1387.632568359375,57.50291061401367,,,482.6322937011719,474.9588623046875,457.63812255859375,439.0109558105469,423.9334716796875,415.2801818847656,405.5634460449219,522.9580688476562,387.9112984017937,507.77389403693866,371.2667057244766,493.1353247050212,,,472.58939989117727,548.3284608858098,,,,,333.6251680926154,232.61006213737923,1153.095947265625,226.95260620117188,335.9766540527344,826.0037841796875,1143.4999627886605,818.9975161642635,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img072459.png,,,1126.6890869140625,751.3209228515625,1076.818603515625,775.7451171875,1128.8333740234375,736.9739379882812,1058.130859375,763.9512939453125,1134.0384521484375,776.5060424804688,1086.379638671875,795.7420043945312,1094.2364294413492,738.750420328106,1066.9390547775904,650.7240165396125,1078.709168707202,694.5042244774351,1060.7566471407767,621.514892578125,1057.8372090825055,598.1028548364686,1057.8536470667668,574.1857185979597,1054.0418926951086,548.1551691603895,1045.0859375,522.3726196289062,1038.6614990234375,501.4033508300781,1031.9173396482918,474.28204441397503,1030.7035738670709,452.17983023434584,1031.8693866795127,425.0131845506938,1127.85205078125,708.3194580078125,1116.8514404296875,657.58544921875,1108.6256311055256,599.4859240863359,1049.884141437462,740.0899772028215,1025.6190761510527,680.5307703058825,1015.6499613678515,620.4646903275369,1035.3216120314833,387.14730930655315,1108.2996366447398,786.2317610864686,,,,,328.6414189715324,234.94538750769252,1146.198974609375,221.29107666015625,335.4588317871094,824.9571533203125,1144.5072635694694,819.387755318654,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img077604.png,735.5828236267714,808.003774241202,765.3823570588397,722.222934527121,713.5675659179688,737.9598999023438,782.608601527777,687.1861227660829,701.9357899353652,716.7600070649753,,,719.2481689453125,778.7642211914062,721.0073836335166,703.2186494270484,667.919628798224,656.7070785657611,694.5314847422694,678.9126944482921,652.0522334546149,647.0854465181003,636.0934058265533,641.7965066285427,,,,,608.7127075195312,633.44140625,587.5184133269116,625.5777224920467,567.2376098632812,612.959228515625,547.2706279689249,601.3619187694729,522.6902249610541,586.2115084373834,,,,,,,667.3640709261217,738.9316016273344,645.6479333388352,718.0105195442358,620.851171550922,693.8166328903203,501.15199451578883,572.3999254002288,748.033070576072,774.9512767689912,,,693.8607293323129,779.64846709931,330.845256134945,229.46054974182883,1151.6868896484375,227.37184143066406,332.3072814941406,822.5917358398438,1149.4212646484375,815.5492553710938,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img081001.png,1146.15277712976,461.23320924861594,1124.6506693555637,359.35744709348444,1065.8852010158148,388.9045300252768,1114.894975569857,328.29152421780157,1026.9972013118552,379.2370910644531,1140.0532641641764,406.18156859949556,1096.923360597713,430.4079866563259,1084.054394933461,352.16227535645453,1070.2317561795358,324.12290405072434,1076.2909533631102,335.9378124859298,1066.1601607145212,320.68264363271766,1061.2297892185604,316.9478633673203,1054.8123018318227,314.80797486155575,1044.5790738905491,313.5062711662243,1028.875234769171,299.2084851034018,1010.6018249411217,289.75130249224435,979.5400252265246,282.9900374335558,953.7103869568605,288.7637813360703,928.4284737148627,297.44623332643744,1139.4030069919977,351.9522765912278,1128.1204329614689,331.4668245469509,1109.8338623046875,308.2523193359375,,,1042.5050048828125,349.51641845703125,1049.3264461410422,369.2938781939284,904.2545524182343,306.5903511663191,1106.4954166720267,406.96560791618634,,,,,331.6734039798512,232.8892705605898,1146.6884765625,225.70755004882812,328.68353271484375,821.7867431640625,1142.5954491896687,822.1118137971764,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img096209.png,851.1258141210645,285.937491103399,918.6287625587103,305.3017568555563,912.7496242196246,247.93089103044838,929.0475613090894,319.28834471638874,934.3642539847249,224.36545909264234,882.8534742969333,307.4954144236241,878.8599843946187,254.7644939357218,938.1531680087163,280.33757339767953,1018.6481952732626,273.30853271484375,981.6788733789355,276.1319430854419,1034.287353515625,274.63690185546875,1045.2610670703707,279.3122774803521,1050.8221248045418,285.71636962890625,,,1069.8840370309003,298.1236394333605,1090.512949022563,311.73483152262116,1108.388929412838,328.9390411900069,1125.5240237484838,349.5296072242302,1137.7568906627798,370.7221267453065,946.4418926173623,318.3613182714553,977.8585599219916,329.5889892578125,1003.5806884765625,338.3776550292969,942.8145617980995,236.91495516531594,971.4280160159166,232.00281780715073,995.1121187111999,223.30819353012768,1157.3274492172925,397.2438593728135,885.8976071108909,279.9586938374825,,,,,333.5980529785156,228.20689392089844,1150.2547607421875,226.14451599121094,329.27679443359375,821.9471435546875,1145.4628859893396,821.0527601283227,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img101758.png,996.0128409176772,677.8044866013294,950.9620457022504,721.9184945315416,996.2859929489855,748.13418798901,928.0308659958605,727.195631641208,1003.4574849017898,776.941637382142,959.935813593546,691.0836181640625,1006.8931519332148,712.7889630076085,959.490540507725,756.5787185153042,923.1686579299208,822.062441835675,946.978608807515,792.9190327533523,911.9427375401121,837.203778025303,895.4107141948908,842.2677325821927,880.9497445315416,833.4871864449626,,,852.1963453129373,829.9180374407066,831.0165722859725,833.7908786323169,808.8055136726039,838.5376663469566,783.098827969508,840.8095102342875,757.2077401370103,842.3614324021105,922.6844155266149,727.7432664257229,901.6946016991021,743.4357722654793,873.9682045113689,766.4172805270231,993.7407875191815,780.0471792188375,972.0208370913597,829.2421138450907,,,723.4182945898145,847.4212074410565,985.962371542065,708.8374230077833,,,,,331.1290830359012,232.72909653924427,1153.1436767578125,226.22216796875,328.8302307128906,821.8505249023438,1143.0777082325217,823.7523330553327,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img106030.png,254.21448097810762,811.117138127653,321.74219774227475,815.0882603047452,291.8239056345616,748.5007174995044,352.26066959415766,804.54891903466,324.2541027526818,737.6117442764983,293.7840703415636,819.2709773436043,273.85734304664174,768.8513616013292,319.35694890485064,778.0872437300898,347.29905294726547,760.1842934563024,334.50958921813776,768.359148652577,354.57435584730626,756.3329083201083,361.07544586762464,753.1145048239564,366.04634290858195,749.3493916400711,370.3137204190181,743.3312622847773,386.0998767663828,728.214714981081,405.9419816879955,719.2739820316873,431.7452199394529,722.1423003118587,452.44938664899126,729.1585750776002,480.94582211812025,735.2267898043668,307.9453020782414,827.5021760631404,341.84340246434766,816.6444769432128,368.485560195332,792.1273750617407,279.2813859311162,737.3407481827484,303.00029780433783,729.9017362692689,339.5069370596723,725.8373143346839,505.76727362205565,729.788836152577,297.6455926666278,789.6185840417734,241.1509472235622,816.4031521591643,236.47934725515967,811.9427771635375,331.7816749282635,233.7350345403776,1152.5965576171875,225.64524841308594,,,1141.3161950733784,822.7278676737737,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img121154.png,,,569.6130529886893,363.55182554626276,517.1168909367128,367.24177871994516,595.8039723031133,347.1996485828182,493.4708655664354,354.42699947102363,570.8082688671293,377.72718653288246,519.4496882811043,384.56867727515737,546.0154250582731,334.54871753801297,530.3917630469916,236.02374926976464,536.5670569726854,279.32173821367775,525.2757727152521,222.22687015788262,517.1834452739915,213.94950799415528,,,,,464.22425904337695,226.06917034112635,441.1805292678114,236.52853269449622,419.15004794892724,247.31323146493122,399.8086792769647,261.0415372946595,379.89254952130943,273.562828710646,585.1214599609375,325.76275634765625,585.9490356445312,277.2893215629956,573.9030847843691,228.070177084786,494.3851318359375,331.6112060546875,481.93876614307374,298.98611574300384,468.4608392486591,272.4217618262885,354.0146417388935,285.0123065236416,546.191614804221,392.9154291970322,,,,,332.9902063108883,233.03807190544416,1152.9453125,226.69044494628906,329.71551513671875,825.51953125,1141.4615478515625,827.1549682617188,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img147999.png,451.6740652829116,296.4672072848356,404.6110817863805,256.17809709458083,388.0793276258162,316.5582294529501,392.067071895056,223.79320298476867,362.0954450189482,331.83234982299433,432.7205937790637,266.4722871682311,427.13621937415456,315.87162431626047,372.5456237792969,281.9561462402344,310.88258902340834,244.10717711384967,330.1106862989156,273.0366516113281,312.45086669921875,234.48353576660156,,,,,,,,,448.75739655774794,276.670016507812,461.6800427209652,299.9152014290748,466.1689453125,323.64892578125,465.1399339061917,351.35410187348396,,,374.7802270406075,237.49788161504483,384.03957020423263,220.34562812441695,,,347.7985964246443,325.28819117155433,315.25799560546875,317.4200951269239,466.94109122067397,377.77237579926526,420.5083312988281,289.5580749511719,,,,,,,1153.3919677734375,226.42750549316406,329.5204772949219,825.776123046875,1138.90380859375,829.0379028320312,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img185949.png,462.8738600391208,230.53558890133803,395.9287362816292,248.6858638182136,460.321060158115,299.10068333652026,374.85462918018317,242.4904749719567,455.79168473886364,327.79972392270514,,,461.1762008405434,263.0060491790754,400.6519568750292,295.60974312482506,319.83471009826843,298.5294367385145,356.64104497927343,304.1783622356576,,,,,,,,,,,,,,,,,,,378.34939833867764,259.33617752874295,358.5725510936917,255.4344393455865,350.8961893071079,243.90644292925097,442.4720052432077,333.74777125985304,401.63346513657297,350.63547040012827,348.5163399127799,357.59470685541044,,,444.0831702539352,252.59043343752916,,,,,334.17832569230984,232.52413461957792,1153.6595458984375,227.20054626464844,330.5890808105469,826.1014404296875,1141.1881103515625,827.2163696289062,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img225121.png,438.59648959931786,359.0188214060459,411.00908247084897,278.2343562498542,371.3526392277285,317.16616629900307,411.33252048819384,243.93192288644187,335.09194180734033,317.81817885625577,433.07463709949275,314.12395254879897,397.53480974615206,345.71933079092815,370.3084716796875,278.427490234375,328.8249816894531,235.99217224121094,343.8275451660156,254.94717407226562,,,,,,,,,,,,,429.8211093960764,250.7880894288567,448.16237130882695,265.91268279448474,453.03146840776583,289.83139219012384,424.68955548822294,276.44256946163705,402.43184248061453,247.183116615657,404.0027691599522,233.03953619529784,365.93917531185855,337.84022651308885,339.6630465233209,306.4531033790229,319.52491602506996,306.82666302708134,454.6961231820195,315.01646053279546,407.2733065330865,316.7493531050897,,,,,,,1153.3272705078125,226.20925903320312,329.9609069824219,825.2464599609375,1140.644775390625,828.3546752929688,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img227336.png,1202.2041040159665,328.5850638727434,1105.00439453125,355.7552490234375,1140.7835693359375,394.3769836425781,1075.0750361987825,344.51224078661625,1129.3775634765625,413.88873291015625,1146.083993746454,331.33911417375225,1172.7424731485514,371.1739457307912,1111.9464986131863,380.8348083496094,1074.5856172615102,442.7879732386416,1090.253153074162,407.8392667616429,1067.6531982421873,457.72256307837154,1061.7040555900523,471.87864788123875,1055.64644532054,489.44421632065394,1048.1574776211125,509.06602742982034,1026.1234981128453,528.4601729416529,1007.8885335152457,539.3626456799531,989.4292590271731,550.6279516681965,968.8465954449142,562.6237886683291,949.3312560934655,574.9479187112221,1088.7167924104788,361.18687581246206,1068.83349609375,381.8554992675781,1029.5327514447433,421.48340172553884,1146.5498392774387,418.45390623994984,1131.402608644588,451.06317138671875,1127.3510262352472,490.13721110361047,926.7458898905682,597.2965641329642,1149.158728449655,352.541435953106,,,,,328.5714416503906,224.3695831298828,1152.07666015625,226.41970825195312,328.8313903808594,825.618896484375,1141.456298828125,827.399658203125,,,,,,,,,,,,,,,,
labeled-data,2023-09-25_ID066_CTRL_preexposure,img233086.png,298.8256591093364,200.90731473161665,341.4326359304084,223.46672465341516,356.5721431625267,243.5730456884674,278.2282149137401,247.89359697974794,278.3745170178437,274.35934409026106,328.03114868365066,208.91839619217416,278.34796142578125,225.15097045898438,,,353.70545616085815,257.18245238252797,331.1561918104711,246.21723466903035,366.1114450972219,267.0577187048524,379.0383087408432,277.38663819253645,389.3881002359873,285.7914912970078,397.807466660915,296.77820555233603,419.09885619916184,316.69158243748103,431.26916096670203,332.29737711722544,445.4170780489799,347.2741711486082,463.7659981289252,365.1343868048203,487.95057128705247,378.20807453891075,254.23272248575847,230.8914090855771,326.04714637016434,288.3923612139143,413.297767913078,257.83948809192174,349.30319336540504,192.02677362937985,376.92548192114816,211.55245961629532,362.8620340011558,308.38485075240897,517.9233089340112,375.65917154277906,311.00228145796007,229.58341082051135,288.10156401839254,175.5610782328196,281.1787316914632,165.2248495890942,,,1147.9287691018249,222.8126490965339,329.274169921875,825.3231811523438,1138.344473050421,823.3401432345267,,,,,,,,,,,,,,,,
