scorer,,,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert
bodyparts,,,nose,nose,left_ear,left_ear,right_ear,right_ear,left_ear_tip,left_ear_tip,right_ear_tip,right_ear_tip,left_eye,left_eye,right_eye,right_eye,neck,neck,mid_back,mid_back,mouse_center,mouse_center,mid_backend,mid_backend,mid_backend2,mid_backend2,mid_backend3,mid_backend3,tail_base,tail_base,tail1,tail1,tail2,tail2,tail3,tail3,tail4,tail4,tail5,tail5,left_shoulder,left_shoulder,left_midside,left_midside,left_hip,left_hip,right_shoulder,right_shoulder,right_midside,right_midside,right_hip,right_hip,tail_end,tail_end,head_midpoint,head_midpoint,chin,chin,throat,throat,tl_corner,tl_corner,tr_corner,tr_corner,bl_corner,bl_corner,br_corner,br_corner,petri_12,petri_12,petri_03,petri_03,petri_06,petri_06,petri_09,petri_09,petri_12_3,petri_12_3,petri_3_6,petri_3_6,petri_6_9,petri_6_9,petri_9_12,petri_9_12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-09-26_ID034_BWm,img006078.png,488.19589807564716,474.0915044235949,437.9608478611532,396.76568507821247,400.5834633781774,441.9758704492479,441.2592554386659,378.4383554491313,377.58993023390855,438.7227821480876,462.2962341308594,427.3178405761719,434.30471897452185,461.2683795216885,407.75641032118693,403.21270436459304,362.6072769426597,321.61473662893525,372.2016315525595,364.8484102928522,363.9620666503906,299.5450869031599,,,,,,,,,,,,,,,,,447.4228133893715,382.4725688091477,437.5481504284047,346.5194645778042,429.7078708198169,308.4853986322294,371.78028042021344,438.38712628900413,347.40446123032297,407.9108387313142,323.32712353032133,359.0865977767839,,,441.5791276840892,437.30270357331506,,,,,,,1126.4324951171875,280.5572814941406,333.6690673828125,840.079833984375,1111.3758566527074,856.2777384799876,1162.1693777437467,672.3675304853498,943.9738741446382,783.6588492334483,842.4113400081421,559.1829056729352,1059.3863139732175,457.75024829967276,1077.0968285486356,772.9286879275865,850.0564611926037,703.4449721069907,929.2124761258787,465.0332101471615,1153.3028011354393,540.7131891030756
labeled-data,2023-09-26_ID034_BWm,img010614.png,862.9294068160272,686.42822265625,789.5503400384795,734.8773577931728,839.2225418352378,776.5664625004373,770.5256236710296,743.5669574802938,836.2348267379023,805.2158260541628,818.1883357420417,711.9441547459188,854.9662278515043,740.8882446289062,799.6290528121209,776.4009644332148,722.1907402162138,828.8180151737696,766.4948749607627,803.4278275575151,699.3096820656771,838.8825165049266,671.9077839231865,846.1669076174792,642.9864735506935,847.6416798524068,616.1140747070312,843.9151000976562,589.4885307435576,852.8691679876397,560.0284925028573,866.7578297249881,535.0724603932781,877.3678948618526,505.9043469746333,884.9620560770603,473.11620815919315,890.5508373691484,752.9984347069147,735.945112558273,699.662455490118,763.7976732417503,635.8914184570312,773.6909110906597,820.6546020507812,806.0269165039062,750.3890734630952,845.7007142159513,682.8042826225808,867.7801642259493,429.60632347765034,884.1008637087571,832.6383397253088,740.7988646683478,,,,,339.76762084989264,271.88590055482825,1127.635986328125,281.2476806640625,334.34624666196856,843.3419200255723,1103.697509765625,840.522705078125,1162.3336843843717,672.712367019157,944.0077360172218,784.7223505340887,841.874315866309,559.0350906235032,1058.8595437376343,456.84867326856363,1076.8047874249849,773.4718887192063,,,929.2240705372092,464.33039178086864,1153.1023847995925,539.7028999800696
labeled-data,2023-09-26_ID034_BWm,img012616.png,537.9683561171116,317.6223571877845,462.01963256634934,279.29060667940297,469.34433513307806,335.824160560471,461.8663810415657,261.6678067906552,452.41238525993634,344.8255224689776,504.02372476744534,287.16894124013953,499.8114762383192,334.3958475782198,443.03349853716634,303.6178658047064,364.6305309917891,311.2824271841439,400.7893774393962,300.0783443143014,345.44542882880705,322.81552658957884,329.6074743732745,343.2397407946563,321.7029113769531,368.03153648312366,321.9961474750077,393.53744634534337,317.60460164857034,403.9263212452028,315.78416908931257,425.28999637809125,312.1633113352167,447.7524292394194,303.5075109541676,470.9358411106839,294.46077191070634,490.2287487752768,,,377.4182400699135,274.89111696144965,,,442.98321533203125,350.9286804199219,419.98820515213515,362.2613065666149,374.6419982910156,385.2462463378906,285.8616011643091,516.9212854024008,497.60184775639044,307.86957886144194,,,,,332.546434943661,283.1029004167554,1126.5823974609375,280.10272216796875,341.9040120610211,847.6152173012365,1103.9374005076086,845.5035635739272,1161.1272387477939,674.2635397583649,942.9507539194248,785.2209714636355,841.7221625674505,560.5663812957132,1060.1981425864988,457.52187262342824,1076.189040570724,773.8089985263102,849.5602448321613,705.1248121948814,929.8487307926391,465.9022765577401,1154.2532637058428,542.1013501192049
labeled-data,2023-09-26_ID034_BWm,img020329.png,818.414794921875,579.750067953144,743.9166272032958,561.7256205274387,759.1269209885278,622.3548917616429,729.9784086173961,545.3589798903785,755.5050053252241,630.818614898134,777.4462821445123,562.9513688164442,786.5595910664631,610.7605452460558,725.826083167893,597.0172949299151,622.449622446754,646.379684201911,668.9603434378794,619.6737784723528,595.393069302128,660.9535505769489,568.7998567936137,679.1773689483842,549.6754565469888,697.845522030586,533.8407259141384,724.2401871758192,518.3546740662354,754.7105692780077,504.1092464038606,777.9735087311327,485.6827567237368,801.5384538175823,466.09798865532053,824.4576766339127,445.20698812317966,849.6920650274765,689.5681286279388,566.7995988170132,613.1987459738702,597.2193001007279,538.3032836914062,634.9296264648438,729.1027278592233,647.3286328084799,673.6872265182792,677.120183129589,614.1370849609375,716.2357177734375,421.56060791015625,876.3502970511606,772.4922151719509,585.9414672851562,,,,,337.21473388700207,277.1299922436773,1136.347158788042,276.40226807658,332.09131799366594,846.516366693196,1109.8475645686706,854.5079085598,1161.4485767464448,675.5386378467189,943.2602021616121,784.240526911646,842.0933221059391,560.7381303903363,1059.871494529254,458.83644203930305,1076.6157983832243,773.206739901451,850.6452612956809,705.6121978491353,929.830505478931,465.91366485368843,1153.4591247018936,543.4455724127029
labeled-data,2023-09-26_ID034_BWm,img021532.png,720.4278424798857,326.5955712011427,635.015211719333,294.01197150311907,633.0296020507812,350.7179260253906,634.5471334947819,275.7135884174148,611.5392456054688,362.5633544921875,681.3363253319146,299.69681073215946,675.1201407223647,346.076171875,612.0723266601562,314.0115966796875,503.1191781252915,300.0794048243937,558.7158683391732,306.68313694327196,476.3201750437262,297.9596483902753,452.8238270154496,295.9908821222309,429.35402726163096,294.8265252569383,404.60307125854115,295.2324943934817,381.253108566595,299.49471046547734,358.5127743285977,306.8395177163842,337.7565445976942,311.05710991208787,317.47955115030646,314.27259646975125,299.51968939071935,318.6947366835457,602.983971288771,264.52654962013185,541.320237499417,262.4907229403569,478.18147145519555,252.25415025623934,593.4884595707499,361.65922101556674,527.8039916214727,350.5645201859259,454.6272736118819,343.506582511544,274.25099580476865,338.9008648002139,664.8198525383336,320.51750723629897,,,,,332.3713402834389,276.9456856936509,1127.10546875,280.4853820800781,332.1594002285346,848.6831840200814,1102.3284428149166,849.0625373772757,1161.6939380745698,674.4002585083649,943.4265108633881,784.0202631317451,841.8131659854192,560.1999262175881,1059.6790627806033,458.36060564161045,1076.8064238153281,773.1068742868208,850.2543124310257,705.6947158673604,930.4701912937065,466.5216376654845,1153.8671633019894,542.4518569811138
labeled-data,2023-09-26_ID034_BWm,img026383.png,797.7843420390057,789.6066227267142,861.8476908399385,841.0511499144039,867.2534720859186,774.109130859375,874.7788582463972,848.8132556293045,887.2871118284664,775.4721590397074,826.6472526135468,822.0935026215869,827.6099438436362,775.2332775939207,887.7611763515814,807.5567834492756,1010.1717130909059,825.0446008521884,951.5697884020783,809.7850297151663,1028.2463798409628,836.4332450552378,1028.6191935154352,852.2934940746551,,,,,,,898.4759626461235,863.0194986711163,873.6315312041304,861.1138985195503,849.5227458017297,860.9805700663494,822.1468152116772,861.4423160860892,879.6408081054688,845.1024169921875,941.2897204931548,862.8966353439966,972.018693831576,881.0094515201761,893.4363700150369,759.5886613170132,948.4137573242188,752.452880859375,1014.7819087774766,781.2290926133571,787.4250581995791,859.3570695000379,835.6672603198762,803.3094922035802,,,,,338.43789932288905,277.8223518786407,1135.7285652401192,279.1827511697209,333.8336000502642,849.8134227129765,1101.81298828125,845.8778686523438,1160.513712817039,678.4792390808124,,,843.5419252109143,561.9451291783848,1063.7564075028372,462.15763484989094,1073.6480980798858,775.8720599417218,849.2318671572942,706.7831554847832,932.806740225529,468.0829796179056,1154.74138691297,547.5037563622869
labeled-data,2023-09-26_ID034_BWm,img048925.png,370.93629308281805,441.3477910446886,366.31442232331494,386.6612390034981,,,365.405517578125,367.3816833496094,,,367.070556640625,409.692138671875,,,327.93248650469343,370.51284254745786,381.063519983938,282.124356648758,336.58762582034166,317.09755101594567,408.5692968074277,280.53241129774943,429.4196168038418,282.97502141461626,450.92584213543506,286.58664586389466,472.7107196280176,286.26170783368445,,,,,,,,,,,382.0335419732976,371.1206556934177,386.2429557923858,336.93012555658237,431.6345197499711,325.30893422807833,,,,,,,,,347.67200252786836,417.351798132754,,,,,,,1126.929443359375,280.66204833984375,334.46293432184325,852.4355501157797,1104.0967533617913,848.8273573613691,1160.8160078469398,675.179421754177,942.0115872818042,784.0303999366893,842.038300478815,559.5154048412392,1059.8081889732175,459.0367231250998,1074.1688500330106,774.0867079471178,849.8770420312393,705.0408825354699,929.9952767429254,465.47017292976045,1153.8422411891056,544.5499836334488
labeled-data,2023-09-26_ID034_BWm,img062475.png,999.217841390644,633.1710437152421,1050.2309916211887,679.9608626288683,1070.9152599956954,621.6594018474286,1055.0447998046875,695.7727661132812,1092.3841552734375,615.736328125,1023.8940787854218,664.8578446565724,1034.066092929498,617.2095336914062,1088.6228788322398,660.7751981480772,1150.758717871568,723.5615132817242,1127.8019055437087,688.6027864409131,1150.4258761715762,752.0842958065349,1143.28100384832,780.0876037497154,1132.6795955551047,804.1987084880536,1114.2254756921081,826.7859403355772,1091.8957128986651,848.5520125513124,1065.890993664404,864.5449117192243,1035.0642342028593,874.3855546175101,1003.5286035075848,876.3243892462266,966.2460587580554,875.5627935114582,1053.844482421875,707.440673828125,1070.3033793165012,734.2740836682343,1058.8045609651663,775.8817484571262,1122.7466654895143,636.1436483015399,1167.047933452121,724.3336561927922,,,921.6184135291961,863.061722742713,1040.8649833163872,639.3332783983427,,,,,338.3285833038018,281.0950678733053,1126.5162353515625,280.61553955078125,332.60577583966887,850.0923576747317,1105.2108632855789,855.4302048404302,,,942.3611974126084,788.3524664684685,843.2660764441043,564.182326919683,1062.4088597115917,462.7982540709255,,,849.9049298770818,708.4743016716561,931.7730845761648,470.33284339590523,1154.4109837066158,547.068417444163
labeled-data,2023-09-26_ID034_BWm,img070206.png,360.618768722808,582.2659151130725,379.6399841308594,678.7819213867188,422.27759603534594,640.9762768514488,377.1119966660915,697.5792614605392,435.33966064453125,645.9134521484375,356.1063814317165,632.3064921094698,398.19750000201,611.2375626641004,412.3165559922634,671.7927453633382,499.31561279296875,703.030029296875,448.20587158203125,695.1786499023438,529.9457397460938,693.2166137695312,547.5061645507812,679.2013549804688,557.948486328125,667.2045288085938,569.0374698946829,652.3429414802602,589.2888220395746,631.7771777182948,605.8186763757019,616.5726281557378,626.7486633602285,605.1759826559653,647.4819315826951,599.4913122538495,669.5271008361082,596.8253727267142,381.80279231327523,707.8900383987802,453.7141540125338,750.3123099765436,516.1618041992188,745.3944702148438,445.0264892578125,636.5596923828125,474.334716796875,642.8229370117188,493.3658447265625,638.9373168945312,700.0792236328125,599.3596801757812,382.7800931776585,634.0428580621965,,,,,338.84413020063363,278.99876703587796,1127.0356934674012,280.358300565198,336.3900951824265,847.2045056908431,1115.353515625,848.4356689453125,1160.6253990510272,673.4407396161415,944.1262333422602,786.50683647763,840.7720941864325,563.3494400972356,1058.061602405254,460.0158182601006,1076.6644060254796,774.0270287435704,850.0569709712145,707.6158379210195,927.7443577591276,469.0895497549559,1152.8566696839912,542.2946546161521
labeled-data,2023-09-26_ID034_BWm,img072677.png,1243.0772391397056,478.0838986315268,1152.4664029921116,415.29816242953575,1127.0024137342994,476.76348430501,1129.259415261093,393.011182042836,1104.2663045314398,467.12991249550566,1199.5933634775108,439.39075025784985,1183.4314790578164,484.3281128834201,1114.1952986640244,429.015322669846,1059.8793070508762,385.3692045057835,1082.5962259961887,407.20124797286485,1045.832938632623,373.77283122079797,1037.507227366922,357.88102010761156,1036.5250634685224,343.16138102548547,1035.4178428519124,328.3807067871094,1015.9230712113165,303.7254876861591,994.8957106250583,283.8293841603603,964.5910625392374,266.7615779295417,933.6378068564309,257.6682847362698,904.8623599809935,253.2228835543668,1159.116895818284,401.40972252833006,1123.6202832192052,373.96779379930234,1084.9416780625759,342.37989787520866,1093.7893689025145,470.25362751943635,1062.834765222789,449.9687919000871,1014.7842500340143,410.8742182171371,869.404070527577,251.73896980939537,1184.9824825682463,458.8796395064474,,,,,339.9281697658147,277.92424310376157,1131.8366155853253,279.38972439502686,332.1205749511719,845.284912109375,1112.3475341796875,849.4864501953125,1159.5801349908293,680.3197163738438,940.6619273497911,789.5445562041924,842.6265869140625,563.8199480177616,1060.4948004523712,463.3475146271723,1073.7012843308107,778.7922683041011,848.6238655024646,708.0076325274738,930.9843371904315,470.4842913876953,1152.2184547627041,547.7989129263461
labeled-data,2023-09-26_ID034_BWm,img087932.png,474.7011874702075,318.0879071771513,401.4316101074219,299.8260498046875,423.1565246582031,356.7713317871094,391.82506023370445,284.91815118263185,412.85638427734375,367.7460021972656,448.1147229476153,298.3608770599347,457.60956700206975,343.56379350571365,385.9037526274195,333.80272547839905,319.0380643165229,374.61819362313435,346.3291361919602,344.5939912697936,319.77447509765625,397.6292724609375,326.2309875488281,411.8879089355469,336.3725280761719,421.62078857421875,347.5384756833022,434.1680790528801,348.8913977929979,466.3041385723238,344.6457668754956,492.3289815106982,339.0457734963561,523.2887033763991,333.3501075097948,552.4923690803112,322.6110861823695,586.2940792548679,370.56128943452666,293.2846021488748,341.68845331174214,312.19874510701374,,,424.9503812888001,379.00242485409865,401.8351008010145,397.73809623064363,398.17079359217564,421.60150146484375,315.7134026309268,627.2378847234206,450.62346465627894,316.3196480959947,,,,,346.22492244424836,285.75964640031475,1129.754150390625,274.44940185546875,332.2154541015625,843.6285400390625,1112.5114347889619,857.3395607727049,1158.8077801998515,681.2376250952291,940.4669542703775,789.5012901637419,842.3310552276299,564.7645902113028,1061.2159740348052,465.26710107864176,1073.9585465424539,780.2077296432161,848.6412374042452,709.0537288700976,931.2289070063708,471.1883340750866,1153.3649674212575,549.4705347979104
labeled-data,2023-09-26_ID034_BWm,img093725.png,,,978.9229606243293,520.1444635162372,1034.3933633582672,538.9027897462395,967.3527807210237,521.5787070319789,1035.5083233591708,527.2858863692574,980.1698459174731,506.42210258847365,,,1003.847856580457,539.7635863480352,999.8333413078648,643.5592712671116,996.4030424993585,591.868626326784,997.6731567382812,662.1461791992188,993.8196646481459,678.909423828125,985.9831787886835,694.2910973241896,979.5225661715543,715.6174739256355,983.1975784563316,759.4290549592465,990.7930412684817,789.113939060022,997.9815826939131,816.3350367155432,1006.9641886313257,846.7876604258103,1022.6847928321479,875.0332276168085,946.9506648436042,542.9005934375583,936.6101338275711,577.6970859585763,933.3668608273301,636.7146065232272,1033.77783203125,562.62841796875,1040.4178466796875,594.3638305664062,1043.4400634765625,638.961669921875,1047.0765155080167,901.9478168552938,1008.622181288217,508.52350484503273,,,,,339.6429687586201,282.06708236299437,1124.46728515625,270.8199462890625,331.2465515136719,842.8831787109375,1112.461669921875,848.782958984375,,,940.2315935251964,789.3712244623918,842.1798396019153,564.1477286281685,1060.7650108670557,464.5750221459889,1073.899831802401,779.5161722637237,848.1253124136169,709.2182086772336,930.5550906563925,471.417365798265,1151.3066159946966,547.4852631963907
labeled-data,2023-09-26_ID034_BWm,img095947.png,,,416.9917256244461,395.00213814435637,359.12070783197294,418.6271165233792,420.7055969238281,373.3362121582031,342.3610779586054,404.47283428664286,422.6615381535097,412.4427362990614,,,374.7141704493937,381.4984169137127,327.552103254781,291.85083419000705,349.4325198931029,338.38490137663246,334.19720257133304,277.6368624412897,,,,,,,411.95657568432256,280.52112993149484,446.45987034170946,276.76823487345507,477.03171503049214,270.078356132142,508.77755670020997,263.0110963468982,541.4766009572353,253.23401515125056,424.37377671015054,370.0387042287197,412.05343245152164,335.7067079969099,413.6280380764926,293.315460489185,336.6515197753906,392.8355407714844,323.61304285103773,366.7193110838386,300.54091354588394,326.0539693276587,583.0104504089318,248.57456908162308,394.4242197846898,423.4767917182544,,,,,,,1124.82080078125,270.6661071777344,331.1717529296875,842.91015625,1114.1304931640625,849.1688232421875,,,940.7225361240609,789.1836749861108,841.6266844623809,566.9384620873006,1060.9486363933543,466.77228515497234,1072.2358633937934,779.0186533156062,847.9886982336247,710.0451414936308,931.1968616044941,472.480958652112,1152.0875712970587,548.8406659422278
labeled-data,2023-09-26_ID034_BWm,img107998.png,,,424.1302188980202,292.82036661716853,489.52987631682356,329.63061278090856,438.04848679063684,282.59675210516525,484.1237849881295,342.2707344369499,,,499.7364705571148,308.86331299431134,436.18024780675444,331.3194730705212,365.0481083123672,380.62690798712475,400.7201025370524,355.5365848849174,1321.119140625,1026.0992431640625,,,,,,,,,,,,,,,,,410.7038948574409,299.3018965644152,371.98406050301537,325.62759477846225,353.4225712130424,328.84790284409144,470.0432865350234,370.6460237657009,436.72432249971547,397.2526342753337,404.96575927734375,423.7807922363281,,,486.6327376791191,286.89271888797003,,,,,343.5553761713492,283.54468097515473,1124.62548828125,270.92181396484375,331.5771179199219,843.0160522460938,1113.7476806640625,848.82568359375,,,941.3891379026129,790.3565512867511,841.6786743165007,566.03583735953,1061.6007416037064,466.2789779802958,1074.4083492854859,780.2730604859914,848.9514915264527,711.7709231757349,931.1214952855306,472.43025053627355,1151.3979471655953,549.6058394981235
labeled-data,2023-09-26_ID034_BWm,img125459.png,349.72129664030433,484.49414923749407,432.419100771222,464.784082108996,,,449.42844900367305,452.3873351273321,,,396.12978044927706,482.2606455659398,368.7447115623834,443.37554041980525,423.76231226530433,425.98357456025536,449.779252391995,326.0483204207673,453.90352666872656,378.9474585840135,436.2503233577132,304.1695388278043,413.11266745939236,294.51768048822294,,,,,,,,,,,,,,,468.772216796875,447.1929016113281,493.8769029003323,350.7342970239624,436.129873138439,289.70022420029744,403.566229274924,402.6175715041395,409.6629953417094,370.7504978506879,384.8094847855353,336.1041831839436,,,393.3391418457031,451.2305908203125,,,,,,,1124.3719482421875,270.8261413574219,331.7587585449219,843.2045288085938,1113.6634521484375,848.984130859375,,,940.3698870902537,788.9537797505276,842.8799929999536,565.6283298192593,1061.6872284201127,466.17430268732704,1073.3765862660955,781.3866595509079,848.9204367309267,711.0951782227507,931.0080309300618,472.62873686439855,1152.5802349793034,550.6570237962067
labeled-data,2023-09-26_ID034_BWm,img139651.png,485.3972237148627,381.7800634946527,468.85507604359407,271.8602676618242,441.2684020996094,324.39019775390625,467.56885575072016,250.4769835621769,420.2130432128906,316.13836669921875,497.4755859375,331.82244873046875,457.75323486328125,346.9679260253906,440.1611547931964,279.5797041615024,330.5665405373939,280.04160227647054,389.0152430425337,267.15266791009805,312.00961377118017,318.5050940323312,311.63200721804816,365.83970004090116,325.5792740697814,402.2722753785648,,,,,,,,,434.58986003944176,385.93018019552045,417.2604075982666,419.51749050977514,,,,,,,420.6695556640625,337.3182373046875,397.6729028340413,324.93261340679885,367.3617769596293,356.15508493243607,370.87332376356085,422.4783682013521,484.1435555220724,336.97684613749647,,,432.1278991699219,354.6531677246094,,,1124.504638671875,271.0831604003906,331.713623046875,843.3775024414062,1113.6578369140625,848.072265625,,,941.6735375327273,789.9923055732563,842.0231814765161,567.6281351549152,1061.4246411350186,466.10861697587103,1074.4498779298765,781.7111719178138,848.7159568584839,709.6909786799228,930.7966782829733,473.3495988968568,1153.3847762109804,548.2825967704936
labeled-data,2023-09-26_ID034_BWm,img188038.png,486.52956961931557,379.48309106372426,481.21891970825567,283.0488063993997,439.910244931903,326.7241487404968,472.2019391355814,257.551947018599,423.3853759765625,318.7753601074219,497.80213483392606,332.97220135715946,459.76959228515625,345.7160949707031,443.8032411222889,281.6779787997319,331.7801813165518,294.2771702888298,392.3210760374293,274.85411906870974,316.1356919628323,331.85232179116167,315.2694841802706,363.86039374288725,323.90976487441714,395.61126039123724,,,,,,,,,433.09166083926067,391.94420295207584,410.98532487269705,426.2264366019123,,,,,,,415.66243454197775,331.6995162702309,398.4325348154735,334.9108956545884,368.4565404866487,360.2559341663368,366.5195167614575,423.3670693620858,485.15815261622544,329.45642759704407,,,436.29339599609375,355.05731201171875,,,1124.4569091796875,271.0029602050781,331.88372802734375,843.1005249023438,1113.12939453125,848.9834594726562,,,942.1817041446596,790.3267661305011,841.9300539270839,565.8754980040613,1061.1385713015761,465.6713609008218,1074.5520265834284,781.0290182734233,848.211049631827,710.0338298966074,931.045982698244,472.8182268265443,1153.073191738324,549.8560226035922
labeled-data,2023-09-26_ID034_BWm,img203491.png,,,389.7275056992946,404.051676857953,,,405.45612264064397,389.3673205606607,,,390.19814656240516,419.9350256729562,,,378.9604406818682,359.32945962871656,416.5687048822251,275.00343788814064,411.98507410892034,310.72737788747685,405.93655233618415,256.76248370050797,,,,,,,,,,,,,,,,,445.729375808442,365.0815449798048,464.85741456485147,288.07965892312563,,,,,363.6790295570959,318.8325610391763,346.1478271484375,291.43280029296875,,,364.43007731052785,415.359736796667,,,,,,,1124.7891845703125,271.12744140625,332.2431945800781,843.5615844726562,1112.52685546875,850.2908935546875,,,940.8358542112065,789.8104818427877,841.4358033307767,566.8199928490194,1061.3083665837007,467.0583657928089,1073.624375605059,780.0336059569368,848.1227072387393,710.5779784076935,931.348425076728,472.641048897477,1153.6773056158816,548.1372720634623
labeled-data,2023-09-26_ID034_BWm,img216742.png,,,455.4558537239461,413.7679260354408,403.49087077961934,453.3241923550331,466.81122086593746,431.03472900390625,403.3964787339962,461.0288941133198,,,,,419.12398767107896,422.0671314119772,352.71999184924897,312.16677934877475,381.19914633233475,368.826278490443,341.8946878600004,291.5047261522489,,,,,,,,,,,,,,,,,436.3288334301238,366.4556933834954,429.3372741900222,340.4884151452331,416.5138244628906,301.79754638671875,370.9615783691406,424.6831359863281,338.7056884765625,392.2120056152344,313.6603451876303,354.9155281280716,,,,,,,,,,,1124.8785400390625,271.0965576171875,331.7968444824219,843.0755615234375,1112.4444580078125,849.3186645507812,,,940.8182271500557,790.2313681812825,842.2117190741724,566.7671974388633,1060.7067208890658,465.78832867388155,1074.5597659492669,780.7298239374859,848.333095422333,710.2595090613862,931.3522493343409,472.8712489848579,1152.750327860767,549.793949849686
labeled-data,2023-09-26_ID034_BWm,img235499.png,,,407.1440998920242,425.83474607340247,344.1621043061742,439.6109142761193,417.6254024701784,405.0522991892491,323.2964477241438,428.80534176635365,,,,,365.89149413045124,396.68524169921875,357.3255278509211,309.63299330285116,354.76577950177824,352.22984691511203,362.6009687005888,296.0573574516675,,,,,,,,,433.66594856407414,316.0983384472073,441.16006537010253,362.8575867985368,,,,,418.07757568359375,388.3498229980469,411.05596923828125,356.1302185058594,412.1313781738281,326.2590637207031,324.4381408691406,410.3492736816406,313.93358389645516,372.96584001958956,307.9961213967468,328.94453424944624,,,387.9075581439773,446.42212172734946,,,,,,,1124.6636962890625,270.312255859375,331.62017822265625,842.9161987304688,1113.6375732421875,849.59375,,,941.1955343869879,789.7280843818501,842.3354373358911,567.1983376836079,1060.4374337796908,466.53668072466286,1074.2134035365534,780.3400534296733,849.1412987633851,710.855493164157,931.275181808968,472.56640787086207,1152.6075666302982,549.5063884904517
