scorer,,,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert
bodyparts,,,nose,nose,left_ear,left_ear,right_ear,right_ear,left_ear_tip,left_ear_tip,right_ear_tip,right_ear_tip,left_eye,left_eye,right_eye,right_eye,neck,neck,mid_back,mid_back,mouse_center,mouse_center,mid_backend,mid_backend,mid_backend2,mid_backend2,mid_backend3,mid_backend3,tail_base,tail_base,tail1,tail1,tail2,tail2,tail3,tail3,tail4,tail4,tail5,tail5,left_shoulder,left_shoulder,left_midside,left_midside,left_hip,left_hip,right_shoulder,right_shoulder,right_midside,right_midside,right_hip,right_hip,tail_end,tail_end,head_midpoint,head_midpoint,chin,chin,throat,throat,tl_corner,tl_corner,tr_corner,tr_corner,bl_corner,bl_corner,br_corner,br_corner,petri_12,petri_12,petri_03,petri_03,petri_06,petri_06,petri_09,petri_09,petri_12_3,petri_12_3,petri_3_6,petri_3_6,petri_6_9,petri_6_9,petri_9_12,petri_9_12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-09-26_ID034_BWm_preexposure,img000602.png,1037.3032341395754,952.4252675199978,987.2889377681024,871.0925769348182,940.1633348628438,896.2320661904441,974.2844341750229,833.5206541653747,915.2906614656017,873.1787455669602,1014.5028853091183,897.2812991631007,980.5686496284106,925.4059861522854,944.3288761720207,859.2416578906833,910.8634878903334,797.093847578504,923.0773080081041,829.6160427544019,910.8643817967,779.228404649283,921.5799767187209,768.6179545513352,936.9239559369752,764.0512056252625,954.7249260341066,768.0379518156483,982.9867913462277,770.6937519916336,1013.1321818731342,780.5346342962335,1041.1144552721255,794.4461323627273,1064.8405953107506,808.1108316199859,1091.1067472287195,816.6724964461579,,,960.6587524414062,824.2206420898438,956.7108764648438,797.3494873046875,892.2904680132351,875.9619825439603,866.4306847265334,839.0244375973647,857.2892465624125,789.2988589266849,1118.0615024136675,829.3688811647228,997.3156535528217,900.9772838272795,,,,,328.98786772330135,261.7519352465571,1111.2539282874907,297.10306958219525,324.5681625501361,849.630845655605,1124.822851238422,852.9869258374273,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img010239.png,838.2122812303812,413.4217834472656,750.7440195116313,461.95830189368576,789.4190673828125,499.4005126953125,737.3386167369986,451.5602842683361,778.8494873046875,519.990966796875,788.666748046875,429.5310363769531,818.5128784179688,463.0939025878906,754.7780771288188,494.24172371055846,699.1146134970558,537.8524462687149,727.3832575392958,518.8427464635902,681.0892810363806,549.6790425189773,664.6975011531309,558.120734237669,645.542271914529,567.2011973237522,625.9453331640333,576.3433847460063,600.8191086331332,594.174485546292,578.7035830477786,612.0986856238923,550.6336103530202,627.074801170709,520.6423450789705,640.8427988862524,487.920365957352,654.1920204293376,730.2468732416045,445.7965434185227,696.468266503469,466.71086593846206,655.4387629881355,492.3075218069905,789.5161829289003,527.3429724222832,761.3433857029501,553.9973557811917,727.8677988085063,584.7460956638874,454.5699049609958,667.4305213281542,798.369398162838,453.3844292588037,,,,,326.0704829962265,261.640927330154,1115.783214507509,292.8028361337609,325.4895772164175,852.5012459216093,1122.351806640625,855.6549682617188,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img021430.png,258.77912325079484,506.9772775444215,304.60813936398165,596.2019106851392,352.0594215342724,556.4563922860923,310.6916370781215,606.341073542039,371.9321807337959,553.2118601718844,278.65188245031834,556.8619588003683,311.0972035923975,525.227770686841,339.89242610599274,590.1184129709993,401.9441027902192,611.6134382276268,369.49878164814004,610.3967386847988,417.35563033270677,611.6134382276268,432.76715787519436,610.8023051990748,447.773118903406,609.1800391419708,460.7512473602376,605.529940513487,483.057405645417,606.3410735420389,509.4192290733564,606.7466400563148,543.8923827868155,606.3410735420389,576.3377039288946,605.9355070277629,615.2720892993897,601.474275370727,290.818877878598,622.1581675988025,343.13695822020065,655.4146217694337,390.99380690476744,667.5816171977133,,,377.6101119336598,572.2734863428558,403.9719353615991,569.4345207429238,658.6677063269206,587.6850138853434,301.76917376404975,544.6949633720885,,,,,341.31299461751627,252.83887331750623,1116.897091640909,265.95261408843305,331.94603692399704,850.4507741640334,1125.3273535650762,855.1342530107929,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img024517.png,507.97822317359487,742.4882024216417,409.09858669971436,766.8027026163712,437.4518737792969,813.2431640625,386.9268258303697,766.6284924011193,425.6628723144531,827.3065185546875,454.4248765331448,745.9686485937209,478.8206787109375,783.4658813476562,407.7815453222364,798.2452608787896,356.2890841209771,818.560551659719,380.8817580660855,811.7270180656773,337.0773868364623,821.1796566983151,324.38529264759217,821.5731373421758,,,,,313.52643711925725,765.0430259573809,309.1634728124708,701.4830626395172,308.4020668938024,667.8727633201959,308.1177641790461,632.1993693193799,309.61913364228656,733.8163000590018,410.1493787602029,748.7333027728836,375.0584411621094,761.2381591796875,356.82061767578125,764.6920776367188,456.6995849609375,834.7020874023438,418.5486755371094,858.6107177734375,377.8549800036595,870.8844321569738,314.64856562878435,594.7583952104679,458.9657303895463,768.8651450202601,,,,,341.0754419065914,262.23791096670203,1116.7062227302602,291.2008187157163,116.95028686523438,1048.4296875,1122.499835500201,855.5023007302678,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img028741.png,513.5003986424032,587.6779597654792,445.27940115211055,616.6565402534106,490.57125347609605,650.5829703122085,424.99139404296875,615.1417846679688,489.33394783165227,662.3176841605061,474.5367736816406,589.064208984375,509.4230651855469,619.59521484375,456.513565399895,644.1253070896689,406.6515887502041,706.5653753509503,429.4613952636719,672.794921875,394.6752211231052,726.4039475003208,388.0125230175198,743.6431903904502,386.1877953222365,762.6593065425315,388.3925560058908,782.0214353971501,389.0140686035156,805.0484008789062,399.91162109375,824.3612670898438,408.1114807128906,845.487060546875,419.59219376960044,870.8510036200455,431.0011877735885,883.82762931679,418.98750051734487,614.5161930665521,390.5643488478895,640.0603825196771,362.0586105862582,671.9024047851562,493.93758935473994,677.2017812696188,477.22786681620215,705.1030902927938,456.4703162500292,745.971946406046,431.9644386478844,895.6238216494288,485.5159340035564,610.585652988252,,,,,345.9737377624474,262.33398150416866,1113.0776290631995,299.09164152090113,334.73064870053054,844.4642391401003,1125.1095854681087,854.9121252543143,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img030195.png,834.6953762358061,150.6862933944083,743.1937766826082,219.0954389454123,798.9239644548376,254.3994277818951,716.8739255651981,240.14002566718287,795.4352312206033,283.57234777937884,776.8873901367188,182.72662353515625,820.0877811938227,209.18836027162516,748.2349593345965,264.6943613862523,685.2734750002915,317.25843748982624,711.3351151551713,288.5369469335646,676.7654418945312,328.2279968261719,668.9591693943563,342.50069205075215,662.2168579101562,355.9939270019531,655.2436160467342,370.79007643977565,646.6323615960257,393.8641489214527,636.3522349669786,420.54400688778617,624.1640630401299,448.3454595245049,610.5332157641352,476.2084534771666,602.5928097345158,507.8486875280887,700.1001438917513,230.74633203019147,666.7617792450262,260.50695222837487,641.59619140625,287.90191650390625,,,741.5486944958121,311.32402300539604,707.4177856445312,361.9944152832031,599.6140263110102,550.2395387902708,780.1908569335938,226.66490173339844,,,,,341.4828361126107,262.51225629897385,1112.9831241714578,296.9824276165052,333.8711853027344,844.5057983398438,1119.5792236328125,858.8970947265625,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img036107.png,929.0273822072353,711.3947378903334,985.108606991721,784.5167020118353,1014.5143826758979,733.4178991023497,981.269264531454,800.8354059767958,1035.4674917965835,737.170369785127,950.6758648630771,752.7263606443855,979.5350341796875,719.6038010936917,1017.1978168552938,773.5765380859375,1094.0825440230583,800.7420288863398,1052.683154452367,792.9389460936043,1109.8208214452834,794.4501953125,1117.5076077735541,789.2526922454816,1122.7883694923041,783.8256363445366,,,1132.9131930854421,761.1206177295354,1139.9031588280084,727.5319342157181,1143.5418475392664,698.1749573800137,1144.9233172658292,663.3337367953297,1146.4475491798041,628.0972760736356,983.8785784962978,809.3705631837396,1016.7309579881938,840.1489954289003,1068.5870590994634,856.0578464057544,,,1056.107666015625,740.5601196289062,1080.1429500776003,736.7760000196187,1144.8463773825501,596.4109487500874,980.3489379882812,746.965576171875,,,,,343.7603422211963,259.2271231989153,1122.8461014724096,279.86551025993634,336.4595959532957,841.2225732341474,1117.316321679979,846.8292328135203,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img043679.png,969.3958129882812,322.3312683105469,869.0253829694497,307.4732891794834,881.1824979880188,375.507697128294,858.3304519914878,298.18782009815186,858.370245956419,386.7693529292502,919.2286987304688,307.5418828415636,924.7379760742188,355.5220947265625,844.7068948255306,340.38751603480637,806.5431855279851,329.67420351664543,823.5201714014134,336.32813069907576,794.9986928129664,325.6825691608268,786.9058732626808,322.3561579299207,778.073375352408,316.79248142569384,769.6758206641791,310.5130694630947,737.491907384241,301.06837429737055,705.9994709588971,297.9633464747843,674.4317123660217,298.90203446233676,642.6870853736593,303.5498339640274,613.5092980077833,314.8022155761718,879.290869062879,285.95956038120926,849.364240796758,286.85801854524254,817.6310558776818,280.8757956550257,875.9898555443094,389.1146987399137,847.8279505070253,387.79387729463036,813.973872168406,379.3151699516675,577.7006225585938,334.99984836905315,911.0016594325442,334.75165493193214,,,,,340.1546068355002,261.00859036182374,1120.77880805362,274.7591373949946,331.8988342285156,838.9799194335938,1111.7966765547462,841.6815153139078,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img053770.png,158.34584019864937,249.27394892978424,252.03170499640296,297.536364128627,266.63209951033855,241.16261864426443,281.6380605385502,317.00355681387447,296.6440215667618,229.40118973026074,208.2305214545961,286.18050172889923,214.71958568301193,233.45685487302063,284.4770261384821,273.2023732720676,351.80106750829634,308.4866600140787,316.92234728056127,291.4528664144872,359.50683127954017,314.57015772821853,369.6459941364399,323.08705452801433,381.0018565361676,333.22621738491404,388.3020537931354,342.9598137275378,404.93027933133754,355.1268029673637,428.4531371593449,372.16059656695523,451.1648619588004,392.4389222807547,466.9819560155639,410.68941542317424,483.6101831008795,432.9955737083537,,,287.7215567055765,328.35941302514834,320.57244436193173,354.31566993881165,303.13308424806416,237.91808034160266,333.5505728187634,256.57413999829816,358.29013018959876,257.79083954112616,497.8050111005391,471.9299590788487,218.77524927865832,259.4131055982301,,,,,,,1123.5820633791425,278.61401019296653,362.99570531664295,847.7240823096618,1118.2632776584257,850.0035619042549,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img054254.png,213.47562867215953,221.2348839347116,260.554881002653,316.0802433723836,308.6786169312992,261.0972436242033,279.6240169619238,345.7596606787018,332.7864558966172,274.4867179355279,234.96857258578575,276.8160469570502,268.20836587871656,239.96897461339506,301.33953857421875,307.2180480957031,350.6792387156215,347.1891361242981,328.6464750035459,330.08465085478576,362.37880169586265,354.96010170047,372.7810624300099,362.5155269214387,383.9549446721785,371.6977123983237,393.6161804199219,379.4150333712455,418.0579703970344,385.11315064280575,439.0755928755881,390.0028295978839,462.96481813935475,397.29576091231803,483.97253501425996,412.0780135278749,499.36123495337154,428.8071814045245,270.82409952531475,351.9147684766573,306.47099858741706,381.3129142446907,332.5448303222656,420.7131042480469,,,348.72265625,423.4181213378906,331.6455383300781,428.8068542480469,501.3477351934922,452.33279458161394,267.4387723668271,268.20258706610275,,,,,,,1118.0075667389851,285.25483657699874,357.45491035931616,841.1323373980151,1105.7794555463058,846.7782987742152,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img061102.png,199.69967775472256,866.681543046496,302.58028887721554,879.0038528703941,280.20947074236244,806.9160372459772,336.16569839767953,873.1840537116663,306.3234866122319,793.0267006828649,260.3282775878906,875.3034057617188,246.3802032470703,828.0996704101562,310.63458251953125,835.543212890625,396.94230657086626,798.4135487699978,360.2660185735774,814.7832790825269,411.0274912690649,792.4749361717584,424.89464442371144,785.5275061914355,438.7578125,778.8705679684584,451.62209097653334,771.7185443166104,474.7515147843108,745.5393758995453,481.26938947259794,711.0371512712804,472.60121915109033,677.0226461363401,454.28967466082696,653.9740391853142,438.7701603517083,628.7934147462395,341.6667785644531,884.058837890625,398.2927724565644,861.3674096309179,443.6194571794836,825.6610779077365,314.6484680175781,791.2779541015625,372.24214627655647,773.6734730086579,,,451.95687522306423,599.4440456840894,267.72528831264594,847.1821356048566,,,,,341.10004761144194,278.605756801767,1122.7254361952366,276.15938070130466,116.93020629882812,1048.216796875,1106.74560546875,840.20068359375,,,,,1324.8887939453125,1052.0628662109375,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img067366.png,176.65863606234825,207.08780702090615,230.02618408203125,294.48758749042406,273.26136137252615,231.23717452271728,269.1516887029739,311.1257206472052,297.7185192076107,236.71514696497712,206.1647782402723,254.10865214565956,230.494814857346,208.27245382343187,268.09548626416506,262.42120807780253,312.4188586716211,309.12075059573976,290.77111978295653,289.4453059741731,321.47511601192014,326.8919953448869,330.3499687231231,342.6488508598676,1321.44140625,1051.576904296875,,,,,,,,,,,,,228.7753066789961,316.7573600856726,264.4030745027302,352.42506958701074,289.2881449113506,388.70583798234,,,294.0744852634822,241.89352966509597,307.9019942206652,240.5210723876953,,,233.90970986883713,234.37676452435716,164.8305640936906,203.46072014650275,,,342.0970839320898,287.44054209962155,1119.3124611552303,280.8755002999727,345.8985232732967,836.8713620886356,1106.5349847034065,839.442773221448,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img067810.png,230.633366596273,271.9917941101389,298.76854099463924,354.7273630224407,328.7804630510625,295.51465193814624,325.94149745113054,358.37746165092483,360.8202176788657,293.89238588104246,265.5120868240081,318.2263767376018,283.35701345215165,274.83075971007094,332.8361281938224,328.36553959450157,397.3212039637047,370.95002359348047,364.0647497930736,349.86056485112897,412.32716499191633,381.90031947893215,427.33312602012796,392.4450488501079,441.1223875055116,407.8565763925955,,,,,,,,,,,,,313.28891879974935,379.0692008385356,356.27896931300427,403.40319169509496,394.4022216549473,437.4707788942781,,,375.3405954839758,323.912154897001,428.4698088541304,334.86245078245275,,,287.738228400362,295.92806541195773,,,,,,,1124.1215685059697,275.09759802437657,347.57885328131954,841.1683640149481,1111.964344001474,844.2076701410718,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img075296.png,254.90511593283128,207.9016805986584,306.29401778041597,305.3745923816377,364.1154659063827,252.74179970052697,328.9982618252816,331.8266700706173,377.37833048837604,272.77247600020866,280.1486889005228,265.13341539558434,313.905335598888,228.23137956649128,353.38805828564944,295.5107780041718,422.0587853923505,337.14317586732034,387.4787264024196,318.69292314961297,433.1376896212455,344.5921781486461,440.357830820597,350.3543420530758,449.9238000608883,355.4663277288191,,,,,,,,,,,,,304.1910486261949,318.51778949558343,354.92297701150767,333.93442753847506,388.94128035858085,359.9942237462767,375.5053804149534,237.25650097821153,429.7013240707298,268.5985823252804,471.4313338303248,300.3156737276235,,,305.7949503312725,255.87847247807937,,,,,,,1118.6534399293462,285.58473838541056,348.73129052661494,842.9178908785856,1111.5258063122185,839.5330931536927,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img089130.png,229.56278151609482,232.0993982960758,295.5988074313378,307.36638354528293,335.5015511978922,252.72210227299206,327.170226759122,322.04184009227174,356.65733401251543,247.47201901080828,268.3319091796875,276.49737548828125,285.277099609375,230.09393310546875,330.17108154296875,289.5874328613281,400.6863879233729,332.8140551697512,360.94036079928213,314.8828738770663,413.5349426269531,342.0399475097656,426.177734375,354.9111022949219,439.2561893771049,367.7574462890625,454.5662536621094,378.8588562011719,,,,,,,,,,,305.7882371479052,343.60084170204254,343.16547960165605,368.96455476315913,391.5077086296827,400.9663004992798,,,385.8985559906144,287.88067248883004,433.35813476964506,301.88943034993184,,,286.1354890675817,255.4211470426463,,,,,,,1117.8566817975745,286.56382756696,350.6576644067811,844.0634777892332,1106.8294677734375,835.0198974609375,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img110567.png,233.95650413812027,307.17115509325487,323.6729647362115,362.7371708497551,340.0057678222656,298.26012226649965,338.90618896484375,375.219970703125,368.1578652336462,300.98401070295006,282.41826942516917,344.7822458059989,293.4037014458081,298.43617789059584,350.2241112402052,335.911425548012,420.2841183682368,338.177539217992,386.01835378882924,337.7565415722073,437.5008678894006,343.6891565617129,450.82353531174203,349.9825821184409,461.6222709270638,357.80811121041273,,,,,,,,,338.3817138671875,502.04669189453125,,,332.1061296851977,381.4131575738986,373.19388399035154,389.9834667394766,421.9869866827195,398.41009368968616,331.81869113596105,284.73768993269016,381.38775634765625,294.3744201660156,405.5994873046875,287.685791015625,,,302.59609152512843,320.7955096486416,,,,,,,1115.310129766558,285.15110688345374,350.8095308983209,847.4440701758979,1108.9344482421875,840.8218383789062,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img121844.png,204.98848201776525,166.98936297679236,231.23886108398438,261.23687544287816,277.5393981933594,210.3743896484375,264.06565349202,282.00717649202886,315.55992188577426,219.02938218916267,222.66672700864828,222.98213565792156,250.29835318500693,176.45571921028704,275.43297977951966,240.4660497344659,,,294.2474964783338,258.5416465556552,306.8573016949063,274.5120423985088,313.99198197890234,282.99892213511316,321.5375643838675,292.35410312864076,,,,,,,,,,,287.41851806640625,411.7442626953125,206.97550092047965,268.7341427963884,247.85972476851316,311.80582488222603,280.09599901026286,341.85574362387734,,,,,1356.696044921875,1035.9173583984375,,,247.97958058045057,201.14682006835938,192.10221577311665,163.57008806047975,,,341.9520826187204,280.5859450997781,1124.197265625,273.8766784667969,349.1686096191406,847.820556640625,1107.229736328125,841.863525390625,,,,,1324.5269775390625,1052.1802978515625,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img128350.png,1116.2107027860545,979.2824204071298,1103.2114156185169,880.2878489004977,1048.7144040315325,902.2866425686382,1104.2113607852507,847.7896309816538,1045.7145685313317,875.2881230668294,1123.2103189531902,925.785353986879,1074.2130057832408,938.7846411544167,1064.713526699271,862.2888358992918,1024.7157200299246,809.2917420624078,1042.2147604477636,840.2900422311513,1021.2159119463568,794.7925371447699,1016.7161586960553,781.7932499772323,1011.2164602790202,764.2942095593933,1007.2166796120855,750.7949498084889,1004.2168441118846,726.2962932235142,1003.2168989451509,701.7976366385396,1005.2167892786183,677.298980053565,1007.7166521954524,647.800597634922,1008.7165973621861,617.8022426329123,,,1062.7136363658037,832.7904534806489,1054.2141024485677,800.7922081451718,1005.7167618619851,895.2870264015025,979.71818752691,842.2899325646187,956.219476108669,780.7933048104986,1014.2162957792214,575.3045730467318,1101.7114978684165,922.7855184866783,,,,,346.23174080911565,276.32958269029507,1132.1194912953795,276.32958269029524,344.3583492704118,847.7140019949685,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img136761.png,237.12176027019134,280.89529575809644,298.82684649950687,365.9142602760166,335.86550668023824,298.6159790139564,329.7824048112867,374.14178589470197,355.55186035558256,302.33648799288875,271.7413024902344,328.02858236146085,289.8808288574219,284.4645080566406,338.27550415843075,341.4134867383761,398.38750283557704,366.72002074793306,367.26405354080697,355.77250406432034,414.36179889007497,371.0392150878906,430.2661926169029,376.37920411563266,444.54948283011595,379.8590779689397,,,,,,,337.2420959472656,497.743408203125,333.7730407714844,512.5117797851562,330.8595886230469,529.7348022460938,321.74019571270094,388.23281698462154,351.9400634765625,404.7112731933594,391.65158154461767,424.81875247356675,,,374.9038431836886,318.5459663906439,416.6680228671686,322.1188671935301,,,294.860325901604,311.099434806413,,,,,,,1124.1796875,273.6190185546875,349.3406066894531,848.3702392578125,1109.9453125,840.7628173828125,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img158911.png,223.6745555394406,285.7025612042037,297.6847859466017,357.4352205530948,324.152107020025,298.91971600451325,321.1211063592422,358.2763370620827,,,263.1433715820312,324.69391560939397,274.49249267578125,280.2806091308594,326.4633040351183,327.4646524998103,397.4505053952141,347.5946676389001,365.98698891353143,338.06006673847094,413.46599242762056,355.05091877518197,430.4116154024955,360.69396688093525,444.4226822551854,371.99682075846806,,,,,,,,,,,,,314.67691241144547,374.02473101295107,344.2643358008179,393.0073685220528,384.1782445364449,413.7664286630578,,,354.12291258760604,299.3379992514979,,,,,285.5176537804533,305.90334145862397,,,,,,,1124.6143798828125,273.72564697265625,336.64714620137147,840.9660501936,1101.8461403095791,845.9448132000045,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img169393.png,200.1286172631591,218.96637953342827,274.14990234375,297.1905517578125,300.93638679714115,242.210089337559,284.24322509765625,310.1587219238281,,,242.85154174603684,268.636358230317,260.65157026261033,222.02296295422394,314.95584881701325,284.6221810003035,360.5766694774534,323.4305366930938,338.79922372728385,302.72126716220487,372.675852099022,333.8507630098042,383.225859484926,345.04937760903965,390.85288343703013,357.44001036952943,,,,,,,,,,,,,325.3467359162249,246.00252996260485,311.82980538705243,365.2389670510389,339.56885256810546,394.5094744408691,281.1988447865024,334.51471516391075,349.32874148522853,273.50125269376747,390.0622021385064,297.7059460854565,,,259.6867341646689,243.24387406126706,,,,,,,1123.5075556659692,276.6792337707605,343.9690856933594,846.1060791015625,1103.84765625,843.8045654296875,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img177894.png,211.26800654757625,143.1983905926834,236.01388740860023,247.71703537462128,299.24680541791184,192.19427323319897,259.97289921414256,279.6517179938188,327.57965701257234,215.01603860619872,226.38164041886944,207.33592346794416,265.66768187471547,169.0796649109621,274.25297364889275,240.71565756883365,299.8151342753337,294.1988435597691,287.97252073587293,265.93915403263406,304.3858252033526,303.52727864248334,307.72622729930293,316.1514681668619,310.2719218271203,329.38074535875216,312.35009014086324,346.9949099406417,,,,,,,,,,,205.89987702476407,244.8448965660642,221.76198560539228,295.23444780982607,247.14185202794886,352.3685109974614,291.5181566820004,174.9536660711838,302.743814252844,236.0605033057681,338.0356288712307,262.42225822567127,,,256.55576007975566,198.89181518554688,205.8292326525114,138.9676222675004,,,,,1122.6059086053358,276.7112508205022,338.1636657714844,841.9954223632812,1099.7849683598122,846.8884709763292,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img184470.png,209.42979982996917,190.8091277839207,235.42837416504426,298.303233207789,261.42694850011935,232.80682478673435,268.426564667255,313.8023832921607,294.9251115856969,225.80720861959875,228.9287305812755,257.305481371709,,,266.9266469171545,274.30454920618115,303.92461808629986,284.8039734568846,283.9257147516267,277.80435728974896,315.42398750373695,293.30350737412067,324.4234940043399,302.80298645809046,,,,,,,,,,,,,,,221.92911441413986,323.30186237613043,260.92697591675255,337.8010672937685,290.42535833539546,349.8004092945724,,,,,,,,,249.9275790826823,225.80720861959875,187.43100616182863,207.8081956183929,170.93191091072327,248.8059474544729,342.92247958891255,280.3042202065831,1130.349615673264,271.44025831634065,340.7150821095924,851.2549395451815,1105.058829900762,855.9384183919409,,,,,,,,,,,,,,,,
labeled-data,2023-09-26_ID034_BWm_preexposure,img199516.png,1080.1390380859375,348.5192834505376,1018.6374807747437,334.80614319665654,1031.713134765625,390.34478759765625,999.9112022461253,324.76001068033435,1014.325439453125,401.3861083984375,1052.0848388671875,328.19818115234375,1061.736188509125,375.53048431641884,1001.8832784960559,364.5858552604439,924.8990164192751,385.40202377278433,965.1001623502436,372.3291534505628,897.2058624349379,393.0053146321405,871.8802592513251,400.9615460221438,849.6867065429688,407.7699279785156,827.2140502929688,417.63581828536485,791.7878576439052,416.69545247864835,761.4615221906665,413.58413004490285,731.1616816864947,406.6041857849856,696.6781977796755,399.0004663005536,666.1040844686362,393.0605745469509,984.8092596484628,316.6668081673219,929.99169921875,327.0609130859375,881.1959228515625,340.4398498535156,1003.739990234375,408.4856872558594,974.8112182617188,423.7862243652344,918.1727905273438,451.286865234375,633.9512284456349,383.87926269732253,1053.1128938346628,356.5334315494813,,,,,343.57193674150216,276.9857840867222,1127.6421270550893,272.42106913918894,338.72849720642716,840.3265980408338,1100.303563588917,845.1462770715208,,,,,,,,,,,,,,,,
