scorer,,,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert
bodyparts,,,nose,nose,left_ear,left_ear,right_ear,right_ear,left_ear_tip,left_ear_tip,right_ear_tip,right_ear_tip,left_eye,left_eye,right_eye,right_eye,neck,neck,mid_back,mid_back,mouse_center,mouse_center,mid_backend,mid_backend,mid_backend2,mid_backend2,mid_backend3,mid_backend3,tail_base,tail_base,tail1,tail1,tail2,tail2,tail3,tail3,tail4,tail4,tail5,tail5,left_shoulder,left_shoulder,left_midside,left_midside,left_hip,left_hip,right_shoulder,right_shoulder,right_midside,right_midside,right_hip,right_hip,tail_end,tail_end,head_midpoint,head_midpoint,chin,chin,throat,throat,tl_corner,tl_corner,tr_corner,tr_corner,bl_corner,bl_corner,br_corner,br_corner,petri_12,petri_12,petri_03,petri_03,petri_06,petri_06,petri_09,petri_09,petri_12_3,petri_12_3,petri_3_6,petri_3_6,petri_6_9,petri_6_9,petri_9_12,petri_9_12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-09-27_ID043_BWf_preexposure,img002272.png,386.7019247995844,903.8552318288673,450.6794738769531,830.1311645507812,389.8770597404431,798.858448874469,476.91008913142844,799.4509089914666,394.5773699923009,764.3892861746139,428.64724324209266,862.9600634805826,381.08527303126897,846.9039803167097,430.09576945924994,790.6767309248708,447.8984012911674,732.0757409487065,439.06889284437597,761.8749605031286,453.78258423655575,719.4181261945728,459.18073814931006,707.17212115168,,,,,,,,,,,,,,,471.00593547286485,814.3927388073608,479.2746830294486,791.9330545893696,496.8601989746094,760.4005737304688,,,397.81083497701775,762.7475459845078,393.8329162597656,739.0755615234375,,,410.2904593906061,835.9646240435378,,,,,388.35319389706746,238.26445136660442,1172.14990234375,234.6943817138672,,,1171.0203579687372,815.9729022200437,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img014383.png,370.51498383915185,900.262404123803,445.4644152771731,827.4743029724856,388.77017334587384,806.915126542874,463.437657595325,802.8712297567895,411.389615375751,777.0681973155102,421.21763345885154,861.3734407578884,378.5004398553359,842.3021321681584,443.1317024846785,789.7703170047218,476.1445772224476,742.8191125508382,461.2430847770977,766.2161917722805,482.1405769662468,732.6950337694365,489.6519324011873,725.3609065701608,497.98098028893037,719.773809402192,510.39483245392233,720.5486267190345,,,,,,,,,,,482.6489831864574,814.3256379632124,499.81758466087706,794.9304955773283,520.2812325340757,764.1498473417582,,,417.8236596699787,770.5712089425255,436.0560453361462,736.4300134297443,,,403.02866047038066,836.6630656259484,,,,,393.2347106933594,234.72421264648438,1171.472412109375,234.6487274169922,,,1168.4661826956624,812.6269492972249,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img021186.png,439.0281508883512,238.47228846159337,415.2118787602029,311.98248166910554,478.08231930541615,305.97541048758154,409.7348928418844,330.56315713718504,474.24011708940645,320.688308095295,414.41125201198116,274.5859559660389,458.2761348143074,262.5174598824627,440.2356557813374,331.901669208343,424.0024817773729,400.5867023533407,434.1374206542969,364.2210210251574,417.66522216796875,426.001708984375,412.4701665329699,445.37887381853426,406.8678283691406,462.3031311035156,402.71419589814604,481.24395943341887,389.19710633850286,512.8694433186799,376.5202029208256,537.362615993674,360.6396665148089,564.9515706220263,353.9015200594975,602.202363510844,355.7898874315531,630.5673902885667,404.42399659220507,324.04301993161147,384.4393046489914,366.5660906524602,369.5689561949638,404.82878100075743,487.7787100583023,332.12034707859124,484.26226806640625,402.0758972167969,479.0628315814773,443.82998178754667,342.26232328108307,660.9331733656832,436.40269915044894,272.6827570510145,,,,,392.0637906348822,234.94191964358384,1171.6856689453125,236.14654541015625,382.2695618961731,809.6430707847206,1170.1576514907636,814.5840642099882,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img028828.png,380.0992185791474,155.09069686470198,406.4938801949331,253.36537577646203,456.1881315029398,225.5352861256158,408.01777285438624,280.19210805871796,492.85018044761944,234.39149169403083,385.09672973230806,209.39621378915734,425.5895483378338,185.7034037305636,440.3019250709385,260.64029666703993,468.5610193092197,316.31768597722635,455.72667034217625,290.0251119446872,474.0008451709841,330.83843385799094,479.01213221036903,345.3162780962722,483.02700779525185,356.5430982139937,,,,,,,,,,,,,396.51150635368634,275.4588871310111,404.0781888807835,299.4459183870412,410.3711242675781,332.78765869140625,462.7748363514101,229.2933064041635,477.2787418170885,253.49894728938435,498.7890006805221,275.2569676206752,,,414.8966511910269,211.96798622597447,,,,,,,1184.2098179099567,250.92756398966233,385.7455453339707,804.1052833292761,1168.8787841796875,816.9891967773438,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img034761.png,494.1325362229029,760.3753857381674,483.05629232239835,697.0134667888349,431.4675598144531,720.8275146484375,488.973309336222,678.9843013556016,421.0153503417969,706.6943359375,496.56377197466634,729.1602172851562,456.3555212482745,752.5974731445312,442.6919307400826,684.4393342924756,421.66908121878794,606.1908601713818,428.8740234375,643.763439116884,418.4144397012857,589.5278849216854,415.470156654221,572.8418440741808,414.55598591988394,555.0473563632623,415.24993204685603,537.3003275586887,421.56589844152006,497.3746272632356,431.6207869553248,470.7967590131028,442.3957072074106,443.3405948645326,449.72184449247203,417.26236163019547,456.52162719927566,389.58950844880144,495.952812906231,679.1532926405491,487.9708251953125,641.1908569335938,480.1829874707979,588.6274678514676,411.2931213378906,702.4674072265625,395.0841080642065,670.7176997931016,371.04692705586297,617.5421659215147,476.93621909629115,363.9631042480469,471.9266406491204,739.9371997311516,,,,,389.61228428146455,241.64978782454435,1186.841274446223,247.61462628082353,380.7227431572429,818.283501059107,1169.7823486328125,816.2130737304688,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img045766.png,1341.237037781857,814.2793554566899,1246.9001878124418,774.3942880663188,1233.4038028520872,852.9717099209713,1222.2337700013702,746.253453555154,1199.1828138696656,854.8980092969625,1285.651807042836,787.079158133135,1282.4327392578125,835.7344567891195,1210.3043607032416,798.2730092969624,1144.9263579290462,754.6282199409106,1175.3475211712043,774.4447765808069,1126.8773269914877,745.160791093371,1113.9166749601795,737.6935895501981,1098.9610071476504,729.6124070507229,1081.2514085933126,722.970027910506,1054.4637956259621,700.9925018564891,1034.4954080091245,678.129846837366,1018.8604001573872,654.3237122868179,1000.1211855868412,634.6270065046059,979.7129665825269,612.4561325589145,1251.1913599577306,756.6121349792443,1194.1274046834185,733.102184723618,1137.9117003108383,699.018852596461,1200.70079875621,845.5281387321888,1151.9939305456214,818.4408881240088,1093.584010780696,783.8540077340252,984.4968948625815,579.7154512307311,1271.9049121334954,809.311883957183,,,,,388.04104383996054,244.99960102117836,1182.4367807162255,245.13724366052372,369.72323724906374,814.0462207423889,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img048330.png,389.39600537270644,878.0586620587649,461.39205737752985,815.0621165545444,405.8951006238118,796.063158386605,486.3906865458713,793.063322886404,424.39408620838446,774.5643373018313,435.3934830424547,849.5602248068557,393.8957586230079,830.0612940555493,451.89257829356006,785.5637341359015,492.8903301296401,733.0666128823844,474.89131712843425,756.0653517172586,498.89000113004204,722.0672160483142,504.38969954707716,707.5680111306762,507.3895350472782,694.5687239631386,,,,,,,,,,,,,500.88989146350934,805.5626374705746,513.3892060476801,768.5646663014293,526.8884657985845,740.0662290495201,,,441.89312662622353,758.0652420507259,453.8924686270274,718.0674353813796,,,411.8947716242138,826.0615133886147,,,,,397.12491777427823,244.14717385267272,1173.6457105670227,238.5269992365612,373.70752354048017,814.5948973879941,1178.3291894137824,816.468288926698,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img053446.png,386.5100115836604,885.2722301291849,455.66536652347526,816.0143322852066,386.8206962564999,788.1330131510312,473.5985441699785,783.0702142121306,388.33886627279065,746.026512291631,426.3682556152344,845.7983519010564,381.91006286784693,832.7329898177629,431.89002504241,774.0375567446993,440.17008900345644,715.6228584962386,436.07294083664095,742.5115769725367,441.44576660483443,704.6512634113744,442.8939552409379,694.8139933658246,444.7475772201067,684.113670494756,447.63064117840645,674.4734025586,460.04941361332527,646.8635864257812,475.3466862565503,625.6627076692562,494.657737128944,610.2995550586189,514.528405462269,588.4681951953377,531.1277188085812,565.0868409700373,473.8560228060378,805.077759537687,477.3991394042969,772.5023803710938,490.1802062988281,733.7871704101562,370.95830759971483,783.1285379602346,379.4142896776022,754.3231036524194,395.2926014582683,716.4015217708942,564.4043469336441,555.1721820051999,409.3954698111623,825.8421107814199,,,,,407.59934461251487,246.32844680663433,1182.1483593910802,243.17876770421537,,,1174.8280836719332,813.757346796671,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img056510.png,1334.640070148436,524.4466746484829,1242.6451148089395,504.94774389717657,1247.6448406426077,575.9438507352663,1212.6467598069298,479.4491421454683,1213.1467323902966,595.9427540699395,1284.642811811753,503.9477987304429,1287.642647311954,555.9449474005932,1227.1459647245679,535.94604406592,1164.1494192203472,521.4468391482819,1196.6476371391911,529.4464004821511,1146.6503788025082,512.9473052310459,1127.151448051202,499.9480180635083,1111.1523253834634,483.9488953957698,1099.1529833826594,466.44985497793084,1086.153696215122,434.9515822258206,1083.153860714921,407.9530627240118,1081.1539703814535,378.95465288873567,1074.654326797685,349.45627047009276,1067.1547380471823,322.45775096828396,1216.6465404738644,496.9481825633074,1195.6476919724576,487.4487034793376,1161.1495837201464,468.94971789476494,1211.1468420568292,584.4433846525026,1170.649062804116,572.4440426516986,1119.1518867173327,543.9456053997894,1067.6547106305493,282.95991688230447,1273.6434149776828,525.9465923985836,,,,,392.0862760678289,239.72022474155918,1174.227243476685,242.53031204961493,381.78262260495774,807.3578609688248,1172.3538519379813,817.661514431696,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img058729.png,1350.6040417952715,722.16537599691,1255.0455808214494,684.6159432620103,1246.01904296875,761.7910401168084,1233.6964972279911,654.6847342790929,1219.2731707814542,756.3435140831391,1297.5514103517082,696.7366390424439,1289.832275390625,746.6939086914062,1231.4149150783,718.1245934179395,1177.98278617205,715.6090616004548,1205.562539414179,716.2631124209421,1163.1509014841708,718.1080643739213,1150.2823505467004,721.6319685341941,1137.1926495310458,725.6720864250524,1121.7649396478544,730.9231596091125,1109.1150874414502,732.4710397330687,1097.6774894857504,731.8202931250188,1085.4240298568254,727.7869116341817,1076.1514366211252,718.2597601367438,1071.7538185221879,708.5290677018943,,,1213.0023553110714,677.6316522638174,1181.52099648248,666.3747005658815,1221.2725435936334,768.9137179100396,1200.6605676167794,770.7458251175665,1163.540088046117,775.8779090234666,1066.2677031055252,697.6269764909882,1286.8232142566462,716.605224609375,,,,,401.9047777958507,247.594970703125,1179.356922211241,243.0083880655435,387.6574976017852,807.2830600974567,1174.879177289285,814.6651710712979,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img075246.png,277.45082172286067,281.8151350083379,360.8241917760902,350.23898478407756,381.2362822214606,289.00067368933634,382.5571569417267,362.31810385567263,401.57034341248004,280.62135496582374,317.39240678696365,320.79859986368945,326.1426086425781,272.43060302734375,382.60104026212673,315.24036601475035,432.58682413954625,334.3838548823752,408.77899811371844,326.1164192076142,448.13704909042656,340.97221121070424,460.81935316248826,346.5420402141732,473.9175983739384,352.2820863676055,,,,,481.0341491699219,335.57666015625,,,,,385.27925907062365,252.9677413655724,357.96112184651946,365.2297614927704,396.1588761414995,366.88980006844685,421.9904604383162,395.6836372760612,380.905805917648,270.9298432428289,407.52292951166044,284.99173643493464,435.1445617675781,285.3214111328125,400.90034443522785,229.59089067779075,331.8478552347832,297.44341151355525,,,,,393.31365687199803,257.67566559418714,1182.2166727936328,239.8765867179821,383.05454539072474,809.7121525856792,1172.830078125,816.5254516601562,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img081212.png,312.23167829900456,860.1996764685737,404.3646059461286,811.5022659563316,343.3282064150827,759.9228804502974,423.57814367528516,786.1903454764466,363.6090089742421,735.3293739246163,360.30615234375,835.5341796875,323.35823790995215,805.1272630855003,384.3070793544192,771.4446680871912,423.9657946569823,728.1963445117578,402.90126262628263,746.7902380472831,436.67805465511645,721.7134566493219,449.71408598399574,717.020982696537,466.332981122697,715.9244476572704,478.7524678119461,717.0584500587104,513.246107147213,719.4377657616021,538.8692039627739,733.1282482604943,557.6611576930386,758.3219357779265,554.2196270701086,784.7396305425602,529.6632393777113,799.747492594391,401.5382976466593,826.1069936719624,433.13088950384815,786.4725288267548,466.2943108506006,752.819420896251,328.2853487413938,762.074442561135,366.46073429871166,730.0539545099111,401.87063588170497,701.1302360149544,497.80804364451245,797.2727965488089,351.30321212986837,807.3242811308301,,,,,396.09667777361244,243.67712464396286,1181.2581572135769,237.56365966796875,,,1175.9253552306393,817.6385774766384,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img083050.png,344.8279078632649,895.0370841291866,441.06779580906004,841.4754206252333,394.45506100463496,804.5991955261193,464.288601297283,813.8685803934821,415.042571236305,770.0414829775177,397.12139988272503,865.9093055855876,358.70702933611244,836.8992179485482,437.08106780060615,798.2395759967643,480.52496845635216,745.1310567443896,462.516957551317,771.4343941475103,489.67442991492294,736.9596729751728,500.2947796387863,728.8952245504229,511.96851820940833,724.6815102406874,527.217467304775,720.7386023050957,,,,,,,,,,,482.76339636447625,830.9409401579409,509.44422247968157,799.4925282621851,537.1169496692515,769.7877951158756,,,440.21699557567626,745.6399583980002,,,,,381.9966662125409,840.3262145487405,,,,,390.64890444437975,238.8189932614272,1184.9122928126383,241.18082139002223,,,1172.9388427734375,816.4610595703125,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img101411.png,519.2927853604244,234.24484224518997,448.3868713378906,261.45086669921875,488.9991760253906,295.1686706542969,423.373291015625,282.6914978027344,490.56671142578125,312.60040283203125,475.3763300490613,235.08234627932603,511.34780089823346,262.9953120604011,443.4678722570547,302.7425238661963,405.2002871493412,372.8377253127332,415.4310731266618,336.239035576959,400.8823057527111,397.1656268361416,401.1331612018425,416.5358394041511,406.7190621584947,435.1229168650303,409.02593994140625,454.2176208496094,404.048748339698,485.32748097592116,394.7380952736999,512.19371037946,384.5308386332207,537.6436319907008,380.5735906052355,568.5680383199044,389.6157757517491,599.9344765617712,413.39956502060994,285.011514307661,395.675399055125,316.57056745111356,372.7096350976854,357.17270230903137,489.81634521484375,334.8723449707031,479.73406982421875,365.1158142089844,463.6689544932079,399.57195375061224,381.01301693580945,636.6273884153741,484.3506724214085,254.9970241997144,,,,,388.086964997179,244.9987529383447,1182.9489289140035,238.81009543089573,375.01177867917727,816.7993525764192,1173.7760009765625,816.4990844726562,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img131961.png,1019.2631311710878,814.0648317762069,1072.3497314453125,821.6643676757812,1071.9189453125,775.4467163085938,1078.933837890625,771.1705932617188,1078.8128662109375,764.7447509765625,1052.4226621471548,820.6957181251166,1035.2188739842002,790.1296650775711,1102.983570387271,795.1613330417991,1174.249604798068,777.5659120697185,1139.9872853601703,788.5591029197137,1185.3174223168273,762.6429056812782,,,,,,,,,,,,,,,,,1098.8765071939417,826.5681435139035,,,,,1065.2230484779036,751.6200561523438,1097.0466529964335,741.3983017117778,1109.9158748045418,711.9898013872436,,,1052.1704664066872,807.700155898321,,,,,387.9794234967934,238.81839304751637,1170.785888671875,238.1377716064453,373.96845478167216,815.1304033981864,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img169436.png,,,,,1094.5569960108335,773.8084006025208,,,1110.9694144770824,762.9014799988955,,,1066.689556813267,776.4773732384091,1122.5655100235838,789.8395177071043,1211.0883017025403,791.3543015275064,1167.8659405863111,792.7133897313539,,,,,,,,,,,,,,,1077.74690963585,729.698821448702,1096.7167568406805,716.9578792962038,1127.1393642670382,830.4798018315691,1158.516090064855,834.9249962687923,,,1108.71875,748.3261108398438,1168.0038492685162,739.2687563108027,1155.7179851028131,718.553431189189,,,1076.3308692327507,795.1160239165637,,,,,398.31186951360894,253.59536935618465,1181.7415614842591,241.623391463576,379.7838577002966,818.3086392050942,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img173200.png,,,1095.130071659927,823.4995200897168,1072.1313328250528,779.001960170069,1108.1293588274646,828.999218506752,1074.1312231585202,765.5027004191646,,,1051.132484323646,782.00179567027,1097.1299619933943,796.501000587908,1181.1253559990216,757.0031665019285,1140.6275767463085,777.0020698366018,1192.6247254164587,738.5041809173558,,,,,,,,,,,,,,,,,1117.6288379114344,819.999712006149,1149.6270832469113,813.5000684223803,1163.1263429978158,814.9999861724807,1090.1303458262587,754.0033310017276,1126.1283718286704,732.5045099169539,1147.627192913444,710.0057436654465,,,1055.6322375739474,810.5002329221792,,,,,402.0245472881507,237.57272327012214,1177.6086443115432,240.3828105781779,380.48054459305644,819.2607960376665,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img185410.png,431.1850796376659,464.9155693764359,419.42365072366226,556.1680350885335,478.2307952936807,544.0010396602539,409.6900543810385,573.6073952024011,481.47532740788864,562.6570993169494,416.17911860945435,512.3668515467267,460.3858686655372,505.0666542897589,445.78547415160153,570.3628630881932,438.890831032002,649.8538998862872,451.4633929745577,610.9195145157922,431.1850672607582,664.8598609144988,422.6681704609624,675.8101567999505,416.99023926109857,685.1381866282983,409.69004200413076,693.655083428094,396.71191354729916,713.5278426276172,386.5727506903994,729.7505031986569,377.65028737632764,749.6232623981804,369.13339057653184,771.1182876548079,367.9166910337039,793.0188794257112,415.36797320399455,579.6908929165412,410.5011750326827,597.5358195446847,397.928613090127,617.8141452584841,504.59260634471224,575.2296612595053,501.3480742305043,622.6809434297961,480.66418200242884,685.1381866282985,359.3998004223619,829.1142991962744,433.2128998321382,515.2058171466588,,,,,395.6138121886255,237.53522747220558,1176.7154866024612,243.61383972445333,375.0984958372893,823.3614832825822,1179.754792728585,815.7632179672726,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img195083.png,,,558.9687445183456,224.84876140090216,601.7379150390625,262.2447204589844,,,597.9511146272138,278.61618279453904,,,626.8563834942503,238.40512528329447,564.1631678397707,255.3525390625,485.98979734023743,293.1351862147989,528.1706998083663,266.63923775150636,468.9510736659708,310.82272716593434,459.1006241478081,329.84493548698583,449.02835004698466,349.14653341041196,435.8678388026978,367.31477955944246,412.7259088480217,381.63009030900395,394.8887730781981,393.08905303379595,375.3049076411366,403.85950059423317,359.04393840286355,418.7754416181458,351.1963922234318,437.8711455262393,544.0136888266469,239.15450385328634,502.8058776855469,255.89283752441406,455.527409737059,284.3215166430249,599.8311157226562,293.5975646972656,568.611968602594,325.3666760023551,524.5453158626883,368.3004435989069,348.60302930148373,467.2868161989629,601.6576638506042,219.94401445496027,,,,,397.8736217570817,227.48087995421116,1182.0319813579906,239.4977488765907,387.12315223089854,813.6339154491429,1174.3173726033142,820.6393160406432,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img201050.png,395.1255045098738,251.6705381817726,411.03994060012917,318.01450720446513,453.56300067254097,270.1355791660522,421.4178517697952,327.6788330078125,461.33413970371794,282.1677980358222,,,425.5333364119632,247.68301274137536,441.7216735609571,305.4282246139838,500.08613182211946,349.76637359042843,468.3362775003736,327.9931416291986,518.0402538601871,357.76728950931886,531.4148969081666,361.9231262207031,544.8858642578125,362.85174560546875,557.8754272460938,364.94970703125,582.8392676905507,383.98491017169266,602.9875205386977,405.9735658190624,624.6600669254166,430.4200861966025,647.779593226987,448.60751101673264,675.6621775047153,460.059217154403,417.95159912109375,336.74468994140625,435.60108504385397,358.0039070330935,469.4352591806175,391.0237666752697,464.74394199586624,263.98208109153285,492.76643345094436,284.97993755988085,538.3622769107492,290.41793744932835,693.9228643880849,489.4503574059516,413.65060385650014,270.79549166697393,,,,,392.48753604528724,229.9239018047889,1186.512712402352,238.83182806051033,378.0023158120167,813.879316682652,1179.1091853301048,821.5231837946662,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img207494.png,409.7282703097348,346.81613276643714,397.82222858911956,417.3833573720375,447.4894218747706,386.6201667482763,390.6238001717013,431.4036901595958,463.38086301115834,394.7989989749764,392.1419144310112,376.86955822063004,434.5964977566715,361.3915200517761,428.321107519256,420.5637256592026,453.05106555095495,501.1988389636508,440.30474096633804,459.5116783202666,460.82481423332956,528.4583922855234,470.05998764643846,552.4838176030667,478.7393634523549,574.7085853031473,490.3510700437847,597.0033718018266,496.34077492668905,630.90190136627,492.35233039553077,659.4431791245772,482.43426279338166,683.5129770007144,471.67181005928194,714.7747038312415,456.67225478634913,743.9521578108483,394.5514221191406,445.1524963378906,403.6587465432052,498.6128224087141,424.3025069884323,566.8005539160511,484.05743408203125,421.6181385009995,504.8243961182788,469.7626269779291,526.93798828125,518.0892944335938,428.27965527481393,759.8238308831237,408.9196858186517,374.1400749005003,,,,,386.93347670444103,236.0058766799415,1184.680431892872,237.34318197401365,380.3570170405371,813.6550102502168,1180.097151110234,819.2096770792785,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img211273.png,1364.1320184036122,837.4349339711409,1278.8166544313335,780.4817273079143,1261.97998046875,861.0274047851562,1254.9697790917114,755.1553259667113,1225.852587551003,864.1295302121003,1313.5858547728888,798.582150768016,1307.875562926944,849.5359280150763,1248.5525689207777,817.3961736700982,1194.4153669941204,771.3669210280635,1221.0146201525401,793.3812002778017,1184.4910193260864,763.0433162458069,1171.4309011855921,755.6796088135973,1157.9870373665078,748.8107652829615,1138.7506184329795,748.0011122433503,1128.04736328125,727.925115392402,1126.130733263979,704.0325317382812,1123.4802165279577,679.2031819944477,1110.6716580804507,660.1164308338737,1093.4744873046875,642.4460368404579,1261.4858721694186,752.7012677881213,1229.4013682513844,736.0074154620659,1188.2587697080128,719.716051267115,1223.5127195567513,853.1549299824018,1194.0759915366566,830.0627617970014,1154.6713362283563,811.5979625333339,1088.1750367059992,615.9432847293059,1295.6051691033394,823.521092431399,,,,,394.8203832679728,233.40978760585838,1187.2002961153853,238.60772061761537,391.3717080918949,809.9479077362223,1181.403840285192,829.9545634768598,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img219794.png,420.074209491083,579.408811127282,404.9712423993958,665.6194875350101,467.2879758669318,659.6577156268435,389.1566439876883,692.9461006135818,473.0682180037601,672.8979592607606,403.5314025878906,623.0847778320312,446.40350341796875,616.8789672851562,440.0806004477489,687.8116872420413,403.51701367647553,747.7692175983952,429.35288518941655,723.5308776625195,397.90042570293406,765.7299286925107,400.9736991911057,783.8668128132391,,,,,457.49558655936937,795.4018160838017,486.16177068747163,798.6251754127388,511.5104722278579,800.0014965359684,534.1543633918106,802.8744429908638,560.9211295419458,802.0376177402709,,,381.1221133134371,699.7983095795136,363.93037113980466,730.4070841317565,481.7867728985471,671.8995005251267,485.1491077120785,723.1220602704896,476.2789109715883,764.9464869085402,589.5627295382586,784.4737184920331,427.5832724286927,633.4126980763546,,,,,391.16259191906,237.8049229001383,1177.3592529296875,249.5823516845703,,,1166.1504480132526,813.3663661609825,,,,,,,,,,,,,,,,
labeled-data,2023-09-27_ID043_BWf_preexposure,img227780.png,1192.6991871079304,723.0072330193078,1124.5990002016601,747.352227372274,1147.6280489139256,791.4364063357532,1098.2800873876427,744.0623632705217,1137.1004837883186,821.7031560718733,1153.5498042970794,724.3231786600087,1186.4484453146013,762.485602240334,1118.348258408331,787.4885694136506,1058.375277126701,806.7229382779079,1092.4428643258839,799.4227410209401,1043.7748826127654,805.911805249356,,,,,,,,,,,,,,,1199.106857580469,719.5261377085703,1102.5820271827836,740.6155964509218,1075.0035042120164,739.8044634223697,1053.508478955389,743.4545620508536,,,1109.8822244397516,831.0569291344674,,,1197.0790250090893,684.6474174808352,1167.472669466942,745.8879611365096,,,,,391.8413226182732,237.58406153822742,1173.7028235636396,239.10371460128934,381.2037511768396,811.2530928441087,,,,,,,,,,,,,,,,,,
