scorer,,,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert,Sievert
bodyparts,,,nose,nose,left_ear,left_ear,right_ear,right_ear,left_ear_tip,left_ear_tip,right_ear_tip,right_ear_tip,left_eye,left_eye,right_eye,right_eye,neck,neck,mid_back,mid_back,mouse_center,mouse_center,mid_backend,mid_backend,mid_backend2,mid_backend2,mid_backend3,mid_backend3,tail_base,tail_base,tail1,tail1,tail2,tail2,tail3,tail3,tail4,tail4,tail5,tail5,left_shoulder,left_shoulder,left_midside,left_midside,left_hip,left_hip,right_shoulder,right_shoulder,right_midside,right_midside,right_hip,right_hip,tail_end,tail_end,head_midpoint,head_midpoint,chin,chin,throat,throat,tl_corner,tl_corner,tr_corner,tr_corner,bl_corner,bl_corner,br_corner,br_corner,petri_12,petri_12,petri_03,petri_03,petri_06,petri_06,petri_09,petri_09,petri_12_3,petri_12_3,petri_3_6,petri_3_6,petri_6_9,petri_6_9,petri_9_12,petri_9_12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-09-28_ID070_POm_preexposure,img007053.png,1059.3619384765625,648.087890625,1075.5896635153626,723.3739249020522,1117.7814547264459,708.7274242590078,1068.7650146484375,736.7786254882812,1125.5464992196246,733.4711822255421,1057.056174921671,684.6515916210355,1096.5374380856458,667.3296321287605,1101.9653733593168,736.4320472070604,1109.2650766405375,805.7837524414062,1105.351282772971,769.9029973435167,1109.7615553516207,825.447860097248,1109.264205312092,844.3843864055794,,,,,1039.4662240237292,838.6072594335645,1018.7385062517491,839.2418871089376,996.2398725600515,838.0594736909399,972.2049003724641,834.465008105323,947.665846484958,828.0989774024604,1053.178955078125,734.0189208984375,1048.2879638671875,760.2880249023438,1040.9337158203125,794.5599365234375,1131.8131103515625,730.4210205078125,1145.6202392578125,764.66845703125,1152.56884765625,793.467041015625,922.2809362117247,824.3787015235541,1081.091445586433,686.3989229104186,,,,,361.53296476381263,245.48449445065864,1138.9595947265625,264.9576110839844,350.31671142578125,825.2117919921875,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img009420.png,388.93288773382113,458.12642638651465,388.91002939496855,402.03865974571477,345.72369384765625,399.4456787109375,400.28852590796987,390.3781064830922,333.8414004305913,379.40765476553753,397.4548034667969,428.53857421875,353.5738830566406,434.0951232910156,367.18450927734375,376.4251089063375,382.57803631809696,295.75997761826613,377.03142420886775,331.8623520413363,386.2145001169834,279.2205241314133,389.6947453903918,266.8748397565591,,,,,,,,,350.6630859375,262.0187683105469,,,,,415.574951171875,390.3904113769531,430.8825378417969,359.6813659667969,441.5332237890334,320.63618531290814,336.6044006347656,367.3262939453125,338.8634948730469,326.3782653808594,346.0752258300781,291.8846740722656,,,369.62079842776353,425.43022189403564,,,,,362.09478759765625,248.78988647460938,1138.8050537109375,266.1336669921875,352.11199951171875,823.7507934570312,1141.5235595703125,830.3609008789062,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img016277.png,344.095866226881,314.4599881683658,385.10906982421875,320.4026794433594,377.83295891724515,278.65835703804265,403.08941650390625,324.29583740234375,397.7780246612065,265.46658048615996,364.960205078125,328.3526916503906,351.91762681886524,287.35083795925647,406.601939543132,288.94051369475216,476.96771307364236,270.8041808410733,442.40482848502813,278.9966581573707,492.6152012420082,269.5370201194752,506.83362210462826,270.5612061218174,522.2030951362754,272.6529580421282,535.6593145515673,275.7526399383325,562.0530955231982,273.72237186468936,585.6380535309571,267.4077392320896,607.2570462324348,261.9282531738281,632.6119807256321,262.42933634866586,657.1988725327908,270.86499663337037,408.9284973144531,327.973388671875,460.51171875,328.35968017578125,499.9269104003906,318.61029052734375,408.5710754394531,250.38052368164062,438.56585693359375,239.54974365234375,471.5422376707222,225.22699925313623,677.9119169407951,283.74610987610265,366.6512250961546,301.2934435836417,,,,,359.62774658203125,252.2654266357422,1139.9317232811334,264.8824551856635,356.0908323698063,833.9017640821005,1139.45849609375,831.707763671875,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img022830.png,485.8268996619557,311.7070447811995,425.8030555491092,328.3352718665151,421.7473904063493,377.0032535796338,416.47502572076144,305.2179805527836,403.0913307496538,391.19808157929344,453.3815785198765,316.57384295251137,465.14300743388026,354.2915287801784,402.68576423537786,355.91379483728235,332.52275726563164,305.62354706705963,356.856748122191,338.4744347234148,328.06152560859573,288.18418695319207,333.73945680845964,264.2557626109087,,,,,389.3020692642702,248.43866855414512,419.3139913206934,248.84423506842109,448.10921383428865,255.73886581111293,482.17680103347175,258.17226489676887,514.2165556612749,256.95556535394087,390.92433532137414,301.56788192429974,383.2185715501303,288.5897534674681,394.16886743558206,266.6891616965646,395.38556697841,382.2756182652217,342.2563536082554,352.2636962087984,,,541.3895121177662,252.89990021118098,457.0316771483604,338.0688682091388,,,,,,,1134.1328534853021,269.4177393411437,353.79100560299753,833.2090257371225,1139.4516392060189,837.0081583947773,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img045963.png,333.441337897169,464.43153992517216,383.26759949548466,398.7879139746282,336.7725950651189,382.24418120438094,396.2861402962596,378.2699871842532,337.63435500975936,357.8591889843184,366.32314880534693,438.11850906903766,324.70093047850304,420.6924142447874,369.87138429043165,366.28575163404327,380.5096565267032,297.9232196028562,378.0735899381657,329.0435643001281,381.25274658203125,275.7987976074219,383.45661880534067,260.3115113801936,388.3926641894783,251.36290435382017,,,,,,,,,,,,,404.5996398925781,386.4788513183594,427.95011856120004,339.3211569303847,437.61358642578125,290.70928955078125,333.00360107421875,350.8999328613281,333.4407043457031,316.77093505859375,339.020751953125,287.16851806640625,,,350.03067473956236,418.33732209969753,,,,,353.2689614778185,255.26289492363682,1142.5032831046826,264.45221931534803,352.59747027369986,832.562810917444,1138.8881733658623,836.7054139844442,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img049865.png,1172.3135525651753,798.9456787109375,1109.7302450651503,779.8660585156942,1101.187335520888,820.2731462109439,1095.6123602344003,758.6159510807313,1078.3575994922126,825.8748973046686,1142.3703050326005,777.8261912499811,1141.1071075521254,819.1654663085938,1087.3648330729377,794.8382356315376,1003.0659355143124,784.0158534244813,1043.2545100325121,787.6473194922064,981.8753662109375,784.6615600585938,962.6532592773438,786.7717895507812,945.4107055664062,789.927978515625,927.28978103515,798.9513374349063,908.8113366731939,802.0955532812374,887.747279362,807.9059309374938,867.7253447070877,813.3178535481876,847.1510945248004,818.497860110694,822.1197465691006,823.7503117448316,1070.8992846745127,755.8102972461189,1029.74365234375,743.860595703125,984.3199462890625,731.3342895507812,1068.1815251237379,830.2510339388189,1029.1876469335498,833.7647964518438,980.90234375,831.8455200195312,792.9921673763944,826.384494791719,1133.4636361849755,796.0913381966187,,,,,353.7096862792969,253.64642333984375,1140.13867241513,265.63671875,353.36760210695854,831.7453013732286,,,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img051771.png,696.2300396744876,752.3797219922253,743.9829905663873,782.4652359049688,752.3399278189747,737.9747000130251,758.7915649414062,803.1564331054688,775.6673298763629,730.5349555989688,716.1142753580624,777.1461265625314,720.6130268814874,734.9238087500188,764.7082296679309,761.6445071353872,870.6142391861433,758.1136430534756,819.3002450716945,768.1685615560001,887.6703443814621,748.6431610352821,900.6180335937186,732.774543782657,908.5763272070187,716.5519928060314,914.5220336914062,699.9736328125,905.4659544401189,672.5650477604187,894.5606217968813,654.7509433007939,877.0926477083501,634.4181167643438,860.0794853189999,614.6159455924752,846.6034388737,594.459481054719,773.22998046875,799.6592407226562,859.9860469795462,806.948829505244,934.8433227539062,761.1509399414062,786.513916015625,722.8793334960938,833.9391479492188,719.596435546875,871.8340625392639,707.5398240289747,837.3291015625,571.0886840820312,727.4503930533183,756.7878713997438,,,,,354.93609619140625,252.54945373535156,1140.0270414450501,266.46349207996155,353.7503828925402,830.9106054767901,1141.6050424608502,836.7822765030608,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img056825.png,730.1040455664252,656.0409074414126,784.3770788541499,614.8297554036563,746.8377564973812,586.0027447526126,809.7706660547315,609.7133734179939,749.3158883658813,560.633643958369,765.2084332291751,642.7173860221627,729.2379760742188,616.2084924349125,779.5705880729125,581.6288119531376,838.745108789031,507.4050460938129,811.7056274414062,543.5652465820312,849.9341957030935,488.1213565169816,857.9624374348748,471.63218934250665,867.4900827018187,455.8389532519783,879.5120239257812,444.37713623046875,900.3504342643188,434.49993073245963,920.5904753059624,421.39931885092824,939.0862083332809,406.7711987402847,954.0684730468436,389.3850015332408,970.6501640299374,366.1907562337659,816.5585327148438,599.9068603515625,857.1099243164062,555.0767211914062,893.8613891601562,504.2882385253906,757.045166015625,543.4585571289062,783.2977294921875,498.6739501953125,805.3801528971564,467.8127174479691,977.087470696581,341.03373215171575,751.697297805912,623.392771790526,,,,,354.5458679199219,253.11895751953125,1140.9290396481458,265.78169791012704,353.7880702213563,832.4033564844191,1140.4974403512126,836.2135677533815,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img058701.png,340.06296524991694,233.8051767852154,374.83849000005034,296.30228958334385,413.09877334308425,273.43801954745265,369.44946746417173,320.0788760482316,429.4636380143943,295.27684083340046,350.7255859375,272.73272705078125,385.4693862955939,246.03270644528106,397.8841664160345,294.5901599022934,455.6162048667042,352.2611721777218,426.93205797537576,326.0560903938844,468.82679553074786,361.30116118157775,475.6005325521882,373.980509329381,477.02057450199715,387.86528975581535,477.34274474934057,407.54545364584385,476.3446728450185,436.92393738938165,475.12724990231226,460.17521180998807,474.48126403645,482.5892679070227,474.87798706381886,504.83403917327564,476.4713255338689,528.2697830404695,375.3210701172819,335.5909869532005,388.15478515625,365.3768310546875,417.5111389160156,406.6236572265625,436.3699673437374,289.4158990429436,459.0546440104062,304.92236328125,482.4548136946845,317.9850443912152,485.38018250002517,553.2288968034568,375.62607069327754,266.9068980207306,412.8952941894531,255.69725036621094,414.1457824707031,421.53009033203125,,,1138.847412109375,265.0036926269531,354.96084499032185,833.7957436516149,1137.086405027287,836.472889008116,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img076070.png,,,396.73462517308326,725.1572841970093,347.6610769456886,740.1632452252209,401.60142334439513,705.2845249974858,331.43841637464897,728.8073828254933,408.090487572811,750.3024080821206,361.45033843107217,762.4694035104003,361.8559049453482,717.4515204257655,348.06664345996455,638.3660501419475,356.17797374548434,675.6781694553385,349.28334300279255,624.1712221422879,352.12230860272444,608.7596945998004,361.8559049453482,600.2427978000045,,,376.05073294500784,591.3203344859328,383.7564967162516,568.6086096864775,389.0288614018395,543.8690523156422,391.05669397321947,521.5628940304628,393.89565957315136,491.14540545976354,407.27935454425904,700.8232933404499,410.52388665846695,676.0837359696145,406.06265500143115,646.0718139131914,339.5497466601688,720.6960525399734,326.57161820333715,696.362061683414,315.21575580360945,662.2944744842309,398.7624577444633,465.18914854610006,383.75649671625166,760.8471374532965,,,,,355.3542310333134,255.4997790750769,1143.115373058281,265.80343253794865,356.2909268026653,828.7575899184541,1133.7484153647617,837.187851842622,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img102404.png,,,420.6101445128778,724.5413621505539,389.32829138859336,767.0982741644899,417.1375148398901,707.777434648881,357.40217442778874,776.5966354041095,436.6354235641105,718.8585598785796,,,375.7557678222656,718.5838012695312,332.4472245810402,648.9887748841827,348.7331122959714,686.066974316552,323.0461457330632,628.4737583218576,331.63288817342,610.822625137331,353.9765482504663,604.3314593556729,,,379.58961013575674,573.5277566419369,383.7720591401585,548.2913468177474,385.1625906735366,525.5650072261252,385.3959900679804,502.12649277460366,385.5811853703066,477.97856308345945,416.0216064453125,692.8370971679688,402.9927978515625,662.298583984375,404.4001471572119,631.544358593167,,,,,,,386.1524094300708,454.4001793014011,435.0168244092756,747.5169562873896,,,384.14378439101404,740.2030134262327,358.22081821259906,253.73441824195427,1139.9260686325792,267.26503722635846,,,1138.4801895182502,838.6177989323567,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img109099.png,386.0254110807753,720.1587403840998,389.69791289710605,674.2264173958689,344.97431625652507,670.1908847070438,405.28151368169097,660.1758155925004,327.9016380207809,659.7792979557942,398.1286584505376,698.7915002474126,352.4792027278625,700.2951013216314,365.9453485058342,647.9594744856687,364.6089645508442,580.5946034113933,364.6441807552062,612.0958131380062,365.49271303396324,566.4407209765562,368.5414099415572,552.9249702474062,381.00797032577674,543.2463989257812,,,,,435.7329339362076,585.3042443691921,450.66482011728186,608.8207241142353,456.43153368829155,634.7555239320105,444.86173084002627,663.8943723434293,420.08282470703125,654.1583862304688,425.1202087402344,621.9182739257812,421.2030491634094,584.7837008855132,335.5657544043472,649.4087023827622,325.18336989906544,623.2792296029631,321.35103530270294,594.4774290494938,433.5910227929499,694.6401136849315,370.5303604166876,690.0125936979629,,,,,354.407470703125,252.6753692626953,1137.6785888671875,264.9588317871094,344.940987540788,829.5131665199865,1139.1345473027754,838.3604021190408,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img127600.png,,,384.4657795120983,687.3483862569717,339.9682195924505,675.3490442561676,395.4651763461686,687.8483588403385,328.4688501750135,667.3494829222984,391.9653682626008,712.3470154253131,,,359.4671503437569,673.8491265060673,370.2219571766666,579.3109729252199,370.2219571766666,629.6458936820284,370.5509435868418,562.5326660062838,373.5118212784188,545.4253726771724,,,,,,,,,451.8105869001207,610.8936683020409,461.68017920537727,633.9227170143062,,,412.66120408926975,658.5966977774475,420.556877933475,624.0531247090496,420.556877933475,588.1936059999508,338.6392617998456,651.0300103434175,334.03345205739254,623.066165478524,328.4406830844139,588.1936059999508,438.3221440829368,681.2967600795375,,,,,,,355.50616884063834,255.41814187146895,1138.1274963175358,267.57536637596456,349.42755658839064,828.3273466458193,1141.9266289751906,834.405958898067,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img134075.png,402.9138406776175,751.1470497718734,399.1355285644531,696.9330674056896,351.5776839706487,706.370060746763,403.20728457946336,677.29292838973,337.2270497917473,682.4821078285845,412.08655868375706,725.9576553848201,368.4538292015065,736.032862183368,367.9685278419682,680.1278456802478,353.57604225920534,616.852085557598,361.88901741105116,648.1873145973217,351.06579787744295,594.6256602188749,355.7745286047754,579.1406184265753,,,,,,,403.20462985092536,586.9467143295883,433.72044520111746,596.6591613098233,451.33429414520043,613.4662416564678,459.53900835647255,642.9589059516697,419.4529724121094,675.2171020507812,418.22760174101245,643.9811168464188,409.245374139325,607.0835830695104,,,313.1621224869589,653.530717082265,,,444.9730962724034,681.3681378385821,382.17909322890466,720.6405534682985,,,,,355.7718200683594,251.30288696289062,1137.4654541015625,264.82525634765625,346.96392822265625,826.4842380073169,1139.3683276407387,839.1114400395367,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img138692.png,463.1234229286293,833.9448931350378,442.9471451980437,783.4606346214283,413.2903868957607,814.2915153922979,438.81173246612764,760.3524862266794,387.32794387353675,800.7015643447457,461.6305223739338,795.4809386535733,437.3509524666416,834.9746359520124,416.67780854825673,781.0712649478874,366.05807037762514,715.8949778710748,388.7598359733346,746.7821461523627,355.75672334645066,697.6315234440439,348.82197466811346,680.5624279883316,347.1673205631846,661.6110858137937,,,366.8471412760941,651.161855338657,377.74210617515325,630.6647609115444,388.33313445635923,609.7711349610005,404.6750968912655,596.7960548503129,424.08277647780585,587.432864238338,432.9723649609438,753.5729019205938,424.4142910905661,722.8191169922819,407.66795411465046,680.7096327279003,369.1184211751407,796.5413346875064,354.94277588217824,771.8577336198316,322.82696716144994,746.3953857421875,450.2927247754599,579.7952058463815,450.25638934167193,812.7030432899573,,,,,355.2984313964844,251.4237518310547,1142.8252018815501,264.3195217870968,347.95121033223535,826.5633246474463,1137.9593111717584,838.4806811319961,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img168398.png,,,416.3160105109871,753.9663660239898,368.8122689887791,768.072230848652,424.0534549926229,733.7609102020043,341.30642830965996,756.1173312347016,424.74094021986264,771.4600183677397,380.976953980243,787.2611116851499,384.77780716801277,742.726810631632,353.7917886262559,665.0241122133865,367.83135986328125,699.6439855924311,350.54563583660325,652.030993469899,351.39444551769134,638.1644144920429,,,,,,,406.71962203774996,632.0716961849881,421.6101573144342,617.2889553972068,437.2568405110468,606.0335250977192,454.87623120888577,594.3026365936729,426.67740067714425,720.942424472675,421.7220959570816,684.9362460351689,412.6331788770224,653.3921322525496,343.6965951529906,744.9770748958628,323.9316737206213,727.2731962695879,313.93471358721234,695.5803182746179,468.67109725911246,583.3221409766443,406.1996719366979,783.877387615817,,,,,355.3774719238281,252.42166137695312,1143.2986183268752,265.6151881412781,349.8254699707031,828.308786226923,1137.0088164791332,836.4065525667077,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img178850.png,806.9441879789674,677.4519723674582,760.8860905544368,740.2883767109249,807.931147209493,757.0666836298611,743.4498108151503,752.4608738874081,808.9181064400187,787.004446955806,777.3354110631979,704.7578444120014,816.4847938740488,721.2071649207624,780.2962887547748,767.2652623452929,724.6975854351629,823.5219384852553,761.2150769646121,800.8218761831652,707.9192785162267,827.4697754073579,688.5090803158888,826.4828161768322,665.8090180137988,818.587142332627,,,652.3205751966148,790.2943110575582,634.2263226369777,773.1870177284469,614.8161244366397,759.3695885010877,582.5754562394684,748.1840505551303,559.2174211170279,741.2753359414507,741.1469059439238,747.52607773478,716.4729251807823,758.053642860387,683.5742841632605,768.2522215758187,802.0093918263392,789.3073518270327,779.6383159344243,819.903087973328,726.0135310758637,852.1437561704994,528.6216849707326,738.6434446600487,795.7586500330101,720.5491921004119,,,,,354.35403502231213,254.27967741777707,1139.2548420938024,264.1574223276797,349.7950758331263,837.0666271020299,1144.573627814519,838.5862801650918,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img186347.png,822.4427278190377,791.5795880143313,754.597538919319,764.4439448633253,755.2886224479754,811.9372982681746,734.9786376953125,745.3624267578125,730.0705076627751,820.9415966731435,793.3050778255501,765.6133210807565,789.8585168489751,809.83454940755,737.3681391992627,784.2433416797127,647.3651112238933,784.8909330859941,689.7481188866684,782.1279676888378,625.3508348177567,791.4838798175301,611.1085815429688,823.8348388671875,610.5964965820312,804.4788029230491,,,,,693.600258285932,852.0205664326393,,,,,715.7998256634967,857.7210091753425,720.1243878190188,744.5448294075562,682.9528198242188,739.7582397460938,638.2645874023438,746.4081420898438,720.5368619919925,825.8708112758676,691.8070678710938,836.1962280273438,653.727294921875,844.5029907226562,737.2684363231788,879.0859064914141,779.2610466146567,785.4704257226689,,,,,354.97674560546875,252.0322265625,1139.0174560546875,264.4883728027344,350.26722293280784,836.0132951854471,1137.9610595703125,831.8907470703125,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img188655.png,573.7516479492188,668.5175170898438,503.5684417806409,689.1606317253191,525.1115002539566,729.2965087890625,480.724853515625,681.936279296875,508.2713725325751,753.5735521029128,535.9717092903688,668.9726821940314,553.8942399609438,706.768310546875,503.53262162768175,716.4478964323379,410.5840300261822,732.2792632811241,461.8380832097319,723.3076606770938,396.586103392076,742.5533860545679,382.7533748113257,753.7779917707308,374.17738130216304,764.9038981509809,361.66998673507845,777.2283529753065,342.36150832025584,759.7946897916813,341.89568983717464,736.2855652019069,345.23729080077493,713.2818533660574,347.29586151695645,692.788505865919,350.3371221972908,669.883950963569,469.80206498378476,673.9843859765122,437.1279602050781,684.7023490885312,386.1033074902092,698.0076461914691,502.90330950207266,748.5562049804373,473.638670377751,766.80435272135,428.10177537442235,789.2382044986999,351.5004299902218,643.2031637499623,539.3188414193694,694.5998590038811,,,,,355.5414123535156,251.47340393066406,1144.1791035541337,264.2703847852437,339.6099135059177,831.3766209753089,1137.8271277734666,838.5670852922691,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img199951.png,446.0756255445471,791.7382100365027,388.75694980847686,767.1750898596936,348.9763196496367,774.3987909171827,363.88219882683484,778.4916172253937,331.95083713625297,752.2374155899687,411.9075012207031,788.111010155464,,,354.9901989273534,755.3163458861424,338.52561996419064,675.19001815755,346.1621453808342,709.125754707069,340.7512143001596,654.8110055533812,348.61371523122887,636.6970982356751,,,,,,,,,,,,,,,406.95101665425045,717.1565764870759,405.9303356868154,686.1005165038748,404.0296325683594,650.3005981445312,,,,,,,,,401.48054160685354,801.7537730467341,438.7030851942044,762.1724103889316,428.6109829245981,750.2684362221039,354.7097473144531,252.24366760253906,1142.4928219661751,264.9287109375,345.4433670305503,832.2486302526527,1138.5207332029793,836.8356371089376,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img201505.png,510.3935642119877,749.7689300872759,429.97130462337344,738.8862518149349,412.5283908895891,764.0396781172803,426.72214172738694,715.3887811515577,379.71110650400703,760.0026291061379,462.95952844313365,736.0583368156202,455.62142424742234,770.3628963431817,395.7210017448018,734.4520086608094,340.21679818270684,661.7542727791416,366.6141761024574,693.3454934425189,329.4875714645716,645.6647076279104,332.43416243358575,631.1424458763464,,,,,,,374.8407897949219,596.9676513671875,,,,,,,433.5783297524126,680.6675982628475,415.5784055603292,661.1325522789078,398.8806457519531,631.40966796875,391.1436397017001,746.9787581397139,365.0319174635982,725.9705164146147,323.4395196177121,707.94457858273,,,455.8328992246861,762.8493934721888,485.41721957635923,727.1306608254723,462.04412186198925,705.5628996795787,354.863525390625,251.8113555908203,1141.925763861826,264.7034981025663,345.0399568229439,835.1453074936385,1137.3994048736618,840.8586307738728,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img202597.png,425.3339262909068,585.6623810821401,378.4130639549068,638.3264261939661,427.3457323348713,654.8252172950932,353.70129000474674,637.903678642306,422.771325549334,681.9089260398325,394.7800194541832,604.3581116393956,435.9655006996078,620.0838012695312,389.0518280364946,659.0857520973217,348.03924560546875,714.4305269012231,370.3092887626681,687.3256294502224,340.4456659171827,728.612418876681,333.59405517578125,743.8635460655113,331.57026950687117,756.4539850761095,,,,,,,,,,,,,354.2406379951444,644.9630103981029,334.06158447265625,658.9013061523438,316.32921342488913,675.2135202019033,432.10479211500865,682.3138220985512,417.28654562148273,713.6983376808001,400.7002497916768,743.957610430131,,,408.84183822477263,623.8722731033524,,,,,355.25164794921875,251.479248046875,1138.9332275390625,264.222900390625,345.0376074198649,836.4551396025679,1138.540202460879,838.4182609172982,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img203550.png,445.59671393098336,577.5455292288414,372.5947413613052,630.2691760847199,412.74582627462814,665.147896312455,346.6384844476419,635.5415407703078,407.4734615890403,691.1041532261183,402.60666341772844,599.0405544854688,437.48538364546346,625.4023779134081,381.92277118965296,659.0643985983152,329.60469084805027,719.8993757397136,356.3720807902656,682.5872564263226,327.1712917623943,735.7164697964772,,,,,,,,,,,,,,,,,,,339.338287190674,651.3586348270715,314.1931633055626,672.0425270551469,,,404.6344959891083,695.5653848831544,392.87306707510464,730.0385385966134,,,415.990358388836,614.0465155136802,,,,,356.63350302287233,255.0028436176933,1136.215524373646,265.6404150591269,344.47627851837683,831.7111810496983,1145.3334427520176,833.2308341127602,,,,,,,,,,,,,,,,
labeled-data,2023-09-28_ID070_POm_preexposure,img217415.png,463.8805046501104,703.9016920486649,400.8571534545722,708.3441437774526,428.1028406333648,755.5199552093815,380.75612254715514,693.9573285446497,421.7502313468702,782.4037921950787,431.29981387633836,698.4695733207559,452.43781371076625,740.0659363464267,400.86552315211,741.562631259151,338.6691399040167,775.2403771201989,365.3888864875496,757.2815630569128,329.41071770630765,780.973105796891,,,,,,,,,,,,,,,,,376.17401123046875,701.4745483398438,359.8799225189165,705.0559692382812,351.2697117400551,701.6333030784596,411.6628723144531,782.7618408203125,395.30291748046875,798.4041137695312,374.4138511741627,812.8172630393971,,,433.4233165534499,721.6204131744429,,,,,355.47216796875,251.04127502441406,1139.3275146484375,264.8428649902344,,,1140.0379762709674,838.683087846823,,,,,,,,,,,,,,,,
